Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2780160,http://www.tonfurniture.com,/companies/2780160-ton-furniture?searched_category_id=364&service_area=1832700," 6 Times Winner - THE BEST MATTRESS STORE IN TORONTO - BEST OF HOMESTARS AWARD WINNER - THANK YOU! :)

WE HAVE THE LOWEST PRICE ON TOP QUALITY MATTRESSES AND THE BEST SERVICE



Its simple, we sell Top Quality Mattresses for Less, directly from the Factory. 
WE ARE THE MATTRESS SPECIALISTS! Professional - No pushy service, no upselling, friendly service, best 
industry knowledge.

Best Quality. Best Service. Best Price. Buy a top quality mattress from the mattress specialists! 

As we are an online store, we offer lower price thanks to no retail fees or fancy showrooms (overhead costs). You save 40-60% compare to any retail sale! 
-------------------------------------------------------------------------------
You can always come and see mattresses before buying in our warehouse (please contact us for appointment).
-------------------------------------------------------------------------------
We provide FREE DELIVERY IN GTA! Same day delivery or delivery out of GTA available as well. Anytime you wish, we will deliver it directly to your room and will help you with set up.

>>>>> Local pick up is also available! <<<<<

We sell all types of mattresses: euro top, tight top, orthopedic, all natural, hypo-allergenic, talalay latex, memory foam, BIO soy bean foam, coil free, pocket coil, baby crib mattresses, custom sized mattresses and more. All TOP QUALITY and Made in Canada. 

All mattresses are under the FULL manufacturer warranty. 


TonFurniture.com 
Euro-Canadian Mattress Specialists
647.839.5672",ton-furniture,2010-07-14T14:25:13.000-04:00,NA,"Toronto area online mattress store - Factory direct sale. Best place to get quality mattresses for less!
<br />Free delivery within the GTA!<br/>

<br/>We serve the whole GTA:
<br /> Toronto, Burlington, Oakville, Mississauga, Thornhill,Scarborough,Pickering,Ajax, Whitby, Oshawa, Markham, Richmond Hill, Vaughan,Woodbridge, Aurora, Newmarket, Maple, Orangeville, Brampton, Georgetown, Milton.<br/>

<br/>","non-stop (deliveries daily, on your request)","We sell all types of mattresses: euro top, tight top, orthopedic, all natural, hypo-allergenic, Talalay latex, memory foam, BIO soy bean foam, coil free, pocket coil, baby crib mattresses, custom sized mattresses and more. All TOP QUALITY and Made in Canada. 
","Free Delivery in GTA
from Brulington on west to Oshawa on east and north to Newmarket.","Top Quality, brand NEW Mattresses - Made in Canada. All sizes - all types.","All Natural latex, Bio Soy foam, Gel foam, memory foam, pocket coiled, anti-bacterial and orthopedic mattresses.",2006,NA,"Credit Catds, Cash on Delivery or direct payment in our warehouse.",,,,FALSE,FALSE,,,FALSE,FALSE,Full Manufacturer Warranty,1843212,Ton Furniture,309,253,39,9.98419,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",7,2011-07-18T14:55:04.000-04:00,tonfurniture,FALSE,0,0,52,100,FALSE,7aa1fa5b549d2fc4d6ad5f905ed117a4d4ff6458,TRUE,2021-09-29T22:19:41.000-04:00,TRUE,TRUE,1832700,99.6163266916,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,195848,http://www.arrowfurniture.com,/companies/195848-arrow-furniture?searched_category_id=364&service_area=1797593,"Arrow Furniture has 4 locations to serve you and are proud to be in business for over 49 years. With 4 locations in the Greater Toronto Area, Arrow furniture is positive we have the right furniture solution for you. Whether you are looking for modern, traditional, or somewhere in between, we're sure you'll find it here, and all at a great price.",arrow-furniture,2008-01-23T10:22:28.000-05:00,NA,"Ajax, Alliston, Aurora, Barrie, Bolton, Bowmanville, Brampton, Bradford, Brantford, Burlington, Caledon, Etobicoke, Georgetown, Hamilton, Innisfil, Keswick, Malton, Maple, Markham, Milton, Mississauga, Newmarket, North York, Oakville, Oshawa, Orangeville, Pickering, Richmond Hill, Scarborough, Stouffville, Thornhill, Toronto, Unionville, Uxbridge, Vaughan, Whitby, Woodbridge","M-F 10am-9pm, Sa 9am-6pm, Su 11am-5pm","Living Room Furniture, Dining Room Furniture, Bedroom Furniture, Beds, Sofa, Leather Sofa, Dining room Table, Modern Furniture, Contemporary Furniture","furniture delivery, home design, interior decorator, furnishings, home design","Aico, Aman, Ashley, Behold, Chateau, Décor-Rest, Defehr, Dreamstar, Emerald Home, Futura,  Legacy, Lifestyle, Magnussen, Mazin, Midas, Omni, Palliser, Primo, Pulaski, Rustique, Samuel Lawrence, Sealy, Serta, Simon Li, Titus, Xcella",,1969,75,"Cash, Credit Card, Debit Card  & Financing",,,,TRUE,TRUE,,,TRUE,FALSE,,52838,Arrow Furniture,710,566,15,8.54461,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",3,2010-03-26T08:21:26.000-04:00,arrowfurniture,FALSE,0,0,22,100,FALSE,0c7cd3c39162466ef395c169268811d4539755b7,TRUE,2022-01-29T06:26:25.000-05:00,TRUE,TRUE,1797593,83.8218071164,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2959882,https://www.shoprhw.com,/companies/2959882-rhw?searched_category_id=364&service_area=2261568,"Shop RHW is a Toronto-based studio with a focus on solid wood custom furniture hand crafted by Rundell Haynes-Wells. 
In addition to being a craftsman, he also offers custom design consultation and renderings.

Rundell combines years of experience problem solving, exploring, and innovating, and has been a maker of things all of his life. 
He’s a natural born collaborator and is generous with the information he shares with his clients in the hope that more knowledge and understanding of custom furniture will inspire sustained interest and appreciation.

Please give me a call - 647-453-0093",rhw,2021-09-21T01:27:51.000-04:00,NA,NA,NA,,,,Furniture | Cabinets | Millwork,NA,NA,Cash | Cheques | E-Transfer,,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2021858,RHW,8,8,31,10,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,Cabinetry & Millwork, Kitchen Cabinetry, Custom Cabinetry, Bathroom Cabinetry, Architectural Millwork, Millwork, custom millwork, bathroom cabinets, Kitchen cabinets, built-in cabinets, built-in cabinetry,  cabinet makers, custom cabinets kitchen, cabinetry, thomasville kitchen cabinets, cabinet doors, millwork cabinetry, custom kitchen cabinets, kraftmaid cabinets, maple cabinets, wood cabinets, stock cabinets, thermofoil cabinets, laminate cabinets, kitchen cabinets design, cherry cabinets, kitchen cabinet designs, hickory cabinets, wholesale cabinets, custom made cabinets, cabinet millwork, cabinets kitchen, kitchen cabinetry, millwork cabinets, ready to assemble cabinets, quality cabinets, bamboo cabinets, caulking,
,",0,2021-09-21T01:36:19.000-04:00,RHW,FALSE,0,0,30,0,FALSE,7aa83401a3703649b922292b28ac91e38539d3b1,TRUE,NA,TRUE,TRUE,2261568,90.7277271922,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2569137,NA,/companies/2569137-simply-elegant?searched_category_id=364&service_area=1582341,"Serving the GTA for over 15 years with fine custom made amish furniture & Kitchen cabinetry.
Custom amish made Closets.
Brand name mattresses from Sealy, Serta, Simmons, Natura and TempurPedic.
New Location coming soon! ",simply-elegant,2008-03-04T16:55:15.000-05:00,NA,"Toronto, Scarborough, Pickering, Markham, Richmond Hill, Ajax, Etobicoke, Vaughan, Newmarket, Mississauga, Milton, Hamilton, Burlington, Unionville, Whitby, Oshawa. ","Mon - Fri 10:00 - 9:00, Sat 10:00 - 6:00, Sun 12:00 - 5:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1632189,Simply Elegant   No Longer In Business,11,8,0,8.375,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",1,2011-01-04T17:05:33.000-05:00,NA,FALSE,0,0,0,NA,FALSE,e3946e8fc2ad120e6e26ee3dc1326323255d6683,TRUE,2014-09-24T16:43:41.000-04:00,FALSE,FALSE,1582341,30.4531702124,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,210771,NA,/companies/210771-hyatt-furniture-club?searched_category_id=364&service_area=1791756,Hyatt Furniture is a place where you don't have to pay a lot to get a lot.,hyatt-furniture-club,2008-01-23T10:29:22.000-05:00,NA,,NA,,,,,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,,FALSE,FALSE,NA,64877,Hyatt Furniture Club,2,2,0,8,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2018-03-08T12:50:10.000-05:00,NA,FALSE,0,0,1,NA,FALSE,514f3a6610f8a0d0d877d84ba0decad380c97eb3,FALSE,2016-05-24T14:35:50.000-04:00,TRUE,FALSE,1791756,43.7849885913,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2815940,NA,/companies/2815940-newcomer-furniture?searched_category_id=364&service_area=1893363,NA,newcomer-furniture,2013-10-15T14:03:36.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1878885,Newcomer Furniture,1,1,0,6,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",1,NA,NA,FALSE,0,0,0,0,FALSE,4c60756466126ac4b8dd9de1320de509bd497959,FALSE,2014-12-12T08:51:03.000-05:00,FALSE,FALSE,1893363,35.4098085299,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2847576,NA,/companies/2847576-impact-office-furnishings?searched_category_id=364&service_area=1955684,NA,impact-office-furnishings,2014-01-17T13:01:17.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1910011,Impact Office Furnishings,0,0,0,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,ff6cd438a6fa1b1ef048ecca0197333c6747bbe5,FALSE,NA,FALSE,FALSE,1955684,-1.0,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2797714,http://www.urbanbarn.com/scarborough,/companies/2797714-urban-barn-scarborough-outlet?searched_category_id=364&service_area=1861008,"At Urban barn design and comfort live in perfect harmony.  We have furniture and accents to bring sophistication and comfort to every room of your home. Our knowledgeable staff provide pressure-free, approachable service. If you love your home, you'll love our stores...it's a given.",urban-barn-scarborough-outlet,2012-05-02T12:28:27.000-04:00,NA,,Mon-Fri: 10am -9pm Saturday: 9:30am-6pm and Sunday 11am-6pm,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1860766,Urban Barn   Scarborough Outlet,1,0,8,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2012-05-02T14:59:03.000-04:00,ubscarboroughoutlet,FALSE,0,0,8,NA,FALSE,9094997d9e041509b5ab9abbf126ca983fb3eb0d,FALSE,NA,FALSE,FALSE,1861008,-1.0,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2781043,http://bullseyefurniture.com,/companies/2781043-bullseye-home-furnishing?searched_category_id=364&service_area=1833606,"Great Value With Fair Pricing.
",bullseye-home-furnishing,2010-09-10T19:06:16.000-04:00,NA,NA,"M-Fr 10-9, Sa 10-6, Su 11-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1844095,Bullseye Home Furnishing,0,0,0,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2010-09-10T19:06:16.000-04:00,NA,FALSE,0,0,0,NA,FALSE,8cb8a8dd449ce8e78b4f772d19060df2e034613b,FALSE,NA,FALSE,FALSE,1833606,-1.0,364,NA,NA
https://homestars.com/on/billings/furniture,68,"c(""https://homestars.com/on/billings/furniture?&page=2&"", ""https://homestars.com/on/billings/furniture?&page=3&"", ""https://homestars.com/on/billings/furniture?&page=4&"", ""https://homestars.com/on/billings/furniture?&page=5&"", ""https://homestars.com/on/billings/furniture?&page=6&"", ""https://homestars.com/on/billings/furniture?&page=7&"")",Furniture,2913357,NA,/companies/2913357-red-river-designs?searched_category_id=364&service_area=2157482,NA,red-river-designs,2018-03-29T19:23:56.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1975541,Red River Designs ,0,0,1,NA,"Furniture, Bedroom Furniture, Office Furniture, Furniture Store, Kid Furniture, Patio Furniture, Baby Furniture, Contemporary Furniture, Dining Room Furniture, furniture stores, the furniture store, furniture store, furniture shops, office furniture, patio furniture, home furnishings, the furniture warehouse, warehouse furniture, furniture warehouse, home furniture, furniture shop, bedroom furniture, furniture bedroom, home decorating, outdoor furniture, room furniture, room to room furniture, outside furniture, used furniture, bed furniture, house furniture, city furniture, furniture city, outlet furniture, furniture outlet, wood furniture, furniture for sale, furniture sale, sale furniture, furniture on sale, out door furniture, cheap furniture, furniture cheap, furnitures, sofa furniture, furniture modern, modern furniture, furniture discount, discount furniture, old furniture, furniture outlets, ,",0,2018-03-29T19:24:43.000-04:00,NA,FALSE,0,0,1,0,FALSE,70f54123cd3086d60f47da2532e56da74a617dc3,FALSE,NA,TRUE,FALSE,2157482,-1.0,364,NA,NA
