Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2876585,https://www.flooringliquidators.ca/,/companies/2876585-flooring-liquidators?searched_category_id=359&service_area=2281421,"The Home of Satisfied Customers!

Flooring Liquidators is your one stop , full package solution when it comes to flooring. With our expanding retail locations, large purchasing power and connections with local and foreign flooring manufacturers, we are able to offer our customers top quality flooring at the most competitive prices.

The Largest Flooring Selection

Flooring Liquidators carries a wide array of Canadian and Exotic flooring products. We’ve earned a high reputation with our products and services, and we’ve been the go-to retail store for many homeowners, contractors, realtors, designers, and builders.

Our tagline is ‘Everything is on Sale’ because of our affordable prices. We offer no compromise on our flooring products, since everything is backed by a manufacturer’s warranty to offer you peace of mind.

Visit one of our Showrooms Near you!

Flooring Liquidators currently has 13 showrooms and is rapidly expanding with the aim of becoming a dominant force in the flooring industry. Our service areas are all of the GTA, Toronto, Brampton, Hamilton, Oshawa, Mississauga, Newmarket, Barrie, London, and Ottawa. Contact us now for a location near you.",flooring-liquidators,2015-09-22T09:10:57.000-04:00,NA,NA,NA,,"Hardwood, Laminate, Vinyl, Carpet Installation, Residential, Commercial","Twelve Oaks, Umbrella, HardWoodPlanet, Grandeur, Floors @ Work, Fuzion Flooring, Canadian Standard, Beaulieu Canada, Anatolia, Peerani's Flooring, GreenTouch, Kraus, PG Model, Sherwood Forest Products, ",,2006,30,"E Transfer, Debit, Credit, Certified Cheqs, Financing, Cash",,,,TRUE,FALSE,,,TRUE,FALSE,"1 year on installation, 25 years - lifetime on product. Kindly ask for more details.",1939009,Flooring Liquidators,170,144,37,9.43056,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2020-02-14T12:56:45.000-05:00,floorliquidators,FALSE,0,1,36,0,FALSE,60b2b69dcb0b3f678bf76c1ee01409b33968b216,TRUE,2022-07-15T11:54:26.000-04:00,TRUE,TRUE,2281421,94.9836167594,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2960701,http://www.kingdomflooring.ca/,/companies/2960701-kingdom-floors-decor?searched_category_id=359&service_area=2263484,"At Kingdom we believe that quality and excellence is the key to successfully serving our Customers. Our Royal Team will help you choose the right quality product to meet any of your budget needs. From there, our Team completes every task spotless to your satisfaction.

We sell and install a variety of products from flooring to ceiling. We carry the best and most reliable of brands when it comes to our vinyl, laminate, hardwood, ceramic, carpet and window coverings.

For years, Kingdom Flooring has been at the forefront of Flooring Services serving the Cities of Ottawa, Gatineau, Cornwall, Brockville, Kingston, Pembroke and all other surrounding Townships.

All of our dedicated staff works hard to ensure our customers have an enjoyable experience at Kingdom Floors and Decor. We pride ourselves on customer satisfaction. We will work with you to navigate our carefully selected products in order to achieve a design that is practical and stylish. Whether you are visiting our showroom, working on a full renovation project, or designing your new space we will help you every step of the way.",kingdom-floors-decor,2021-10-19T17:45:14.000-04:00,NA,NA,NA,"laminate, hardwood, ceramic, carpet, luxury vinyl plank, vinyl tile, window coverings, shutters","Sell and Install, Flooring, Window Coverings, Residential, Commercial, Hospitality","Hunter Douglas, Eclipse Shutters, Torly's, Shaw, Mohawk, Twelve oaks, PG Model, Goodfellow, Daltile, Ciot, Sarana, NAF, Canadian Standard, Next Floor, Shnier and much more!",,NA,NA,,,,,TRUE,FALSE,,,FALSE,FALSE,,2022672,Kingdom Floors & Decor ,2,2,76,10,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Carpet & Rug Retailers, Carpet Stores, Oriental Rugs, Wool Rugs, Runners, persian rugs, persian carpets, oriental carpets, area rugs, broadloom, wool carpets, carpet, carpets, carpet shops, carpet and floor, floor carpet, floor and carpet, best carpet, carpet and home, home carpet, new carpet, carpet for sale, carpet sale,carpet buy, new carpets, rug stores, new rug, wool carpet, carpet installation, cheap rugs, ,Carpet Installers, Installing carpets, rug installation, carpet installation, broadloom installers, broadloom installation, Broadloom Stretching, Broadloom restretching, Broadloom re-stretching, wall to wall rug installation, wall to wall carpet installation, carpet installers, rug installers repair, install tile ,backsplash , fire place veener, wall stone veener bath room mosaic, ,Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2021-10-19T17:46:21.000-04:00,,FALSE,0,0,83,0,FALSE,3dd88a2f4eabff73d89ef28bfd92ad9e9097df5e,TRUE,NA,TRUE,TRUE,2263484,86.6389124952,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2653504,http://www.estra.ca,/companies/2653504-estra-flooring-services-corporation?searched_category_id=359&service_area=1666708,"Estra Flooring has been serving the Ottawa community with uncompromising quality and exceptional customer service in the flooring industry since 1971. Now in our second generation, we continue to combine old world artisanship with the latest in flooring technology, with a wide variety of styles and products to accommodate a vast spectrum of home and commercial décor.

Our portfolio includes a number of notable and prestigious projects including hardwood flooring at the main function room at Rideau Hall, 24 Sussex Drive, the Rideau Club, the Committee Room on Parliament Hill and all the hardwood flooring at the National Gallery of Canada including the Rideau Street Chapel which has been reassembled there as a permanent exhibit.

Pre-Finished and Unfinished Wood Installation - simple and complex installations.
Sanding and Staining - change the mood and color of your floors, or renew the look of worn out existing hardwood floors.

Screen and Coat - refresh the sheen and the glamour, removes existing finish replaces it for a much cleaner and fresher look.

Our specialties include:

Custom Hardwood including rare & exotic woods,

Solid & Engineered,

Laminates, Cork, Bamboo

Ceramic Tile, Glass Tile

Luxury Vinyl Tile

Carpet and Carpet Tile

Condo (sound absorbent) floors

Sales, Service, Custom Designs, Free on site Estimates.

Residential –  primarily our business comes from our valued residential clients. We offer the utmost in friendly and practical advice, making sure that whatever your budget, we can make your dreams come true.

Commercial – Estra Flooring has maintained special relationships with Ottawa’s most prestigious architects, designers, builders and agencies such as Ottawa Community Housing as a result of our goal to achieve the best result as dictated by our commercial partners' expertise.

From the Rideau Hall to your home, the service we provide is of unparalleled quality.

Please visit our showroom located at 439 Preston Street, Ottawa, Ontario K1S 4N5

Monday through Saturday, Office:  613-233-0149                          

At Estra Flooring the coffee and hospitality is always on!
",estra-flooring-services-corporation,2008-03-04T16:55:15.000-05:00,NA,NA,NA,"Hardwood Flooring;
Solid Prefinished Hardwood Flooring
Engineered Prefinished Hardwood Flooring
Unfinished Hardwood Flooring
Carpet, Luxury Vinyl, Laminated, Cushion Flooring, Ceramic/Porcelain Tile
Kitchen Cabinets, Bathroom Vanities, Closet Cabinetry
DIY Products
Wood Paneling
Stacked Stone
Leather Wall Paneling
Brick Veneer Wall Paneling","Sales & Installation of Flooring
Kitchen & Bath Renovations
Basement Renovations
Additions
Commercial & Residential
","Appalachian Hardwood Flooring
Hardwood Planet Flooring
Richmond Flooring
Armstrong Flooring
Fuzion Flooring
Epico Flooring
Vidar Flooring
Ciot Tiles
Casa Roma Tiles
Beaulieu Carpet & Flooring
Lexmark Carpet
Tarkett
Sunca Global Forest Products
Impex Stone
Schluter Canada",Custom Floor Designs.,1971,5,"Cash, Check, Bank Draft, E Transfers",,,,TRUE,FALSE,,,TRUE,FALSE,"Manufacturers Warranty on Materials, 1 Year Labor Warranty on Installation",1716556,Estra Flooring Services Corporation,16,12,110,9.08333,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Foundations, foundation repair, foundation pouring, foundation, the foundation, foundations, foundation for home, home foundation, foundation of home, foundation home, the home foundation, foundation house, house foundation, foundation of a house, foundation for a house, building foundation, homes foundation, foundation for homes, foundation homes, foundations home, foundations house, house foundations, foundations for homes, home foundation repair, building home foundation, manufactured homes foundation, types of home foundations, home foundations types, home foundation problems, mobile home foundations, home building foundations, home foundation cracks, cracks in home foundation, new home foundations, home foundation design, foundation design, foundation cracks, underpinning, ,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,Kitchen Planning & Renovation, Kitchen Planning And Design, Kitchen Cabinet Planning, Kitchen Design, Kitchen Remodeling, kitchen or, and bathroom, a and a kitchens, kitchens and, for kitchens, a kitchens, kitchens, the house design, cabinets for kitchen, cabinets for the kitchen, cabinets and kitchen, kitchen cabinets, design a kitchen, about kitchen design, a kitchen design, how to kitchen design, design and kitchen, the kitchen design, design for kitchen, kitchen designs, renovation and remodeling, remodeling and renovation, kitchen designer,,Kitchen Renovation, caulking, ,",0,2017-03-02T16:04:32.000-05:00,estraflooring,FALSE,0,0,116,NA,FALSE,78e3e328ce17878539e24ce678a7da097a10acd2,TRUE,2016-12-29T19:59:39.000-05:00,TRUE,TRUE,1666708,89.1498285466,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2578574,NA,/companies/2578574-infinity-flooring-inc?searched_category_id=359&service_area=1591778,NA,infinity-flooring-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1641626,Infinity Flooring Inc,9,7,0,9.85714,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2017-02-20T20:14:06.000-05:00,NA,FALSE,0,0,0,NA,FALSE,76c0a756cb5a39cd11abe0237fdf03cc618adcbb,TRUE,2013-03-20T16:07:49.000-04:00,TRUE,FALSE,1591778,76.1712302282,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2814895,NA,/companies/2814895-emco-flooring-solutions?searched_category_id=359&service_area=1891236,"EMCO Flooring Solutions is a specialized residential and commercial flooring company based in Ottawa. It offers a wide selection of high quality, long lasting flooring choices at very affordable prices.",emco-flooring-solutions,2013-09-21T03:38:38.000-04:00,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1877840,Emco Flooring Solutions,1,1,0,10,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,NA,NA,FALSE,0,0,0,0,FALSE,2160ebea5c7b8c9229351a73441c55ffed881ea2,FALSE,2012-11-07T13:03:29.000-05:00,FALSE,FALSE,1891236,39.6565934066,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2881583,NA,/companies/2881583-continental-flooring?searched_category_id=359&service_area=2074641,NA,continental-flooring,2015-12-26T11:26:40.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1944007,Continental Flooring,6,4,0,7,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,NA,NA,FALSE,0,0,0,0,FALSE,a53ae4d3d9127ca9b29ec11b486c87eb11cf8fde,FALSE,NA,FALSE,FALSE,2074641,60.3952617928,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2890015,,/companies/2890015-xpression-hardwood-floors?searched_category_id=359&service_area=2103073,"Xpression Hardwood Floors Ottawa specializes in custom made hardwood flooring. In addition to our own line of hardwood floors, we also carry a wide range of products from top suppliers including: Prefinished and Unfinished Hardwood, Natural and Manufactured Stone Veneers, Ceramic and Porcelain Tiles, Cork-Bamboo-Laminate-Engineered, Underlay Paper and Membrane.

Whether you are a retail customer, designer or contractor, we have all of your flooring needs covered. Come visit our spacious modern showroom to see why we are Ottawa’s fastest growing flooring company.""",xpression-hardwood-floors,2016-08-31T03:49:55.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1952439,Xpression Hardwood Floors,4,4,1,5,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2022-06-06T13:03:48.000-04:00,,FALSE,0,0,2,0,FALSE,9d49a2cf4ee2b1c9d4b948c84933740713eca9f3,FALSE,NA,TRUE,FALSE,2103073,34.4881692136,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2958100,NA,/companies/2958100-red-dot-flooring?searched_category_id=359&service_area=2257594,NA,red-dot-flooring,2021-07-16T10:52:15.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2020077,Red Dot Flooring,0,0,0,NA,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2021-07-16T10:55:11.000-04:00,NA,FALSE,0,0,1,0,FALSE,6c32307ac85d13091027ab22acd02279f512627d,FALSE,NA,FALSE,FALSE,2257594,-1.0,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2946788,NA,/companies/2946788-serenity-floor-coverings?searched_category_id=359&service_area=2232495,NA,serenity-floor-coverings,2020-08-17T09:19:55.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2008925,Serenity Floor Coverings,0,0,0,NA,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2020-08-17T09:21:30.000-04:00,NA,FALSE,0,0,0,0,FALSE,3441a2e638305fdd7a20daa55403a8b76043cb49,FALSE,NA,FALSE,FALSE,2232495,-1.0,359,NA,NA
https://homestars.com/on/britannia/floor-retailers,29,"c(""https://homestars.com/on/britannia/floor-retailers?&page=2&"", ""https://homestars.com/on/britannia/floor-retailers?&page=3&"")",Floor Retailers,2938570,https://www.italcrete.com/,/companies/2938570-ital-crete-epoxy-flooring?searched_category_id=359&service_area=2214349,"Epoxy is an industrial coating includes a wide variety of colours, design and textures. It is durable with low maintenance; resistant to damage; attracts less dirt, is easy to clean and safe for home and business. The benefits of the coating are immediate. The concrete is protected from everyday wear and tear, becomes slip and chemical-resistant, and its overall appearance is improved, in addition to the floor becoming easier to clean and maintain. Check out our website to see our various products and services we provide.",ital-crete-epoxy-flooring,2020-01-04T21:14:26.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2000744,Ital-Crete Epoxy Flooring,0,0,14,NA,"Floor Retailers, Flooring, Hardwood Floors, Wood Floors, Floor & Tile Stores, laminate, and tile, carpet and, flooring flooring, the flooring, a flooring, floors floors floors, the floors, floors on floors, a floors, floor flooring, flooring floor, flooring and tiles, floor and wood, wood flooring, wood and flooring, wood floors, hardwood flooring, hardwood floors, flooring and tile, tile and flooring, tile flooring, tiles floors, floors and tiles, tile and floor, floor and tile, linoleum, laminate flooring, flooring and laminate, laminate flooring, laminate floor, wooden floors, wooden flooring, laminate floors, laminated flooring, vinyl flooring, tiles and floors, tile floors, carpet and tile, floor covering, carpets and tiles, slate, ceramic, concrete, herringbone,",0,2020-01-04T21:15:52.000-05:00,NA,FALSE,0,0,15,0,FALSE,941c5ef28f30d82e84f14f9c575d26ae3fa4ee79,FALSE,NA,FALSE,FALSE,2214349,-1.0,359,NA,NA
