Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2773145,http://www.mydh.com,/companies/2773145-dependable-hometech?searched_category_id=335&service_area=1786349,"With everything from PC Support & Repair to our Digital Vault online back-up, storage & sharing tool to Home Entertainment installation to Security & Observation Systems - we are your complete digital lifestyle solution.",dependable-hometech,2008-09-18T06:05:36.000-04:00,NA,NA,"8:00 am - 11:00 pm, 7 days a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1836197,Dependable Home Tech,2,2,0,6.5,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2008-09-18T06:05:32.000-04:00,FALSE,0,0,0,FALSE,9376292408b2f3f218a2b233acf2ea6f865f917e,FALSE,2016-10-25T12:25:49.000-04:00,FALSE,FALSE,1786349,38.7291181198,335,NA,NA,NA
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2902399,NA,/companies/2902399-simple-computer-support?searched_category_id=335&service_area=2134205,NA,simple-computer-support,2017-09-18T18:20:05.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1964584,Simple Computer Support,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2017-09-18T18:20:37.000-04:00,FALSE,0,0,0,FALSE,e81de59f9788b0a1fb3fef5077613923fd730d61,FALSE,NA,TRUE,FALSE,2134205,-1.0,335,NA,NA,0
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2788379,NA,/companies/2788379-home-and-small-business-computer-services-inc?searched_category_id=335&service_area=1846639,NA,home-and-small-business-computer-services-inc,2011-06-21T10:05:11.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1851431,Home And Small Business Computer Services Inc.,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2011-06-21T10:05:12.000-04:00,FALSE,0,0,0,FALSE,b161045cf83c5a7599f098b18267e021af12cc2b,FALSE,NA,FALSE,FALSE,1846639,-1.0,335,NA,NA,NA
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2932417,http://www.awesomecomputers.ca,/companies/2932417-awesome-computers?searched_category_id=335&service_area=2200144,"Are you looking fast and friendly computer repair and help? We are an experienced team of computer techs who are offering awesome computer help for a reasonable price. Our goal is to make relationships with out customers buy offering friendly and patent support.


If you are tired of computer people who don’t listen or don’t get the job completed, then we are the team for you. Experience only comes second to our customer service.


> We offer the following services:


Home networking including WIFI
Internet issue
Slow computer issues
Virus and malware removal
Computer tune-ups (make your computer fast)
Laptop and desktop upgrades
Used laptops, desktops and monitors
If you are looking for a team that works proactively after the issue is resolved, then ask us about our cost effect maintenance packages.


Contact Us
Phone: (905) 769-0814
Email: help@awesomecomputers.ca
Web: AwesomeComputers.ca",awesome-computers,2019-06-23T09:34:21.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1994591,Awesome Computers,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,2019-06-23T09:34:48.000-04:00,FALSE,0,0,1,FALSE,5b7fbf8f42e45d23d191d2ed529fac6b648dc487,FALSE,NA,TRUE,FALSE,2200144,-1.0,335,NA,NA,0
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2797953,NA,/companies/2797953-seyler-associates-inx?searched_category_id=335&service_area=1861368,NA,seyler-associates-inx,2012-05-11T09:52:48.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1861005,Seyler & Associates Inx.,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,4ce5181b9008479f6c8d7947c49cacfd748e88ac,FALSE,NA,FALSE,FALSE,1861368,-1.0,335,NA,NA,NA
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2858743,NA,/companies/2858743-smart-computers?searched_category_id=335&service_area=1989407,"we are professional IT company running the business over 12 years. we offer computer parts, service, networking, data recovery, backup, printing all at competitive price. we service residential and business.
we are location in Burlington",smart-computers,2014-09-04T15:58:57.000-04:00,NA,NA,10am - 5 pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1921173,Smart Computers,0,0,0,NA,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,6f12a093a7d7ff5e9f1e142d46ef47b033b2f5d4,FALSE,NA,FALSE,FALSE,1989407,-1.0,335,NA,NA,0
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2603320,NA,/companies/2603320-nigel-computers?searched_category_id=335&service_area=1616524,NA,nigel-computers,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1666372,Nigel Computers,5,4,0,7,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2012-03-16T13:16:56.000-04:00,FALSE,FALSE,1616524,0.0,335,NA,NA,NA
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2897607,NA,/companies/2897607-wintronic-computers-plus?searched_category_id=335&service_area=2124312,NA,wintronic-computers-plus,2017-05-29T17:39:13.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1960031,Wintronic Computers Plus,2,2,0,0,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,2124312,0.0,335,NA,NA,0
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,201721,NA,/companies/201721-computer-xpress?searched_category_id=335&service_area=1803234,NA,computer-xpress,2008-01-23T10:25:10.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,57521,Computer Xpress,1,1,0,0,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1803234,0.0,335,NA,NA,NA
https://homestars.com/on/burlington/computer-repairs-service,26,"c(""https://homestars.com/on/burlington/computer-repairs-service?&page=2&"", ""https://homestars.com/on/burlington/computer-repairs-service?&page=3&"")",Computer Repairs and Support,2571488,NA,/companies/2571488-burlington-computer-clinic?searched_category_id=335&service_area=1584692,NA,burlington-computer-clinic,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1634540,Burlington Computer Clinic,1,1,0,0,"Computer Repairs and Support, Computer Tech Support, Computer Technical Support, Computer Network Support, Online Computer Support, Computer Repair, it services, it repair, computers it, it support, support it, support in it, it maintenance, it repairs, it service and support. it support service, it service support, it support services, support services it, it support and services, it services and support, data recovery, how to repair computer, computer repair computer repair, it computer repair, a computer repair, repair computer, computer repair in, tech support, pc repair, repair pc, a pc repair, computer repair pc, computer pc repair, pc computer repair, fix pc, pc fix, fix it pc, pc fix it, computer fix it, fix it computer, fix computer, computer fix, a computer fix, pc & laptop, repairs computer, virus removal, virus in computer, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1584692,0.0,335,NA,NA,NA
