Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2952454,,/companies/2952454-f1-contracting?searched_category_id=323&service_area=2294242,"For over 20 plus years F1 contracting has been the leader in carpentry and reno work serving Hamilton , Stoney Creek and Halton. Our work speaks for itself along with meeting deadlines and homeowner satifaction is our main goal.    From hanging a door to complete bathroom and basement work no job is to big or small.   ",f1-contracting,2021-01-28T13:30:21.000-05:00,NA,NA,NA,,,,,2001,NA,,,,,TRUE,FALSE,,,FALSE,FALSE,,2014550,F1 Contracting,9,9,77,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2021-01-28T13:31:52.000-05:00,,FALSE,0,0,83,0,FALSE,43767ff2d403b0a9e2804f1b10b3cb4ada5c42c9,TRUE,2022-11-01T13:12:24.000-04:00,TRUE,TRUE,2294242,90.876424732,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2966285,,/companies/2966285-niagara-precision-carpentry?searched_category_id=323&service_area=2275946,,niagara-precision-carpentry,2022-03-23T17:20:43.000-04:00,NA,NA,NA,"Interior doors, windows, molding installation. Mantels, wall details, wainscoting etc. available as well","Full house trimming
Service calls for repairs and  small items
Renovations",,,2016,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2028210,Niagara Precision Carpentry,4,3,13,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Trim and Moldings, Wood Mouldings, Architectural Mouldings, Decorative Mouldings, Ornamental Mouldings, Mouldings For Picture Frame, Trimwork, wood moldings, architectural moldings, ornamental moldings, decorative moldings, decorative mouldings, dado rails, wood paneling, French baseboards, 9"" baseboards, stair rails, stair bannister, cornice moulding, crown moulding, crown molding, molding, moulding molding, molding or moulding, molding trim, molding and trim, trim molding, moulding and trim, moulding trim, trim moulding, mouldings, moldings, crown molding, molding crown, crown molding in, crown moulding, moulding crown, crown molding moulding, door trim molding, door trim moulding, trim mouldings, mouldings trim, mouldings and trim, moldings crown, crown moldings, crown mouldings, install crown molding, crown molding cut, cut crown molding, crown moulding cut, cut crown moulding, molding company, wood trim moulding, molding corner, corner molding, mold trim, plastic trim moulding, molding corner, corner molding, mold trim, plastic trim moulding, plastic moulding trim, moulding company, corner moulding, moulding corner, plastic trim molding, moldings and trim, moldings trim, trim moldings, molding co, molding companies, installing crown molding,,",0,2022-03-23T17:21:14.000-04:00,,FALSE,0,0,17,0,FALSE,9de5907fad671426d89662a1bf9c3bca6ac3d829,TRUE,NA,TRUE,TRUE,2275946,89.3100259766,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2964187,,/companies/2964187-madeira-woodworking?searched_category_id=323&service_area=2273781,,madeira-woodworking,2022-01-31T16:50:03.000-05:00,NA,NA,NA,,,,,2018,NA,Cash | Cheques | E-Transfer,,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2026119,Madeira Woodworking,3,3,50,10,"Handyman Services, Handyman, Home Handyman, Handyman Business, Repairmen, Repairman, house doctor, how to be a handyman, what is a handyman, the handyman, a handyman, handy man, the handy man, handy handyman, home repair, in home repair, handymen, the handymen, improvements home, home remodeling, home improvement remodeling, remodeling home improvement, hand man, kitchen and remodeling, home improvement and repair, home repair and improvement, home improvement repair, remodeling and repair, home remodeling and repair, home repair and remodeling, home repair remodeling, home remodeling repair, home improvements remodeling, repair house, house repair, house remodeling, house improvements, property maintenance, home maintenance, home repairs, in home repairs, repairman, services handyman, the handyman service, service handyman, handyman service, handy services, house repairs, repairs house, repair homes, service contractors, mr fix it, mud room, mudroom, caulking,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2022-01-31T16:51:25.000-05:00,madeira,FALSE,0,0,50,0,FALSE,7a501fdeefb5d0b2de1182e093bd0984657cd022,TRUE,NA,TRUE,TRUE,2273781,88.9636628015,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2971525,NA,/companies/2971525-kushtrim-carpentry-inc?searched_category_id=323&service_area=2288343,NA,kushtrim-carpentry-inc,2022-08-09T14:55:00.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2033436,Kushtrim Carpentry Inc.,0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2022-08-09T14:56:58.000-04:00,NA,FALSE,0,0,1,0,FALSE,87199372543575a876c0b5e71741837232dcb086,FALSE,NA,TRUE,TRUE,2288343,-1.0,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2943001,https://n3carpentry.com/,/companies/2943001-n3-carpentry?searched_category_id=323&service_area=2223947,"At N3 Carpentry we provide a full range of professional design and build options including: 
Custom Stair Case
Finish Trim
Interior & Exterior Doors
Windows
Metal Work
Flooring Hardwood, Laminate & Vinyl
Bathroom Renovations
Kitchen Renovations
Basement Reno & Finishing
Decks
Fences
Concrete
Garage & Shed
Pool House
Custom Barn Wood:
Mantles
Feature Walls
Entertainment Units
Living room  & Dining Tables
Custom Lighting
Custom Coat Racks
Choose the service that’s right for you. 

Reliable & Professional
N3 Carpentry was founded on the tradition of our families values.   Our family of three is committed to building a business based on a foundation of integrity.  When you have a project we are committed to delivering premier customer service with quality products that are second to none.  We fully understand our industry, and we know having confidence in your contractor means everything.  Welcome to the Nimeth family! 

Customer Satisfaction Guaranteed!
It is our highest priority to get the job done right and within your budget. We strive to save you both time and money by combining our 20 years of experience. We've built our reputation on using the highest quality products and our dedication to delivering exceptional client service.  All workmanship is guaranteed for 60 days. Red Seal Canadian Ministry Certified. Licensed & Insured.   
N3 is the Art of Quality Carpentry.


",n3-carpentry,2020-05-04T09:15:32.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2005175,N3 Carpentry,2,2,1,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2020-05-04T09:16:19.000-04:00,NA,FALSE,0,0,2,0,FALSE,07ca36e49f85698dbcff8ccb2af93dd51549242b,TRUE,NA,FALSE,FALSE,2223947,83.9352971293,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2959741,https://www.instagram.com/nrf_construction/,/companies/2959741-nrf-construction?searched_category_id=323&service_area=2261253,"Carpenter located out of St. Catharines, ON
Message for inquiries - Quotes are free!
nrf.construction@outlook.com
",nrf-construction,2021-09-15T11:01:33.000-04:00,NA,NA,NA,,,,,2021,1,"Cash, Cheque, Etransfer",,,,FALSE,FALSE,,,TRUE,FALSE,Yes - Contract for Details,2021717,NRF Construction,1,1,8,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2021-09-15T11:04:07.000-04:00,NRFConstruction,FALSE,0,0,9,0,FALSE,3489fb02907ebbbc9c7512b10abaaf975d5472d7,TRUE,NA,TRUE,FALSE,2261253,84.1895604396,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2935637,NA,/companies/2935637-grizzly-renos?searched_category_id=323&service_area=2207557,NA,grizzly-renos,2019-10-04T14:41:20.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1997811,Grizzly Renos,0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2019-10-04T14:42:57.000-04:00,NA,FALSE,0,0,0,0,FALSE,75e839819a6589d6dc588e1e0f6933783a381880,FALSE,NA,FALSE,FALSE,2207557,0,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2946237,https://rockmapleniagara.wixsite.com/website?fbclid=IwAR0fgEgAkm1qhR2YF0E_V-rWqcA2im5MUON4qZa9DriBGYblYA8YA8HA2iQ,/companies/2946237-rock-maple-niagara-ltd?searched_category_id=323&service_area=2231252,"A great, young business providing construction solutions in the Niagara Region. Although the business is new, the owners have plenty of experience in residential and commercial construction. A red seal graduate in General Carpentry, this business is licensed, insured, and excited to work with you on moving forward in making your dreams and visions a reality in your home. You live in your space, it is now time to love your space!",rock-maple-niagara-ltd,2020-07-30T14:27:27.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2008374,Rock Maple Niagara LTD,0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2020-07-30T14:28:05.000-04:00,NA,FALSE,0,0,1,0,FALSE,a3befa3bc65e03311a47f50d56f6f1923f522bfd,FALSE,NA,TRUE,FALSE,2231252,0,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2914668,NA,/companies/2914668-carpentry-by-leblanc?searched_category_id=323&service_area=2160252,NA,carpentry-by-leblanc,2018-04-17T07:25:59.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1976852,Carpentry By Le Blanc,0,0,49,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2018-04-17T07:28:23.000-04:00,NA,FALSE,0,0,50,0,FALSE,88fbc8d2b9da5ee3d1218a3ee3b0c9921820a722,FALSE,NA,FALSE,FALSE,2160252,-1.0,323,NA,NA
https://homestars.com/on/dennis-port/carpenters,17,https://homestars.com/on/dennis-port/carpenters?&page=2&,Carpenters,2975121,NA,/companies/2975121-handyrenovations?searched_category_id=323&service_area=2296789,NA,handyrenovations,2022-10-30T23:07:07.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2037019,HANDYRENOVATIONS ,0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2022-10-30T23:07:42.000-04:00,NA,FALSE,0,0,0,0,FALSE,14d310d6e92a303a41fcaf7e86e47b634f692849,FALSE,NA,FALSE,NA,2296789,0,323,NA,NA
