Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache,latest_approved_review_created_at
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2639796,NA,/companies/2639796-don-s-drywall-supplies-ltd?searched_category_id=474&service_area=1653000,NA,don-s-drywall-supplies-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1702848,Shoemaker Drywall Supplies,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,2008-03-04T16:55:15.000-05:00,FALSE,0,0,0,FALSE,f4bf7b59f78789eaa996a5c57d005bf34ad50426,FALSE,FALSE,FALSE,1653000,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2903121,NA,/companies/2903121-maddmudders-ltd?searched_category_id=474&service_area=2135734,NA,maddmudders-ltd,2017-10-05T17:14:58.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1965306,Maddmudders Ltd,0,0,1,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,2017-10-05T17:15:57.000-04:00,FALSE,0,0,2,FALSE,db21fbebfa38a4197c51bfe5b29861bb9b455d09,FALSE,FALSE,FALSE,2135734,0,474,NA,NA,0,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2903986,NA,/companies/2903986-maintenance-vva?searched_category_id=474&service_area=2137656,NA,maintenance-vva,2017-10-25T22:34:14.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1966171,Maintenance Vva,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,2017-10-25T22:35:03.000-04:00,FALSE,0,0,0,FALSE,d6eeeefb385ffa8b45f965b8f33a48cd1d21b645,FALSE,FALSE,FALSE,2137656,0,474,NA,NA,0,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2571663,NA,/companies/2571663-bice-sons-drywall-stucco-services-ltd?searched_category_id=474&service_area=1584867,NA,bice-sons-drywall-stucco-services-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1634715,Bice & Sons Drywall/Stucco Services Ltd,2,2,0,10,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1584867,79.2733940619,474,NA,NA,NA,2008-12-09T16:57:24.000-05:00
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2565705,NA,/companies/2565705-gyp-tec-drywall?searched_category_id=474&service_area=1578909,NA,gyp-tec-drywall,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1628757,Gyp-Tec Drywall,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1578909,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2613894,NA,/companies/2613894-bt-drywall-ltd?searched_category_id=474&service_area=1627098,NA,bt-drywall-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1676946,BT Drywall Ltd,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1627098,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2753965,NA,/companies/2753965-northern-lights-drywall-ltd?searched_category_id=474&service_area=1767169,NA,northern-lights-drywall-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1817017,Northern Lights Drywall Ltd,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1767169,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2565362,NA,/companies/2565362-gas-city-drywall-acoustic-ceilings-ltd?searched_category_id=474&service_area=1578566,NA,gas-city-drywall-acoustic-ceilings-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1628414,Gas City Drywall & Acoustic Ceilings Ltd,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1578566,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2565704,NA,/companies/2565704-patterson-bros-drywall-1991-ltd?searched_category_id=474&service_area=1578908,NA,patterson-bros-drywall-1991-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1628756,Patterson Bros Drywall (1991) Ltd,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1578908,0,474,NA,NA,NA,NA
https://homestars.com/on/desert%20blume/drywall-contractors,10,https://homestars.com/on/desert%20blume/drywall-contractors,Drywall Contractors,2632638,NA,/companies/2632638-j-s-drywall-service-ltd?searched_category_id=474&service_area=1645842,NA,j-s-drywall-service-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1695690,J & S Drywall Service Ltd,0,0,0,NA,"Drywall Contractors, Dry Wall Repair, Dry Wall Installation, dry wall contracting, gypsum repair, gypsum installation, gypsum contractors, gyprock installers, gyprock intallation, dry wall installers, sheetrock, wall board, drywall, drywaller, waller, wall repair, drywall, plaster, how to drywall, drywall, what is drywall, sheetrock, dry wall, plastering, wall repair, drywall repair, how to repair drywall, repair drywall,  ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1645842,0,474,NA,NA,NA,NA
