Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2773451,https://www.barbequepro.com/book-bbq-cleaning-repair-service-toronto-gta,/companies/2773451-bbq-pro?searched_category_id=317&service_area=2054835,"

Toronto's premier company for all barbeque, gas fireplace and needs. We specialize in cleaning and repair and pride ourselves on quality and customer service.  
At Barbeque Pro Inc. there’s always someone on the other end of the phone line during business hours. Our sales department, parts department and service department are tasked with ensuring a prompt, courteous and efficient response to your inquiries.
Barbeque cleaning, gas fireplace cleaning, repairs, sales, and service.
Barbeque Pro specializes in Kosher cleanings!

Barbeque Pro is now quoting and installing gas lines! call or click now to get a quote! Wow! That was easy!!!

",bbq-pro,2008-11-12T04:09:28.000-05:00,NA,NA,NA,,"On-site barbeque cleaning, gas fireplace cleaning and patio heater rental.",,,2005,22,cheque or credit card,,G2 licensed gas technicians ,,TRUE,FALSE,,,FALSE,FALSE,,1836503,Barbeque Pro Inc.,509,447,24,9.69351,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,",0,2012-06-28T13:56:19.000-04:00,bbqpro,FALSE,0,0,39,FALSE,36af930c223e85eaafe4b38efba75628ebf0fd63,TRUE,2022-11-05T13:50:29.000-04:00,TRUE,TRUE,2054835,97.1968256528,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2565800,https://www.classicfireplace.ca,/companies/2565800-classic-fire-place-bbq-store?searched_category_id=317&service_area=1579004,"TORONTO - AJAX - WHITBY - SCARBOROUGH   //   Classic Fireplace & BBQ Store is YOUR FIREPLACE PROFESSIONAL. 
We carry gas, electric & wood fireplaces (traditional, contemporary & modern), custom fireplace doors & mantels. 
Accessories including tool sets, screens & wood holders.  
BBQs, Smokers, charcoal grills and accessories!
We are open for business and we are following all Covid-19 regulations.
416-283-2783",classic-fire-place-bbq-store,2008-03-04T16:55:15.000-05:00,NA,NA,"Tu-F 11-7, Sa-Su 11-4","Gas fireplaces, wood stoves, electric fireplaces, gas inserts, gas logo sets, outdoor fireplaces, mantels, custom fireplace doors, custom mantels, toolsets, screens, hearth cleaning products.
Natural gas and propane BBQs, built-in BBQs, charcoal grills, smokers, portable BBQs, BBQ accessories, patio heaters.   ","Professional gas, wood and electric fireplaces sales and installation.  Fireplace service.  BBQ sales experts. ","Napoleon, Valor, Stuv, Jotul, Montigo, Ortal, Morso, Dimplex, Amantii, HearthStone, Solas, Real-Fyre,  Multi-Cast, Fires of Tradition, Anvil, Pilgrim, Minuteman, FDM Co, Thermo-Rite, WD Metalcraft, Rutland, Big Green Egg, Lynx, The Outdoor Great Room Company, Dekko Concrete, HPC, ",,1982,20,"VISA, Mastercard, American Express, personal cheque & cash",,"Certified Gas Technicians, WETT (Wood Energy Technology Transfer) certified & TSSA licensed",,TRUE,FALSE,,,TRUE,FALSE,Product specific.,1628852,Classic Fireplace & Bbq Store,221,202,1,9.90099,"Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,2008-09-15T07:07:31.000-04:00,classicfirebbq,FALSE,0,0,13,FALSE,57fbd6c9b7313bc9a42cb4b8d12dc5844c0057fa,TRUE,2022-08-31T11:35:46.000-04:00,TRUE,TRUE,1579004,99.0765913756,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,318260,http://www.metrowestgas.ca,/companies/318260-metrowest-gas-appliance-installation-ltd?searched_category_id=317&service_area=2096696,"metrowest gas & appliance installation ltd

heating fuels contractor,
gas appliance installation,
gas piping,
appliance hook up,
gas lines,
natural gas,
gas installers,
gas fireplace repair,
gas fireplace installation,
barbeque install,
bbq hook up,
red tag,
unbridle warning tag,
pool heater service & repair,
pool heater start up,
gas fitter,
gas leak repair,
gas leak detection, 
gas stove,
gas range,
underground gas piping,
636 vent piping
gas fire pits
hot water tanks
gas dryer,
gas appliance repair,
under ground gas lines,
range hood,
hoof fan ,
enbridge warning tag,
union gas warning tag,
direct energy warning tag,
infraction tag,
ventilation,
plumbing,
propane installation,
gas warning tags,
chimney liner,
heater install,
underground gas lines,
threaded iron gas piping,
gas fire pit,
gas fire table,
washroom fans,
coring ventilation holes,
custom sheet metal,
gas company,
venting,
csst tubing
copper piping
iron piping 


",metrowest-gas-appliance-installation-ltd,2007-11-14T18:47:54.000-05:00,NA,"burlington
<br />oakville
<br />mississauga
<br />milton
<br />brampton
<br />etobicoke
<br />toronto
<br />hamilton
<br />ontario",everyday 8am to 8pm and 24 hour service,,"fully licensed, 
fully insured,
23 years experience,
TSSA heating fuels approved contractor,
gas fitters licence,
gas tite licence,
ward flex licence,
venting certificate,
under ground piping certificate, 
iron pipe threading ,
appliance manufacture training,
plumber,
home inspector, 
infraction tags, warning tags",,"natural gas services, custom appliance installation, hood fan ventilation, plumbing services, heating contractor,
gas appliance repair,  636 venting, csst piping systems,",1999,2,cheque. cash. visa .e transfer .master card.invoice.,,goverment of ontario,TSSA  WSIB  BBB,TRUE,TRUE,,100$,TRUE,FALSE,one year parts and labour,112550,Metrowest Gas & Appliance Installation Ltd.,157,137,26,9.79562,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",2,2009-02-17T19:04:47.000-05:00,metrowestgas,FALSE,0,0,26,FALSE,c6dc725d0104ff58785db0cf473fb280c550fb85,TRUE,2022-10-27T15:31:21.000-04:00,TRUE,TRUE,2096696,98.2629657307,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2960711,,/companies/2960711-bbq-cleaning-and-technicians-services?searched_category_id=317&service_area=2263505,,bbq-cleaning-and-technicians-services,2021-10-20T10:00:37.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2022682,Bbq cleaning and technicians services,10,10,17,9.9,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,2021-10-20T10:03:03.000-04:00,bbqcleaningandtechservices,FALSE,0,0,38,FALSE,ec206235fdf082bf9c688c10610da38964f5ee35,TRUE,2022-07-14T12:20:36.000-04:00,TRUE,TRUE,2263505,95.4663153532,317,NA,NA,0
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,202696,http://www.cuvers.ca,/companies/202696-cuvers?searched_category_id=317&service_area=2081393,"Cuvers is Toronto-based manufacturer of quality outdoor covers, cases, and bags.  We custom create covers for bbqs, ac units, trailers, snowblowers, or just about any type of cover you need! Services include patching, reinforcement and repairs to most textile/canvas products. WE DO NOT CLEAN OR SERVICE BBQS.",cuvers,2007-04-01T20:00:00.000-04:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge ",Sunday - Sunday,,,,,0,0,,,,,FALSE,FALSE,,,FALSE,FALSE,,58334,Cuvers,125,120,0,9.98333,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,2007-04-01T20:00:00.000-04:00,NA,FALSE,0,0,0,FALSE,6f4bc6277885bb3744ba98c34cfe7dee67e10d9b,FALSE,2022-08-06T12:35:03.000-04:00,FALSE,FALSE,2081393,97.3859976289,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2943174,http://barbequebros.com,/companies/2943174-bbq-bros?searched_category_id=317&service_area=2224309,"BBQ Cleaning and services! 

Offering fantastic BBQ cleanings and excellent customer service! 

Do you need your BBQ Cleaned from all the grease, dirt, and junk? call BBQ BROS. Do you think there might be a mice or squirrels or even a raccoon nesting in your BBQ? Call BBQ BROS for a full wash and sanitation. Do you have a few burners that are shooting out flames and need to be replaced or repaired? Call BBQ BROS. You just bought a brand new shiny BBQ and expected it to be delivered already assembled? Call BBQ BROS for a full assembly to get you using your BBQ in no time. We have been in business for 6+ years for a reason. We aim to please ALL of our thousands of customers no matter how big small dirty or difficult the job is. We don't just service your BBQ but restore it to its original aesthetics and working functionality.",bbq-bros,2020-05-07T16:40:42.000-04:00,NA,NA,NA,,"Cleaning, Sanitation, Repairs, Assembly",,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2005327,BBQ Bros ,4,4,4,10,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,2020-05-07T16:41:19.000-04:00,,FALSE,0,0,5,FALSE,68682a056683c8eee8c06f77bf7e7e532c0994c4,TRUE,NA,TRUE,FALSE,2224309,87.4764375386,317,NA,NA,0
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2886460,NA,/companies/2886460-bbq-alliance?searched_category_id=317&service_area=2092103,NA,bbq-alliance,2016-04-18T20:03:12.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1948884,Bbq Alliance,2,2,5,10,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,NA,NA,FALSE,0,0,5,FALSE,f4af9110e2d22d7b6196403798a76de15583e5f1,FALSE,NA,TRUE,FALSE,2092103,56.9093406593,317,NA,NA,0
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2798617,NA,/companies/2798617-the-bbq-guys?searched_category_id=317&service_area=1862378,"WE OFFER THE FOLLOWING SERVICES:

BBQ ASSEMBLY,
PARTS INSTALLATION,
BIO-SAFE CLEANING AND RESTORATION,
WARRANTY SUPPORT,
COMMERCIAL-GRADE BBQ RENTALS, 
DIAGNOSTIC SERVICES, AND
CONNECTION SERVICES

We are the mobile BBQ service and cleaning specialists.

We do it the best, and we love what we do, so give us a call, and we'll come fix your 'CUE!",the-bbq-guys,2012-06-11T17:08:23.000-04:00,NA,"We are proud to offer our services RIGHT ACROSS CANADA! With offices in Ontario and British Columbia, and training centers ...",9AM-6PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1861669,The Bbq Guys,20,16,0,7.375,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,NA,NA,FALSE,0,0,0,FALSE,f4b3c77912695e98727938e4a7f5c328055eb321,TRUE,2016-07-10T21:21:00.000-04:00,TRUE,FALSE,1862378,54.2070824625,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2799126,NA,/companies/2799126-hamilton-licensed-trades?searched_category_id=317&service_area=1863004,"Natural Gas BBQ Line Installation by a Certified Technician ** COMPETITIVE PRICES **
I am a certified TSSA Technician and HVAC Mechanic,
I take pride in my work and ensure safe and reliable installations.
Call or email Doug to book an appointment
416-837-0413 / Hamilton.LicensedTrades@gmail.com
",hamilton-licensed-trades,2012-06-26T08:34:46.000-04:00,NA,Toronto GTA ,Evenings & Weekends,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1862178,Hamilton Licensed Trades,1,1,0,9,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,NA,NA,FALSE,0,0,0,FALSE,d7763656c1bcc839b448aa8ad86089154dccc328,FALSE,2013-06-06T02:28:58.000-04:00,FALSE,FALSE,1863004,55.8005075313,317,NA,NA,NA
https://homestars.com/on/downsview/bbq-equipment-service,22,"c(""https://homestars.com/on/downsview/bbq-equipment-service?&page=2&"", ""https://homestars.com/on/downsview/bbq-equipment-service?&page=3&"")",BBQ Equipment & Service,2960429,,/companies/2960429-psychicshivanand?searched_category_id=317&service_area=2262822,"Famous Indian Astrologer in Toronto for 100% accurate astrology. Best certified Indian astrologers providing truthful astrology services to solve all your problems.

",psychicshivanand,2021-10-09T06:19:53.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2022405,Psychicshivanand,0,0,0,NA,"BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",0,2021-10-09T06:20:27.000-04:00,,FALSE,0,0,1,FALSE,413c4b03442d88599c73660d521c2973fa6537f5,FALSE,NA,TRUE,FALSE,2262822,-1.0,317,NA,NA,0
