Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2886185,,/companies/2886185-svd-restoration?searched_category_id=351&service_area=2157870,"SVD RESTORATION IS OFFERING  ALL TYPES OF CONCRETE WORK!!!!!                                                                                                                        INCLUDING-CHIPPING,SANDBLASTING,FORMING,CONCRETE FINISHER,PATCHING,POWER WASHING,PAINTING,EPOXY SYSTEMS,SIDEWALKS,CURBS,PATIO, BASEMENTS - CONCRETE FOUNDATION CRACK REPAIRS,GARAGE UNDERGROUND,AND BALKONY RESTORATION,BRICK REPAIR,CAULKING,ETC.                          WARRANTY-3 YEARS.
                QUALITY WORK AT AFFORDABLE PRICES. 
               12+YEARS EXPERIENCE,CLEAN WORK.                         FREE ESTIMATES
                SVD.RESTORATION@GMAIL.COM
                647-667-7771 PETER SYMONIV.
Serving the GTA and Southern Ontario.",svd-restoration,2016-04-10T16:58:55.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1948609,Svd Restoration,205,165,163,9.89091,"Foundations, foundation repair, foundation pouring, foundation, the foundation, foundations, foundation for home, home foundation, foundation of home, foundation home, the home foundation, foundation house, house foundation, foundation of a house, foundation for a house, building foundation, homes foundation, foundation for homes, foundation homes, foundations home, foundations house, house foundations, foundations for homes, home foundation repair, building home foundation, manufactured homes foundation, types of home foundations, home foundations types, home foundation problems, mobile home foundations, home building foundations, home foundation cracks, cracks in home foundation, new home foundations, home foundation design, foundation design, foundation cracks, underpinning, ,Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,,FALSE,0,0,224,0,FALSE,a25456698bd5c660d5ba6c284e54046e47c42c30,TRUE,2022-09-15T09:39:52.000-04:00,TRUE,TRUE,2157870,98.0439698272,351,NA,NA,NA
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2912640,https://www.instagram.com/fivestargta/,/companies/2912640-five-star-gta-interlocking?searched_category_id=351&service_area=2219352,"Welcome to Five Star Interlocking
We're genuine in our interactions and have the experience to guide you on the best possible desired outcome for your project.
We work hard and pride ourselves in ensuring your involved throughout.
Call us to discuss what is possible. 


Learn more about us here:

https://www.facebook.com/pages/category/Home-Improvement/Five-Star-GTA-Interlocking-inc-1444712515639364/
https://www.instagram.com/fivestargta/
",five-star-gta-interlocking,2018-03-19T10:38:27.000-04:00,NA,NA,NA,"Oaks, Unilock, Best Way Stone,
Techo bloc, Permacon",Interlocking experts and ask us about outdoor fireplaces. ,,Interlock,2009,4,"Cash, Cheque and e-transfer",,,,TRUE,FALSE,,,TRUE,FALSE,1-3 Year on Workmanship. Kindly ask for more details. ,1974825,Five Star GTA Interlocking Inc.,78,54,186,9.75926,"Interlocking Stone, Interlocking Tile, Stone, tiles for, landscaping, paving, pavers, paver, stone step, wall stone, stone wall, landscape design, patios, interlock, retaining wall, stepping stones, interlocking, landscaping ideas, retaining walls, paving stones, paver stones, pavers stones, pavers and stones, stones pavers, stones and pavers, flagstone, concrete design, landscapers, natural stone, paving stone, stone paving, stone paving stone, walls stone, patio designs, stone and tiles, tiles and stone, stone flagstones, slate tiles, slate tile, stone veneer, pavers stone, stone and pavers, stone pavers, paver stone, stone paver, concrete driveway, stone brick, stone and brick, brick and stone, stone flooring, stone patio, stone for patio,,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,,FALSE,0,0,194,0,FALSE,d8c53a9ef836b1ee94c6dabda877acaa5827ef58,TRUE,2021-01-03T12:34:09.000-05:00,TRUE,TRUE,2219352,93.6170968662,351,NA,NA,2018-03-21T09:29:17.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,209631,http://www.henrysbobcatserviceinc.com/,/companies/209631-henry-s-bobcat-service-inc?searched_category_id=351&service_area=1804914,"HENRY'S BOBCAT SERVICE
Our services include excavation/digging, back filling, water main breaks, landscaping, concrete work and breaking, post holes and more.

We supply you with experienced operators and the equipment you need on your project at reasonable rates.

We provide bobcats, excavators, track machines, backhoes and other machines along with the necessary equipment required for most residential and industrial projects.

Materials such as sand, gravel, topsoil, sod and any boxes/bins required for the cleanup of waste or dirt removal can also be supplied.

SERVING: Toronto, GTA, North York, Etobicoke, Richmond Hill, Thornhill, Vaughan, Downsview, Woodbridge, Bolton, Caledon, Mississauga, Oakville, Burlington, Brampton, Peel Region and their surrounding area's.",henry-s-bobcat-service-inc,2008-01-23T10:28:51.000-05:00,NA,NA,NA,,Hourly rental of excavation machines with operators for residential and industrial projects,,Available 24 hours for an emergency repair or water main breaks - just call 416-721-9594,1987,6,"Cheque, Cash, Visa, Mastercard ",,,,TRUE,FALSE,Estimated based on project requirements,4 hour minimum plus machine float charge,FALSE,FALSE,,63964,Henry's Bobcat Service Inc,43,31,23,9.25806,"Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,Landscape Contractors & Designers, Landscape Contractor Designer, Landscape Design, Landscape Contractor, Landscapers, Landscaping, Landscape, Backyard, patio, Fountain, Ponds and Waterfalls, garden, gardens, landscape, how to landscape, landscaping and, landscape garden, garden landscape, gardening, landscape gardens, pavers, garden design, design a garden, design for garden, design garden, how to design garden, lawn maintenance, how to design landscape, design landscape, landscape and design, design and landscape, how to design a landscape, landscape design, design a landscape, patios, architects landscape, landscape architects, garden designs, lawn service, garden landscaping, landscaping garden, landscape lighting, garden designer, designer garden,,landscapemakeover of backyard and improve front yard
build fence, landscape, Landscaping, retaining wall, grading,",0,henrysbobcat,FALSE,0,0,25,NA,FALSE,f17ebf2325083425582b2a6c5e731528b43b42ee,TRUE,2021-09-17T22:57:51.000-04:00,TRUE,TRUE,1804914,85.1981195818,351,NA,NA,2011-07-19T02:06:52.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2973691,,/companies/2973691-14299523-canada-inc?searched_category_id=351&service_area=2293203,,14299523-canada-inc,2022-09-29T22:17:22.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2035602,14299523 canada inc,3,3,22,10,"Waterproofing, Basement Waterproofing, Foundation Waterproofing, Waterproofing Contractor, Water, Waterproof, Wet Basement, Leaky Basement, Flood, Flooded Basement, Flooding ,Waterproofing, Basement leaks, underpinning, caulking,,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,,FALSE,0,0,23,0,FALSE,a2917eae3174c407885ab21c57ecfa833864665c,FALSE,2022-10-25T12:21:38.000-04:00,TRUE,TRUE,2293203,89.7425265143,351,NA,NA,2022-09-29T22:18:02.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2970388,,/companies/2970388-drc-contractor-inc?searched_category_id=351&service_area=2294865,,drc-contractor-inc,2022-07-11T13:51:38.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,TRUE,FALSE,,,TRUE,FALSE,,2032299,DRC Contractor Inc.,2,2,1,10,"Demolition, demolition, excavation, salvage, city demolition, demolition city, demolition company, demolition companies, demolition co, demolition inc, demolition business, concrete removal, demolition of building, building demolition, demolition building, demolition contractors, demolition of house, demolition house, house demolition, house for demolition, demolition removal, demolition and removal, demolition home, home demolition, demolish house, how to demolish a house, demo companies, demolition and construction, demolition construction, construction and demolition, construction demolition, demolition contractor, demolition tools, cost of demolition, demolition cost, demolishing a house, demolition concrete, demolition of concrete, concrete demolition, ,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,,FALSE,0,0,2,0,FALSE,b8f4de741cab52576e7ab3993ab9d46c933d13df,FALSE,NA,TRUE,TRUE,2294865,89.4670737659,351,NA,NA,2022-07-11T13:52:27.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2963232,https://arisslandscape.ca/,/companies/2963232-ariss-landscape-inc?searched_category_id=351&service_area=2294624,"Ariss Landscape Inc. is a passionate landscape design and construction company laser-focused on delivering the highest quality landscaping and outdoor spaces in southern Ontario. Attention to detail and a love for good-looking areas keep us always striving to add an attractive appeal to everything we build. 

We treat your home like it’s our own. We treat you like we would want a contractor to treat our family. It’s the right thing to do, and it’s good for long-term business success. 

We build our landscapes to last, and we build our landscapes to look beautiful. We want you to love your home and enjoy it. Having a designer on staff ensures that even if a project does not have a drawn-up and presented design, it will have an aesthetic appeal. Quality construction is at our core, and we build things to last. Period. 

We do everything possible to ensure a timely and efficient construction process. We keep our sites clean and politely interact with neighbors to walk them through what’s going on and the construction process.

Our Process:

1.	Call for an initial consultation
2.	Arrange an on-site meeting
3.	Receive a Quote with a few price options
4.	Watch us build your beautiful new space
5.	Enjoy!
",ariss-landscape-inc,2022-01-07T11:22:30.000-05:00,NA,NA,NA,,,,,2004,NA,"Cash, Cheques, E-Transfer, Credit Card",,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2025183,Ariss Landscape Inc.,7,7,17,10,"Landscape Contractors & Designers, Landscape Contractor Designer, Landscape Design, Landscape Contractor, Landscapers, Landscaping, Landscape, Backyard, patio, Fountain, Ponds and Waterfalls, garden, gardens, landscape, how to landscape, landscaping and, landscape garden, garden landscape, gardening, landscape gardens, pavers, garden design, design a garden, design for garden, design garden, how to design garden, lawn maintenance, how to design landscape, design landscape, landscape and design, design and landscape, how to design a landscape, landscape design, design a landscape, patios, architects landscape, landscape architects, garden designs, lawn service, garden landscaping, landscaping garden, landscape lighting, garden designer, designer garden,,landscapemakeover of backyard and improve front yard
build fence, landscape, Landscaping, retaining wall, grading,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,Waterproofing, Basement Waterproofing, Foundation Waterproofing, Waterproofing Contractor, Water, Waterproof, Wet Basement, Leaky Basement, Flood, Flooded Basement, Flooding ,Waterproofing, Basement leaks, underpinning, caulking,,Interlocking Stone, Interlocking Tile, Stone, tiles for, landscaping, paving, pavers, paver, stone step, wall stone, stone wall, landscape design, patios, interlock, retaining wall, stepping stones, interlocking, landscaping ideas, retaining walls, paving stones, paver stones, pavers stones, pavers and stones, stones pavers, stones and pavers, flagstone, concrete design, landscapers, natural stone, paving stone, stone paving, stone paving stone, walls stone, patio designs, stone and tiles, tiles and stone, stone flagstones, slate tiles, slate tile, stone veneer, pavers stone, stone and pavers, stone pavers, paver stone, stone paver, concrete driveway, stone brick, stone and brick, brick and stone, stone flooring, stone patio, stone for patio,,",0,Ariss,FALSE,0,0,19,0,FALSE,eebf44882656379c5c16fcee1eb9f072731645c4,TRUE,2022-11-19T21:41:43.000-05:00,TRUE,TRUE,2294624,90.8418393765,351,NA,NA,2022-01-07T12:13:14.000-05:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2959776,https://akhomestarbuilders.com/,/companies/2959776-ak-homestar-builders?searched_category_id=351&service_area=2298159,"AK home star builders
A name you can trust. 
Building Solid, Beautiful & Unique Living Spaces in Toronto 
AK Home Star builders serving GTA and surrounding area for more than 15 years with its professional crew. The Company has been taking major design and build, renovation, and remodeling projects. We deal with all kinds of projects, from small washroom renovation, landscaping to building custom houses and smart home automation. You can trust our service and the quality we provide. We always use environment-friendly products which are beneficial for all our health. With this, we also help you to renovate your home. We are a leading Builders in GTA which has satisfied many clients and we look forward to satisfying more with our service. We always go budget-friendly. We have experts who help with Home Renovations. 
We have a one of a kind Showroom right in Toronto. For all your building and construction needs we can assist. For your dream yard or home we have it covered. Our design experts and construction group will handle any size project you have. 
We offer services both for residential and commercial. Our services includes as fellow

-Maintenance & Improvement of House, Condo, Offices
-Complete home renovation & design
-Home automation
-Kitchen Renovation & Remodeling
-Custom kitchen cabinets
-Custom washroom vanities
-Custom laundry room cabinets
-backsplash
-Bathroom Renovation
-Basement Finishing
- Basement renovation
- Basement walkout
-Ceramic tiles
-Hardwood Flooring
 -Vinyl, Laminate
 -Stairs and Railings
- Porch and decks
-Painting Services
-Electrical Services 
-Plumbing service
-Demolition services
- finish carpentry (Trim work, Baseboard, Wainscotting)
- Door installation (interior, exterior)
- Kitchen cabinet and backsplash installation
- Drywall (installation and taping)
- Removing load-bearing walls
- Crown molding
- Ceiling design
- Painting
- Roofing
- Fireplace

",ak-homestar-builders,2021-09-16T13:55:03.000-04:00,NA,NA,NA,,"Aluminum Siding, Asphalt Shingle Roofing, Attic Conversion, Attic Restoration, Barn Design & Construction, Baseboard Installation, Basement Remodeling, Basement Waterproofing, Bathroom Remodeling, Brick Masonry, Brick Siding, Carport Installation, Cedar Siding, Chimney Construction, Composition Roofing, Concrete Construction, Concrete Flooring, Concrete Repair, Countertop Installation, Countertop Refinishing, Crown Molding Installation, Custom Home, Custom Home Bars, Deck Building, Deck Repair, Demolition, Dock Design & Construction, Drywall Installation, Drywall Texturing, Earthquake Retrofitting, Electric Fireplace Installation, Energy-Efficient Homes, Exterior Door Installation, Fiber Cement Siding, Fireplace Installation, Fireproofing, Floor Leveling, Flooring Installation, Foundation Construction, Foundation Repair, Garage Building, Gas Fireplace Installation, General Contracting, Green Building, Grout Repair, Guesthouse Design & Construction, Home Additions, Home Extensions, Home Gym Design & Construction, Home Inspection",Smart Home Electro ,"Ak Homestar builder-offers all Renovation and Construction work . Full packages of Basement Renovation, Bathroom Renovation , Kitchen Renovations and Whole House Custom Renovation.",2002,30,"cash , e-transfer , credit cards and debit cards",,laibilty ,,TRUE,FALSE,"$10,000",$1000,TRUE,FALSE,,2021752,AK HomeStar Builders,4,2,66,10,"Demolition, demolition, excavation, salvage, city demolition, demolition city, demolition company, demolition companies, demolition co, demolition inc, demolition business, concrete removal, demolition of building, building demolition, demolition building, demolition contractors, demolition of house, demolition house, house demolition, house for demolition, demolition removal, demolition and removal, demolition home, home demolition, demolish house, how to demolish a house, demo companies, demolition and construction, demolition construction, construction and demolition, construction demolition, demolition contractor, demolition tools, cost of demolition, demolition cost, demolishing a house, demolition concrete, demolition of concrete, concrete demolition, ,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,AKHomestarBuilders,FALSE,0,0,82,0,FALSE,b3ef1442efd76c84042ed20514b1150f7cc7cea3,TRUE,NA,TRUE,TRUE,2298159,86.7419244595,351,NA,NA,2021-09-16T13:56:56.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2941908,https://gtadreammakers.com/,/companies/2941908-dreammakers?searched_category_id=351&service_area=2243183,"We are the team of creative minds who believes in turning your decor dream into a beautiful reality. We are highly professional and skilled builders. Trusting DREAM MAKERS, we make sure the outcomes are of the highest standard. We treat every job; personally, this results in our customers’ satisfaction. Thanks to our team of experienced builders, we can transform your visions into results. Let us know what you want, we’ll take care of the rest.",dreammakers,2020-03-22T08:48:09.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2004082,DreamMakers,28,27,80,10,"Interlocking Stone, Interlocking Tile, Stone, tiles for, landscaping, paving, pavers, paver, stone step, wall stone, stone wall, landscape design, patios, interlock, retaining wall, stepping stones, interlocking, landscaping ideas, retaining walls, paving stones, paver stones, pavers stones, pavers and stones, stones pavers, stones and pavers, flagstone, concrete design, landscapers, natural stone, paving stone, stone paving, stone paving stone, walls stone, patio designs, stone and tiles, tiles and stone, stone flagstones, slate tiles, slate tile, stone veneer, pavers stone, stone and pavers, stone pavers, paver stone, stone paver, concrete driveway, stone brick, stone and brick, brick and stone, stone flooring, stone patio, stone for patio,,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,,FALSE,0,0,81,0,FALSE,424361960665965d279a66f22693c05faf52e8a5,TRUE,2021-10-07T14:04:49.000-04:00,TRUE,TRUE,2243183,97.7518426701,351,NA,NA,2020-03-22T08:49:35.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2914334,https://premiumconstructionpro.com/,/companies/2914334-premium-construction-and-finishing-inc?searched_category_id=351&service_area=2191887,"With over 10 years in experience, Premium Construction Inc specializes in postholes, footings, excavations and more. We stand by our work and integrity in the business. Let us chat about whatever it is you have in mind!",premium-construction-and-finishing-inc,2018-04-12T16:46:09.000-04:00,NA,NA,NA,,Post hole,,,NA,NA,"Cheque, Cash, E-Transfer, Credit Card ( Visa)",,,,TRUE,FALSE,,,TRUE,FALSE,,1976518,Premium Construction and Finishing Inc,26,24,116,9.95833,"Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,Waterproofing, Basement Waterproofing, Foundation Waterproofing, Waterproofing Contractor, Water, Waterproof, Wet Basement, Leaky Basement, Flood, Flooded Basement, Flooding ,Waterproofing, Basement leaks, underpinning, caulking,,",0,NA,FALSE,0,0,129,0,FALSE,147e43be30007c7e1a98c139c85c58bc9036a225,TRUE,2020-07-15T20:44:53.000-04:00,TRUE,TRUE,2191887,84.2207369956,351,NA,NA,2019-03-18T17:44:48.000-04:00
https://homestars.com/on/erindale/excavation-demolition,34,"c(""https://homestars.com/on/erindale/excavation-demolition?&page=2&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=3&"", ""https://homestars.com/on/erindale/excavation-demolition?&page=4&"")",Excavation,2955198,,/companies/2955198-c2c-developments-ltd?searched_category_id=351&service_area=2251133,"We specialize in the installation of swimming pools, hot tubs, saunas, water features, trenching and other excavation work. 

Contact us now for more information - (416) 558-4917",c2c-developments-ltd,2021-04-15T16:42:32.000-04:00,NA,NA,NA,,"Installing Swimming Pools, Hot Tubs, Saunas, Water features, Excavation, Trenching etc.",,,NA,NA,"Cheque, E-transfer and Cash",,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2017176,C2C Developments Ltd.,3,3,2,9.66667,"Swimming Pools, Spas & Hot Tubs, Swimming Pool Cover, Inground Swimming Pool, Spa Cover, Spa Equipment, Hot Tub Cover, Portable Hot Tub, Hot Tub Accessory, vinyl swimming pools, pool liners, vinyl pool liners, above ground pools, whirlpools, jet pools, sauna, saunas,Excavation, Excavation, Demolition, building construction, asphalt, demolition, trenching, excavator, excavators, what is excavation, excavating, excavations, excavate, excavated, earth moving, mini excavator, earthmoving, mini excavators, excavator sale, excavator for sale, excavators for sale, excavators sale, cat excavator, excavator cat, land clearing, excavator rental, rental excavator, backhoe excavator, cat excavators, micro excavator, hitachi excavator, caterpillar excavator, caterpillar excavators, excavator buckets, ,",0,C2C,FALSE,0,0,3,0,FALSE,04f07cd4da727b7fa528d924a8bd1cc67dc668fb,TRUE,2021-08-06T16:40:25.000-04:00,TRUE,TRUE,2251133,82.6652776012,351,NA,NA,2021-04-15T16:43:43.000-04:00
