Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2586010,http://www.a1superiorpaving.com/,/companies/2586010-a1-superior-paving-concrete-works?searched_category_id=337&service_area=1599214,"A1 Superior Paving & Concrete is Thunder Bay's most reputable ready-mix concrete producer. Supply and delivery of concrete, concrete pumping, concrete slab excavation, form and concrete pouring. A1 Superior Concrete & Paving supplies all gravel, topsoil and crushed rock. Call or visit today.",a1-superior-paving-concrete-works,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1649062,A1 Superior Paving & Concrete Works Co.,0,0,7,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,2017-05-10T15:22:13.000-04:00,FALSE,0,0,8,FALSE,020f11bff76593cd82d43021b99f70e13a68a59f,FALSE,FALSE,FALSE,1599214,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2794821,NA,/companies/2794821-michieli-custom-concrete?searched_category_id=337&service_area=1856571,"Full service decorative concrete contractor that specialize in pouring patios, driveways, garage pads, custom steps, sidewalks, basements and decorative coatings.",michieli-custom-concrete,2012-02-05T13:05:51.000-05:00,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1857873,Michieli Custom Concrete,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,2012-02-05T13:05:53.000-05:00,FALSE,0,0,0,FALSE,fd78b8a99cb231db34bc9e18fd7eba9aae7f51b4,FALSE,FALSE,FALSE,1856571,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2623455,NA,/companies/2623455-concrete-walls-lakehead-1983-limited?searched_category_id=337&service_area=1636659,NA,concrete-walls-lakehead-1983-limited,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1686507,Concrete Walls (Lakehead) (1983) Limited,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1636659,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2604726,NA,/companies/2604726-victoria-construction-paving?searched_category_id=337&service_area=1617930,NA,victoria-construction-paving,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1667778,Victoria Construction & Paving,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1617930,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2588657,NA,/companies/2588657-superior-north-contracting-inc?searched_category_id=337&service_area=1601861,NA,superior-north-contracting-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1651709,Superior North Contracting Inc,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1601861,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2654246,NA,/companies/2654246-coratina-construction-ltd?searched_category_id=337&service_area=1667450,NA,coratina-construction-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1717298,Coratina Construction Ltd,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1667450,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2712785,NA,/companies/2712785-harris-rebar?searched_category_id=337&service_area=1725989,NA,harris-rebar,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1775837,Harris Rebar,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1725989,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2692913,NA,/companies/2692913-nor-shore-ready-mix-concrete-products-limited?searched_category_id=337&service_area=1706117,NA,nor-shore-ready-mix-concrete-products-limited,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1755965,Nor-Shore Ready Mix Concrete Products Limited,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1706117,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2710086,NA,/companies/2710086-d-angelo-p-sons-general-contractors-ltd?searched_category_id=337&service_area=1723290,NA,d-angelo-p-sons-general-contractors-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1773138,D'Angelo P & Sons General Contractors Ltd,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1723290,0,337,NA,NA
https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors,20,https://homestars.com/on/fort%20william%20first%20nation/concrete-contractors?&page=2&,Concrete Contractors,2712788,NA,/companies/2712788-harris-rebar-a-div-of-harris-steel-ltd?searched_category_id=337&service_area=1725992,NA,harris-rebar-a-div-of-harris-steel-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1775840,Harris Rebar A Div of Harris Steel Ltd,0,0,0,NA,"Concrete Contractors, Impressed concrete, poured concrete, stamped concrete, radiant heating, concrete floors, contractors, concrete repair, concrete in, masonry, asphalt, paving, pavers, in the driveway, driveway, construction companies, driveways, block of concrete, concrete block, concrete mix, concret, concrete blocks, concrete slab, cost of concrete, concrete cost, concrete wall, price of concrete, concrete price, concrete stain, stamped concrete, concrete prices, repair concrete, how to repair concrete, repair of concrete, concrete repair, concrete slabs, decorative concrete, concrete decorative, staining concrete, concrete staining, concrete walls, countertop concrete, concrete countertops, patio ideas, cement companies, ready mix concrete, concrete ready mix, slabjack, slabjacking, mudjack, mudjacking, Driveway, caulking,,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1725992,0,337,NA,NA
