Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2804419,https://davidrsmith.ca,/companies/2804419-david-r-smith-design?searched_category_id=340&service_area=1870900,"Providing an honest and relaxed approach to the design experience. 

David Smith is a registered BCIN Designer with almost two decades worth of experience in the industry of Architecture and Design/Build. Specializing in residential additions, alterations and new buildings in the Toronto area.",david-r-smith-design,2012-12-27T11:00:19.000-05:00,NA,Toronto and the surrounding area.,,,"Simply put, our services encompass the spectrum required to fully meet the needs of our clients.

As a boutique firm we never over sell our time, ensuring that there is always adequate man power available to effectively meet the needs of our clients immediately.

We understand that with a renovation of any size, a budget is a necessity and it’s for this reason that we offer fixed fee proposals for all projects.

We quote on projects of all sizes and complexities and work with a network of Architects and Engineers, if we are not in a position to meet the needs of your specific project, we can put you in touch with the professionals that can.",,"Design, visualization and the permit process.",2010,NA,"Email Money Transfer, Cheque, Bitcoin",,BCIN# 41498 & 43686 House & Small Buildings,,TRUE,FALSE,Fixed Fee Proposal,,TRUE,FALSE,,1867419,David R. Smith Design Inc.,112,109,63,9.98165,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",1,davidrsmith,FALSE,0,0,213,100,FALSE,51f3230a52732af4b1d0ad2cd08e6ff3310853fb,TRUE,2022-04-20T09:45:51.000-04:00,TRUE,TRUE,1870900,99.5358286938,340,NA,NA,NA
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2861481,https://www.markhsmith.ca,/companies/2861481-Mark-H-Smith-Designs-Inc?searched_category_id=340&service_area=1998565,"Mark H Smith Designs Inc. specializes in designing homes, drafting the necessary construction drawings and then filing them for the required building permits. This includes designing for new buildings, renovations, additions, garages, basement conversions into secondary suites and single family home conversions into multiple units. We also provide client support and representation where a minor variance or minor variances are required by the Committee of Adjustment. 
Are you curious to learn more about the best ways you can take your project from possibilities to plans to permits? We have answers & resources to help you.
Visit us on our website at https://www.markhsmith.ca
If you would prefer to start a conversation or receive direct feedback that considers the custom context of your project and then offers you the best next steps to get started or learn more about your options, please email us at info@markHsmith.ca or give us a call 647 609 0333 and we can work through the details of your upcoming project together.
",Mark-H-Smith-Designs-Inc,2014-10-30T21:11:50.000-04:00,NA,"Our specialty is in the city of Toronto and its surrounding areas. That being said, we have worked with many municipalities and cities throughout Southern Ontario and are always excited to hear about a new project within Southern Ontario. (please note that we do not take on  projects more than 3 hours driving distance from Toronto) ",,,,,"Design, Drafting and Permit Services for:

• Custom Home Design 

• Residential Additions and Renovations 

• In-Law Suite or Apartment 

• Accessory Buildings & Structures

• Retroactive Permits",2014,NA,"Cheque, Interac E-Transfer",,BCIN Registered # 46896,,TRUE,FALSE,Fixed Fee Proposal,,TRUE,FALSE,,1923911,Mark H Smith Designs Inc.,35,34,10,9.91177,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",1,markhsmith,FALSE,0,0,21,0,FALSE,ccf39310ceecdc5a7b30ac23529ae606632c404f,TRUE,2022-05-10T20:24:25.000-04:00,TRUE,TRUE,1998565,98.5603342496,340,NA,NA,NA
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2945642,https://www.permitworks.ca,/companies/2945642-permit-works?searched_category_id=340&service_area=2243255,Permit Works is a Toronto based company providing design and building permit service for residential projects.,permit-works,2020-07-16T01:30:27.000-04:00,NA,NA,NA,,Architectural Design & Building Permit Service,,Building Permit Drawings & Application,2019,4,"E-transfer, Cheque , Cash",OAA. M.Arch. B.Arch,Certificate of Practice No. 6195,Ontario Architect Association ,TRUE,FALSE,,1000,TRUE,FALSE,,2007779,Permit Works,52,45,7,9.93333,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,,FALSE,0,0,8,0,FALSE,43a526ee57ae173027935a50e45489c05e0e7b18,TRUE,2022-08-28T18:43:22.000-04:00,TRUE,TRUE,2243255,98.3252494885,340,NA,NA,2020-07-16T01:32:26.000-04:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2857602,http://www.valentecadstudio.com,/companies/2857602-valente-cad-studio?searched_category_id=340&service_area=1985575,"Valente CAD Studio is a leader in building permit and building code consulting in Toronto, Ontario.

Our level of knowledge and commitment to service sets us apart. Our clients know that if they have a question, we will have an answer. We are staffed to assist our clients in every phase of the permitting and construction process.

Throughout all phases of your project, Valente CAD Studio will review architectural drawings for compliance with building code and zoning requirments.

Valente CAD Studio will prepare all municipal documents for Department of Buildings approval and file the appropiate applications as required by the project scope.

Valente CAD Studio concentrates on one business line: satisfying the expediting needs of our clients.

We are registered design firm with the Ministry of Municipal Affairs and Housing and fully insured and qualified with a BCIN.

Obtaining a building permit might become a tiresome and frustrating process filled with painful procedures. Valente CAD Studio will provide you with reliable, comprehensive advice as it pertains to current building code compliance and related legal, architectural and engineering issues.",valente-cad-studio,2014-08-11T21:39:05.000-04:00,NA,"GTA. Toronto,  North York, East York, Beaches, Scarborough, York Region, Richmond Hill, Markham, Vaughan, Woodbridge, Aurora, Newmarket, King City, Durham Region, Pickering Ajax Whitby, Oshawa, Mississauga, Brampton, Burlington , Halton Hills, Etobicoke",8-5,,"Valente CAD Studio is a Registered architectural design firm located in Woodbridge, Ontario. We offer architectural drawing services for a wide range of residential projects. Our services include architectural design, preparation of building permit drawings for renovations, additions, basement apartments, garages, carports and decks; we also prepare as-built drawings; floor plans, and conversion of paper drawings to CAD files.",,,6,NA,"Cheque, e-Transfer, cash",,BCIN House,AATO,TRUE,FALSE,,,TRUE,FALSE,,1920032,Valente CAD Studio,59,56,42,9.94643,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",3,valentecadstudio,FALSE,0,0,51,0,FALSE,24faff2642f7603b6e61be278d191d965efa12e0,TRUE,2017-04-16T20:36:19.000-04:00,TRUE,TRUE,1985575,96.8924922535,340,NA,NA,NA
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2931802,https://arfadesign.ca/,/companies/2931802-arfa-design-inc?searched_category_id=340&service_area=2198769,"We are a team of a professional engineer and BCIN certified designer that expert in providing building permit for residential and commercial. 
The following is the service we offer:
Residential:
• Custom new home 
• Basement secondary unit permit
• Deck
• Basement finishing
• Interior renovation
• Additional & Alteration
• Garage and carport
• Demolition drawing

Commercial: 
• Office
• Restaurant
• Spa
• Retail
• Fitness center
• School
• daycare
Our Architectural drafting is to satisfy building code requirement.

Call us now and get the best price for your unique package
4168804280
arfadesigninc@gmail.com",arfa-design-inc,2019-06-05T13:14:29.000-04:00,NA,NA,NA,,,,,7,4,CASH/E-TRANSFER/CHEQUE,,BCIN#107072,,TRUE,FALSE,,,FALSE,FALSE,,1993976,arfa design inc,2,2,9,10,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,arfadesign,FALSE,0,0,10,0,FALSE,792c4cc7f830ea93e42e7dacffced2935bc634bf,FALSE,NA,TRUE,TRUE,2198769,89.8771523119,340,NA,NA,2019-06-05T13:14:41.000-04:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2957724,https://www.thearchisystem.com/,/companies/2957724-archisystem-inc?searched_category_id=340&service_area=2256757,"Who We Are
The goal of Archisystem Inc. is to provide quality professional services with an environmentally friendly design with minimum impact on the natural environment and natural resources. We strive to prepare designs with the most extensive possible details and information so that the clients, contractors, and end-users fully understand the design and construction methodology. 

Archisystem Inc. is a group of professional architects, designers, and planners serving Ontario since 2001, providing a broad range of services including Planning, Architectural Design, Construction Documentation, and Quality Control during construction, & Building Permit Drawings for Industrial, and Commercial & Residential Projects.

We began as a small architectural drafting company to assist architects, engineers, and private clients to prepare site measured drawings, conversion of paper documents into CAD format, and permit application services. Since then we have grown exponentially and have been actively involved in a variety of projects including government, industrial, commercial and residential throughout the province of Ontario. Archisystem Inc. has acquired the architectural practice license and certificate of practice from the Ontario Association of Architects, which allows us to offer superior architectural design services. Due to more than 15 years of extensive experience in projects of various natures, our talented team is capable of handling any type of building design project.",archisystem-inc,2021-07-02T16:18:54.000-04:00,NA,NA,NA,,"Architectural Design, Tender Documents, Construction Management",,"Custom Designed Luxury Houses, Commercial Buildings and Hotels",1999,5,"Cash, Cheque, E-Transfer",Masters Degree in Architecture,OAA,"OAA, AIA, RAIC",TRUE,FALSE,Variable: Please ask ,,TRUE,FALSE,N/A,2019701,Archisystem Inc ,3,3,1,10,"Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,archisysteminc,FALSE,0,0,2,0,FALSE,d07a2d3093fbd5677f68aa35a1446b4b5d4e2574,TRUE,NA,TRUE,TRUE,2256757,88.5164835165,340,NA,NA,2021-07-02T16:20:37.000-04:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2943419,https://blune.ca,/companies/2943419-blune-architectural-design?searched_category_id=340&service_area=2247513,Our goal is to help home owner’s fulfill their dreams by presenting a reliable service that ensures drawings will be approved for permit. Our BCIN Architectural Designer uses 3D renderings and visualization so you will be confident in making the right decisions for your final design.,blune-architectural-design,2020-05-13T20:56:34.000-04:00,NA,NA,NA,,"Architectural Design & Drafting
Material Selection
3D Rendering
3D Walkthroughs",,,NA,2,E-Transfer,Architectural Technology,,,TRUE,FALSE,Please Contact,,TRUE,FALSE,,2005572,Blüne Architectural Design,8,7,39,10,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,blunearchitect,FALSE,0,0,40,0,FALSE,a95f314ff6e040c08ee6d95e93ef5dd406a39e4e,TRUE,2020-07-22T21:12:44.000-04:00,TRUE,TRUE,2247513,87.9916901449,340,NA,NA,2020-05-13T20:57:41.000-04:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2964397,http://www.atlasdesigns.ca,/companies/2964397-atlas-designs?searched_category_id=340&service_area=2271692,Architectural Design Firm specializing in Permit Drawing Approvals -- offering competitive pricing & quick turnarounds,atlas-designs,2022-02-05T09:38:58.000-05:00,NA,NA,NA,,Building Permit Drawings,,"Basement Apartment
Load Bearing Wall Removal
Rear Yard Deck
Front Porch Enclosure
Accessory Buildings
Commercial Permit Drawings
Home Addition
Custom Homes",2020,2,,,MMAH Qualified Building Practitioner,,TRUE,FALSE,,,TRUE,FALSE,,2026329,Atlas Designs,16,15,2,9.86667,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,,FALSE,0,0,5,0,FALSE,8ea54c4d07f452ba7d272ac1e07e528eea7699fe,TRUE,NA,TRUE,TRUE,2271692,97.263971899,340,NA,NA,2022-02-05T09:39:13.000-05:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2803864,http://www.tarconconstruction.com,/companies/2803864-tarcon-construction-inc?searched_category_id=340&service_area=1870058,"Welcome To G.TARI DESIGNS | TARCON CONSTRUCTION INC.

We are a full service Architectural Design Firm and Project Management Company.
In continuous Business over 10 Years with Hundreds of projects completed.  
We offer Building Consultation.
Residential-Commercial-Industrial Design.
Building Permit Service.

ARCHITECTURAL SERVICES
BLUEPRINTS
DRAFTING
ENGINEERING
CONSULTATION 
PROJECT MANAGMENT

NOTE: BUILDING PERMITS FEES OR RELATED APPLICATIONS FEES ARE NOT INCLUDED IN OUR SERVICES



",tarcon-construction-inc,2012-12-07T15:05:29.000-05:00,NA,"GTA
<br />TORONTO
<br />ETOBICOKE
<br />YORK
<br />VAUGHAN 
<br />WOODBRIDGE
<br />MAPLE
<br />AURORA
<br />NEWMARKET
<br />RICHMOND HILL
<br />PICKERING
<br />MISSISSAUGA
<br />OAKVILLE
<br />SURROUNDING AREAS
",,"ARCHITECTURAL SERVICES
BLUEPRINTS
DRAFTING
ENGINEERING
CONSULTATION 
PROJECT MANAGMENT
","G.TARI DESIGNS | TARCON CONSTRUCTION INC.

Residential-Commercial & Industrial drawings.
P.ENG Stamp and Review 
- Custom Home Design
- Underpinning drawings
- Lowering basement Plans
- Second Storey Addition Plans 
- Rear Additions Plans
- Garage Plans 
- Deck Plans
- Porch Drawings
- Renovation Drawings
- Side Door Entry
- Walkout Basements
- Basement Apartment Plans
- Interior Alterations
- Load Bearing Wall Removal Plans
- Site Visits & Laser Measurements
- Building Permit Services
- BCIN Stamp & P.ENG. Stamp
- Structural Engineer (when applicable)",,"Residential-Commercial & Industrial drawings.
P.ENG Stamp and Review 
- Custom Home Design
- Underpinning drawings
- Lowering basement Plans
- Second Storey Addition Plans 
- Rear Additions Plans
- Garage Plans 
- Deck Plans
- Porch Drawings
- Renovation Drawings
- Side Door Entry
- Walkout Basements
- Basement Apartment Plans
- Load Bearing Wall Removal Plans
- Site Visits & Laser Measurements
- Building Permit Services
- BCIN Stamp & P.ENG. Stamp
- Structural Engineer (when applicable)
",10,1,Cash or Cheque,Architectural Technology,,The Ontario Association of Certified Engineering Technicians and Technologists,TRUE,FALSE,,"$2,000",TRUE,FALSE,,1866864,Tarcon Construction Inc.,22,18,41,9.72222,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,Design/Build, Contracting, Renovation, Remodeling, Restoration, Project Management, Renovation Assistance, Reno Management, architect, architects, design build, build & design, design and build, build by design, design to build. building construction, building a house, house designs, house plans, home designs, house plan, how to design a house, design house, house design, remodeling, building and design, design for building, design building, building by design, a building design, design of building, building design, design a building, building & design,  playsets, playground, wooden playset, wooden playground, play set, ,Architects, Architectural Consultants, Residential Architects, Architect, structural, engineer, architects, landscape architects, architect design, design architect, architectural design, architect landscape, landscape architect, designer architect, architect designer, 3d architect, home architect, architect home, architecture firm, architect firm, construction architect, architect studio, ,",0,tarcon,FALSE,0,0,41,NA,FALSE,2b0fc379a7d96f7fe05be0a0963a6a2cbf18d1cb,TRUE,2016-04-14T11:18:59.000-04:00,TRUE,TRUE,1870058,71.2942524372,340,NA,NA,2012-12-07T15:05:29.000-05:00
https://homestars.com/on/garrison/drafting-service,23,"c(""https://homestars.com/on/garrison/drafting-service?&page=2&"", ""https://homestars.com/on/garrison/drafting-service?&page=3&"")",Drafting Service,2975446,,/companies/2975446-archidraft?searched_category_id=340&service_area=2297519,ARCHITECTURAL DRAFTING SERVICES FROM CONCEPT DESIGN TO BUILDING PERMIT,archidraft,2022-11-06T22:08:23.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2037344,ARCHIDRAFT+,0,0,0,NA,"Drafting Service, residential drafting service, architectural drafting service, draftsmen, draftspeople, CAD services, residential CAD services, building permits, what is cad, to cad, architect, architects, house designs, house plans, plans house, plan house, plans home, home plans house plans, drafting, building plans, cad download, mechanical engineering, free cad, 3d cad, drawing cad, drawing in cad, cad drawing, 3d design, engineering companies, engineering design, design engineering, engineering services, cad software, architectural design, design architectural, houses plan, design house plans, house plans design, microstation, cad cam, engineering firms, design engineer, cad drawings, architects plan, cadd, cad files, cad design, cad and design, design cad, house plan design, architecture plan, architectural designs, home plan design, design home plan, engineering drawing, cad system, architectural plan, ,",0,,FALSE,0,0,1,0,FALSE,1ac90107df8ab14287c336b73febf98965716456,FALSE,NA,TRUE,FALSE,2297519,-1.0,340,NA,NA,2022-11-06T22:10:25.000-05:00
