Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2972031,,/companies/2972031-trim-division?searched_category_id=323&service_area=2289483,"9 years experience professional taking on ALL jobs at the moment.

services include these moldings:

Window
Interior/Exterior door
Crown
baseboard
Columns
Door stopper/Shoe molding
Head casing
Chair Railing
Wainscoting/Recessed
Stools
Apron
Interior/Exterior locks

Will provide estimates, customer satisfaction guaranteed our word/service is taken seriously.

Customer satisfaction guaranteed or 15% OFF agreed quote.",trim-division,2022-08-22T11:29:02.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,TRUE,FALSE,,,TRUE,FALSE,,2033942,Trim Division,3,3,17,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2022-08-22T11:30:41.000-04:00,trimdivision,FALSE,0,0,18,0,FALSE,9c5ac3590f628a44b167d7689975d097e92526df,TRUE,TRUE,TRUE,2289483,90.4065934066,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2941206,,/companies/2941206-jlb-carpentry?searched_category_id=323&service_area=2219964,"Carpentry. Rough framing. We also do renovations. Basements, washrooms, kitchens ect... ",jlb-carpentry,2020-03-03T14:19:10.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2003380,JLB carpentry,4,4,57,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Framing, carpentry, carpenter, building a house, house building, house designs, home designs, house plan, design house, house design, how to build a house. build a house, building plans, houseplans, home builders in, building house, house building plans, house builders, construction of house, house construction, building homes, design homes, modular home, house builder, homebuilders,Carpenters, interior framing, ,",0,2020-03-03T14:20:46.000-05:00,jlbcarpentry,FALSE,0,0,57,0,FALSE,e4b5137d03ada540328ff6d8b9966b7bfb5e18c9,TRUE,TRUE,TRUE,2219964,81.4859925325,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2946204,https://executivecarpenters.com,/companies/2946204-executive-carpentry-and-renovation?searched_category_id=323&service_area=2231177,"Executive carpentry and renovations provides Kitchener, Waterloo, and Cambridge with more residentials and light commercial carpentry services than any other company. We do this by understanding your wants and needs, we provide interior finish services, exterior finish services, rough carpentry framing, and general contracting services.
Our customers are extremely satisfied with our workmanship, customer service, timeline management, and professionalism, oh not forgetting we are insured.
Contact us today for a smooth project and we will bring your dream to life, big or small.",executive-carpentry-and-renovation,2020-07-29T18:21:08.000-04:00,NA,NA,NA,,"Carpenters
General Contractors
Build Custom Arbor, Pergola, or Trellis
Construct Built-In Furniture
Carpentry Framing
Carpentry Framing Repair
Build Wood Carport
Build Deck or Porch
Deck or Porch Repair
Install or Replace Exterior Doors
Install Interior Doors
Install Exterior Trim
Repair Exterior Trim
Build Gazebo or Freestanding Porch
Repair Gazebo or Freestanding Porch
Handyman for Small Projects
Home Office Build or Renovation
Install Trim and Decorative Moldings
Repair Trim and Decorative Moldings
New Windows
Build Shed Barn Or Playhouse
Repair Shed, Barn, or Playhouse
Install Storm Door
Window Frame Repair
Install Wood Fence
Build Gazebo or Freestanding Porch
Install, Repair or Replace Caulking
Kitchen Renovations
General Contractor
Multiple Room Renovation
Build Outdoor Kitchen
Build Shed Barn Or Playhouse
Build Shelter or Outbuilding
Install Steel Beams
Repair Wood Fence
Install Wood Stairs and Railings
Repair Wood Stairs and Railings
Accessibility Modifications
Build Accessibility Ramps
Accessibility Retrofit
Home Addition
Basement Renovations
Bathroom Renovations
Carpentry Framing
Construction Manager
Flooring 
Tiling",,"Kitchen Cabinets, Decks, Fences, Flooring, Tiling  and Framing",2007,10,"Cash, Check, Debit, Visa, Mastercard",Conestoga College(Carpentry and renovation technician),,,TRUE,TRUE,Please call,,TRUE,FALSE,"Yes, Please ask for more details",2008341,Executive Carpentry and Renovation,10,5,51,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,2020-07-29T18:22:05.000-04:00,,FALSE,0,0,53,0,FALSE,746aad04f31ccb10dcd8e7386436cf8b718794ba,TRUE,TRUE,TRUE,2231177,87.219170122,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2972353,,/companies/2972353-house-genie-flooring-and-painting?searched_category_id=323&service_area=2290066,,house-genie-flooring-and-painting,2022-08-29T20:57:16.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2034264,House Genie: Flooring and Painting,4,4,27,9.5,"Floor Laying & Refinishing, Hardwood Floor, Wood Floor, Floor Tile, Dance Floor, Ceramic Floor Tile, Floor Refinishing, bamboo floor, cork floor, FSC wood flooring, stone floor, marble floor, slate floor, squeaky floor repair, laminate, laminate repair, wood floor, floor and wood, wood flooring, wood floors, floors in wood, hardwood flooring, hardwood floors, hardwood floors and, hardwood floor, hardwood floor wood, wood floor flooring, refinishing, floor refinishing, floor refinishing in, refinishing floor, hardwood install, floor laying, laying a floor, flood sanding, wood floor refinishing, refinishing hardwood floors, flooring laying, wood floors refinishing, wood flooring refinishing, floor co, flooring hard wood, hard wood floors, laying floors, flooring company, flooring engineered hardwood, floor company, hard wood floor, cleaning hardwood floors, installing hardwood flooring, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floors, installing wood flooring, installing wood floors, installing hardwood floor, hardwood flooring installation, business floor, wood flooring installation, hardwood floor installation, floor companies, lay hardwood flooring, lay hardwood floor, wood floor repair, repair wood floor, repair hardwood floor, hardwood floor repair, finishing a hardwood floor, squeeky floors,,Hardwood floors, Install hardwood floors, caulking,Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,Paint & Wallpaper Contractors, Paint Colors, Paint Store, Paint Brush, Paint Shop, Home Wallpaper,Wallpaper, Paint colour advice, paint colour consultants, wallpapering, painter, faux, painters painting, painters paint, business painting, find painting, painting and restoration, new jersey painting, oh painting, local painting, wall paper repair, ,",0,2022-08-29T21:09:35.000-04:00,,FALSE,0,0,24,0,FALSE,dca0fc6be918c4a6c3a2bdfea163589991b0461b,TRUE,TRUE,TRUE,2290066,86.3986042433,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2970288,,/companies/2970288-prideworkconstruction?searched_category_id=323&service_area=2290640,"We offer a variety of services including fencing, decking and landscaping we're operating out of Guelph Ontario but will travel up to 45 minutes outside of our headquarters, we are confident that were will leave you satisfied and proud of the work we do!",prideworkconstruction,2022-07-07T12:47:32.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2032199,Prideworkconstruction ,1,1,3,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,",0,2022-07-07T12:48:45.000-04:00,,FALSE,0,0,4,0,FALSE,5c0e124d6ee1d27b8bffd8880b3d37859384c3ea,FALSE,TRUE,TRUE,2290640,84.0653012377,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2796841,,/companies/2796841-dimension-carpentry-services?searched_category_id=323&service_area=1859719,"Thanks for your interest in Dimension Carpentry Services.  We are a small business specializing in finish carpentry work of all kinds.  From custom kitchens and bathroom vanities, to full scale bathroom/kitchen/basement renovations, we are your one stop shop for everything ""detail"".  www.dimensioncarpentry.com",dimension-carpentry-services,2012-03-28T18:06:09.000-04:00,NA,,,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1859893,Dimension Carpentry Services,8,8,0,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2012-03-28T18:06:10.000-04:00,dimensioncarpentry,FALSE,0,0,14,NA,FALSE,ffd5402f04685c92e611468eee149e3dca097f2c,TRUE,FALSE,FALSE,1859719,87.5192198734,323,NA,NA,2016-04-19T07:55:46.000-04:00
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2954821,http://www.dsconstructiongroup.com,/companies/2954821-d-s-construction-group?searched_category_id=323&service_area=2250298,"We are D&S Construction Group, and we provide various types of construction services.  Hardworking, diligence, dedication perfectionism are words that are part of our performance. 
Our goal is to provide an excellent experience to our clients and we strive to achieve the best results, according to their needs and desire.
Call us for an estimate today!
Our prices are fair, regardless the work that needs to be done. ",d-s-construction-group,2021-04-04T19:44:34.000-04:00,NA,NA,NA,,House Remodeling; Basement Renovations; Finish Carpentry; Wall Paneling; Flooring Insulation; Flooring Installation; Tile Installation; Kitchen Installation; ,,"We can provide 3D designs for better visualizations; also if you don't have permits or 2D designs yet, we can take care of it for you.",NA,NA,,,,,TRUE,FALSE,,,TRUE,FALSE,,2016799,D&S Construction Group,2,1,42,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2021-04-04T19:45:10.000-04:00,,FALSE,0,0,43,0,FALSE,87afb364d893d7d79566d36d278b35efc07414e9,TRUE,TRUE,FALSE,2250298,86.4497018146,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2783109,NA,/companies/2783109-dynamic-residential-design-construction?searched_category_id=323&service_area=1837362,NA,dynamic-residential-design-construction,2010-12-22T09:24:45.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1846161,Dynamic Residential Design & Construction,2,1,1,10,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2010-12-22T09:24:47.000-05:00,NA,FALSE,0,0,0,NA,FALSE,cac881781865ee1f1c830af75a0964dc46db1470,FALSE,FALSE,FALSE,1837362,84.6803518129,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2952770,https://tedxrenovations.com,/companies/2952770-carpentry-residential-renovation?searched_category_id=323&service_area=2245789,"Flooring
Railing and stairs
Basement Finishing
Decks & Fence
Kitchen remodeling",carpentry-residential-renovation,2021-02-04T13:21:24.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2014866,"Carpentry, residential renovation",0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2021-02-04T13:22:08.000-05:00,NA,FALSE,0,0,1,0,FALSE,50d993dfb58291cc409b6e6c5cd5d2625df35701,FALSE,TRUE,FALSE,2245789,-1.0,323,NA,NA,NA
https://homestars.com/on/grand/carpenters,25,"c(""https://homestars.com/on/grand/carpenters?&page=2&"", ""https://homestars.com/on/grand/carpenters?&page=3&"")",Carpenters,2958397,NA,/companies/2958397-steve-the-funiture-builder?searched_category_id=323&service_area=2258261,NA,steve-the-funiture-builder,2021-07-27T17:35:55.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2020374,Steve the funiture builder ,0,0,0,NA,"Carpenters, carpenter, finish carpenter, local carpenter, carpenter work, carpenter companies, master carpenter, carpenters and joiners, carpentry, union carpenter, carpenter co, carpenter services, carpenter construction, interior framing, mud room, mudroom, playsets, playground, wooden playset, wooden playground, play set, caulking,,",0,2021-07-27T17:36:26.000-04:00,NA,FALSE,0,0,0,0,FALSE,9d09cb93a11d51b5e2b40d6170f2de8d25b83640,FALSE,FALSE,FALSE,2258261,-1.0,323,NA,NA,NA
