Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2959889,https://aircarehomeservice.com,/companies/2959889-air-care-home-services?searched_category_id=383&service_area=2273232,"Air Care Home Services, is committed to excellence in every aspect of our business. 
We uphold a standard of integrity bound by fairness, honesty and personal responsibility. 
Our distinction is the quality of service we bring to our customers. Knowledge of our trade combined with the ability is what makes us true professionals. 
Above all, we are watchful of our customer's interests and make their concerns the basis of our business.
we specialize in Gas fireplaces, maintenance and repairs.
we service,clean and inspect all types of Chimneys pallet stoves and gas fireplaces.
We Service all brands:

Napoleon 

Heatilator 

Heat N Glo

Valor

Majestic 

Montigo

Continental 

brick wood chimney
chimney insert and more.
Dryer vent Cleaning.

Call us today to book free inspection - 437-328-9434
",air-care-home-services,2021-09-21T12:54:32.000-04:00,NA,NA,NA,"Napoleon
Heat N Glo
Valor
Montigo
Continental
Majestic
LY Chimney supply
bacc fireplece brothers
Rockford Chimney Supply
Fireplaces and Chimneys | ECCO Supply
Fireside Chimney Supply","
Gas fireplace Repair and Cleaning
Chimney or Fireplace - Clean and Inspect.
Dryer vent cleaning
Chimney Caps,Chimney Crowns,Chimney and Fireplace Rapiers.
Tile and Grout Cleaning.",DuraVent Cleanburn Wholer US Fireplace products crown safe,We Fix All Gas Fireplaces,2009,3,Credit Card Cash,Chimney expert ISR,88823211546TX,,TRUE,TRUE,,,TRUE,FALSE,,2021865,Air Care Home Services,42,35,83,9.91429,"Chimney Sweeps, chimney, chimney pot, chimney stack, fireplace, flue, funnel, furnace, hearth, pipe, smokeshaft, stack, vent, ventilator, hob, ingle, inglenook, ingleside, settle, stove, cleaning,chimney cleaning, Just regular chimney cleaning,Duct Cleaning, Air Duct Cleaning, Furnace Duct Cleaning, vent cleaning, air vent cleaning, duct, ducts, air duct, duct air, cleaning the air, cleaning air, what is duct cleaning, cleaning duct, air ducts, cleaning ducts, cleaning the ducts, ducts cleaning, ducts and vents, vent cleaning, cleaning vent, air conditioning duct, what is air duct cleaning, air duct cleaning in, air duct cleaning, cleaning air duct, duct cleaning company, duct cleaning price, ac duc cleaning, duct cleaning prices, duct and carpet cleaning, duct cleaning canada, home air duct cleaning, air duct cleaning services reviews, residential duct cleaning, how much is duct cleaning, professional duct cleaning toronto, home duct cleaning services, heating duct cleaning, duct cleaning machine, professional duct cleaning, duct clean, hvac duct cleaning, duct cleaning service, duck cleaning, ducts cleaning, fresh air duct cleaning, commercial duct cleaning, industrial duct cleaning, canada duct cleaning, duct cleaning costs,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,",0,2021-09-21T12:55:07.000-04:00,aircare,FALSE,0,0,66,0,FALSE,49ceea33682bf639cf4d95114fcf386c04b1e2e5,TRUE,2022-10-12T23:24:09.000-04:00,TRUE,TRUE,2273232,98.2871340994,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2791905,https://www.absolutelyspotless.ca/,/companies/2791905-absolutely-spotless-cleaning-service?searched_category_id=383&service_area=2283195,"Absolutely Spotless Cleaning was founded by Jennifer Bell in 2007. Having trained as a professional house cleaner for 5 years prior to opening Absolutely Spotless, she now proudly offers over 18 years experience in cleaning homes and apartments/condos of all sizes. Our commitment to customer service is evident by the number of our many satisfied customers throughout the Durham Region and Burlington/Oakville region and references and reviews of our services are available.

We offer professional, detailed cleaning of the highest standard. One time, regular, occasional, move-in/out cleans, post renovation cleans available. Partial cleans available. Insured and bonded for your protection. Servicing all of Durham Region and surrounding areas, as well as Hamilton, Burlington, Oakville, Ancaster, Brantford and all surrounding areas. 

Absolutely Spotless Cleaning is registered and carries business insurance for your peace of mind and protection. Employees are covered by WSIB and government employee taxes are remitted.

We are social:

https://www.facebook.com/absolutelyspotless1

",absolutely-spotless-cleaning-service,2011-10-12T21:09:13.000-04:00,NA,"Durham Region (Newcastle, Bowmanville, Oshawa, Whitby, Ajax, Pickering, Claremont, Port Perry, Seagrave, Solina, Hampton, Kinsale, Greenwood and all surrounding areas).<br/>

<br/>Now serving Scarborough and Markham.
",8:30-6,,Residential,,,2007,NA,"e-transfer, cash, cheque. ",,,,TRUE,FALSE,,,FALSE,FALSE,Satisfaction Guarantee ,1854957,Absolutely Spotless Cleaning Service,43,41,1,9.87805,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2011-10-12T21:09:14.000-04:00,,FALSE,0,0,2,NA,FALSE,395259252be453707a3eaf8fadfef15982375e0c,TRUE,2022-09-28T13:47:12.000-04:00,TRUE,TRUE,2283195,97.209960265,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2960473,https://www.summerhillclean.com/,/companies/2960473-summerhill-clean-inc?searched_category_id=383&service_area=2262997,"Discover the Finest in Home Cleaning. 

The opulence of a sparkling window. The richness of a clean floor. 

This holiday season, let your loved ones unwrap the gift of a home well cleaned. We would love nothing more than to be at your service.

Imagine coming home and you can’t help but smell just how fresh it is. Everything around you is so clean and perfectly arranged that you feel the stress of your day melt away with each step. 

You’ll have peace of mind knowing your home has been cleaned using the highest quality cleaning supplies, a 47-point checklist, and a HEPA filter vacuum to trap microscopic particles as small as 0.1 microns. A vacuum as perfectionist as the cleaners - it even has a laser so you know it’s spotless. 

Of course you’ll be elated. But what if you’re not? Let us know and we’ll return same-day and compensate you for your time.",summerhill-clean-inc,2021-10-11T15:14:14.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,TRUE,TRUE,,Inquire,FALSE,FALSE,,2022449,"Summerhill Clean, Inc.",3,3,6,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2021-10-11T15:14:49.000-04:00,summerhillclean,FALSE,0,0,7,0,FALSE,18602115564b46883c71694aece0d735c3fa89ef,TRUE,NA,TRUE,TRUE,2262997,83.7264572634,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2953264,,/companies/2953264-cleaning-by-b-s?searched_category_id=383&service_area=2246935,"As residential cleaning experts we take pride in every home we service.
All products used are safe for your family,pets and the environment. 

As a mom of 2 I’ve been cleaning houses and small businesses for over 16 years and have been successfully running A Cleaning By B's for just over 4 years on my own and absolutely love what I do. The most rewarding part of my job is when clients return home from a long day of work and send me a txt or email saying how happy they are and how clean their home is.. 

Our goal is to clean your home from top to bottom and give you more time to do the things you enjoy. 

Contact us today for a free, no-obligation in-home estimate of your house cleaning needs.

My sister is a licensed vet tech at a veterinarian clinic and lets me know if the cleaners I'm using are safe for your pets I also use a Bissel pet pro vacuum that has a volume button that allows me to lower the sound of the vacuum so pets and small children that are home aren’t easily scared it also all comes apart and at the end of each day and its all washed and disinfected for the next day of cleaning all mop heads are numbered to your house key and the mop head you have is only used in your home and at the next house the mop head comes off and a new one is put on same with all clothes and rags. we use color-coordinated clothes. green clothes are only used in bathrooms and grey ones are only used in the kitchens.. all Swiffer dusters are thrown out at the end of each clean at each home and new ones are put on for the next home/next clean.. we are so dedicated to paying attention to detail especially during this time in a worldwide pandemic.. we hope by you allowing us into your homes we can meet all your cleaning needs and then some. hope to talk to you soon from us all at A Cleaning By B's.
",cleaning-by-b-s,2021-02-19T15:52:13.000-05:00,NA,NA,NA,"lysol-floor cleaner & toilet bowl cleaner
Dawn power wash - dish soap
water&vinegar - all glass surface's 
Fabuloso- degreaser
Bleach-ONLY IF NEEDED
Mr Clean-multi-purpose 
Pledge for all wood surfaces","One Time cleans- special occasion or just finished a home renovation 
Weekly
By-Weekly
Monthly 
Move In/Move out 
",,,2017,2,cash or E-transfer ,,,,TRUE,TRUE,,,FALSE,FALSE,,2015360,Cleaning by B's,5,5,25,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2021-02-19T15:54:18.000-05:00,,FALSE,0,0,35,0,FALSE,539dc05b73d9118c7a4b2cbb011dc4220c7412a4,TRUE,2021-08-24T19:59:37.000-04:00,TRUE,TRUE,2246935,84.1734669418,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2973478,,/companies/2973478-cana-commercial-and-residential-cleaning-services?searched_category_id=383&service_area=2294205,"Cana Commercial and Residential Cleaning Services provides experts residential cleaning,commercial cleaning,and janitorial services.we are a very reliable and competitive price and friendly.we are also absolutely good in service because we want our costumer happy and satisfied.",cana-commercial-and-residential-cleaning-services,2022-09-26T08:19:46.000-04:00,NA,NA,NA,,"Residential moving in/moving out:
we clean;
houses/condos/apartments/airbnbs
*floor cleaning like;
*sweeping
*dusting
*vacuuming
*moping
*window cleaning like;
*blinds or shade cleaning
*glass cleaning
*wasroom cleaning  
*cabinets cleaning
* shine the sinks
* shine the faucets
*frigidaire cleaning
*oven cleaning
*microwave oven cleaning
*carpet cleaning
*wall cleaning
*ceiling cleaning
*pressure washing

* we clean Commercial cleaning like;
*offices
*restaurants
*theatres
*schools
*churches
 and we have also;
*janitorial services

",,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2035389,Cana Commercial and Residential Cleaning services,1,1,2,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,Carpet & Rug Cleaning & Repairing, Carpet Cleaning, Carpet Cleaners, Rug Cleaning, rug cleaners, area rug cleaners, area rug cleaning, persian rug cleaning, Rug repair, carpet repair, persian rug repair, persian carpet repair, area rug repair, carpet rug cleaning, oriental rug cleaning, area rug cleaning service, rug cleaning and repair, professional rug cleaning, carpet and rug cleaning, rug cleaning services, wool rug cleaning, rug cleaning service, carpet cleaning repair, rug cleaning company, rug clean, industrial carpet cleaning, area rug cleaning services, ,",0,2022-09-26T08:21:21.000-04:00,canacleaning,FALSE,0,0,3,0,FALSE,dbfa2fe4a9f98291254cc3a2d9f9ff41a557f896,TRUE,NA,TRUE,TRUE,2294205,89.8053912198,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2963602,,/companies/2963602-elleni-cleaning?searched_category_id=383&service_area=2269974,,elleni-cleaning,2022-01-17T14:41:49.000-05:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2025552,Elleni Cleaning,3,3,1,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2022-01-17T14:43:49.000-05:00,,FALSE,0,0,2,0,FALSE,17d6272872ff9d56f8e92156dceaf476ee74d64b,TRUE,NA,TRUE,FALSE,2269974,87.989229097,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2924520,,/companies/2924520-d-h-cleaning-services?searched_category_id=383&service_area=2182056,"we are a honest and dependable company, who takes pride in their work. We supply all cleaners and vac cleaner. We have been in business for 25yrs, have excellent references. Just joined homestars to expand our services.",d-h-cleaning-services,2018-11-23T11:22:09.000-05:00,NA,NA,NA,,"house, apartment and offices cleaning",,"apt, houses seniors offices",1963,3,"Check, Cash, E-Transfer",,,,FALSE,TRUE,,,FALSE,FALSE,,1986694,D& H Cleaning Services,9,8,28,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2018-11-23T11:22:57.000-05:00,,FALSE,0,0,30,0,FALSE,06427fb571d6a8cd4c9716a54c0b3bda279b87c3,TRUE,2019-03-06T15:13:14.000-05:00,TRUE,FALSE,2182056,70.4087318925,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2964788,,/companies/2964788-bet-dan-cleaning-service-inc?searched_category_id=383&service_area=2272556,"Give us a call for all your cleaning needs. 

Let us help you rejuvenate your home. 

Call us now - 226-505-5480",bet-dan-cleaning-service-inc,2022-02-15T19:22:47.000-05:00,NA,NA,NA,,One-Time House Clean | Recurring Clean | Maid Service,,Cleaning Services,NA,NA,Cheques | E-Transfer,,Fully Licensed,,FALSE,FALSE,,,FALSE,FALSE,,2026718,Bet Dan Cleaning Service Inc ,1,1,1,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2022-02-15T19:23:16.000-05:00,betdan,FALSE,0,0,4,0,FALSE,924dc04a8901bc6317421bc60a0fc5df310d19eb,TRUE,NA,TRUE,FALSE,2272556,87.592785412,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2696741,NA,/companies/2696741-sauders-dry-cleaners-laundromats?searched_category_id=383&service_area=1709945,NA,sauders-dry-cleaners-laundromats,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1759793,Sauders Dry Cleaners & Laundromats,3,1,0,10,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2014-08-01T19:39:03.000-04:00,NA,FALSE,0,0,0,NA,FALSE,4ca3dd701a5cf1a2d9006ae36e40b27cea0a946f,FALSE,NA,FALSE,FALSE,1709945,66.2872470358,383,NA,NA
https://homestars.com/on/grand/house-apartment-cleaning,89,"c(""https://homestars.com/on/grand/house-apartment-cleaning?&page=2&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=3&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=4&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=5&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=6&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=7&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=8&"", ""https://homestars.com/on/grand/house-apartment-cleaning?&page=9&""
)",House & Apartment Cleaning,2970301,,/companies/2970301-jeffrey-cleaning-services?searched_category_id=383&service_area=2285319,"Jeffrey Cleaning Services is the cleaning company of choice Waterloo Region. We use eco friendly cleaning products, We offer you a full 24Hr Service Guarantee - if you are not fully satisfied with your cleaning, contact us within 24hrs and we will come back and make it right! Think of Jeffrey Cleaning Services for Residential cleaning, office cleaning, move-in and move-out cleanings, deep cleanings and a cleaning partner for Short Term Rentals, executive suites etc
Easy Online Quotes, Booking & Appointment Management

Covid-19 Response Updates
Jeffrey Cleaning Services have introduced many Enhanced Health & Safety Protocols in response to the Covid-19 Pandemic. These come in addition to our already advanced protocols relating to staff and client health measures.


CATEGORIES
House & Apartment Cleaning

Think of Jeffrey Cleaning Services for Residential cleaning, office cleaning, move-in and move-out cleanings, deep cleanings, Managers of Short Term Rentals, property managers etc.


",jeffrey-cleaning-services,2022-07-07T21:23:02.000-04:00,NA,NA,NA,"house cleaning , apartments , yard , ","house cleaning , apartments , yard , garbage disposal",P&G,cleaning,2019,2,,,,,FALSE,FALSE,,,FALSE,FALSE,,2032212,jeffrey cleaning services,2,2,5,6,"House & Apartment Cleaning, Cleaning House Services, Apartment Cleaning Services, house cleaning services, cleaner, maid, dust, housekeeper, keeper, clean, cleaning, home cleaning, apartment cleaning, apartment cleaning service, housekeeping services, apartment cleaning companies, house cleaning services, house cleaning service, apartment cleaning business, house cleaning, housekeeping service, house cleaning companies, house cleaning business, house cleaning rates, house cleaning company, apartment cleaning prices, houston house cleaning, green house cleaning, residential maid, house cleaning services prices, home cleaning service, apartment cleaning rates, ,",0,2022-07-07T21:23:53.000-04:00,,FALSE,0,0,6,0,FALSE,cd156d718bca40116d351967dcd1919a98db575a,FALSE,NA,TRUE,FALSE,2285319,45.5375052098,383,NA,NA
