Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,194893,http://www.allurewindowdecor.com,/companies/194893-allure-window-decor-inc?searched_category_id=343&service_area=1827817,"<p>Who We Are Allure Window Decor Inc. has been a leader in the window fashions industry for almost ten years. We specialize in ALL custom window coverings. We carry an extensive line of window treatments – if you’ve seen it, we have it. Whether its blinds, shutters, drapes, or shades …  We are an exclusive dealer of the Eclipse Shutters which is the leading vinyl shutter in the marketplace.  Eclipse shutters are greeguard certified, waterproof, and carry a 25 year warranty</p>",allure-window-decor-inc,2008-01-23T10:22:02.000-05:00,NA,"Oakville, Milton ,Mississauga , Brampton , Etobicoke, Toronto, NorthYork, Scarborough, Pickering , AjaxWhitby, Brooklyn,  Oshawa, Woodbridge, Vaughan, RichmondHill, Maple, Thornhill, Markham, Stouffville, Concord, KingCity, Nobleton, Kleinburg, Schomberg, Georgetown, Caledon, Orangeville,Aurora, Newmarket, Uxbridge, PortPerry, Bradford, Keswick, Georgina, Bolton, Innisfil, Barrie",,,"Our window treatment experts have covered a varying array of window styles. Here is a sample of some of our work and an assortment of the ideas that we have created for our many wonderful clients. If there is something you see that you like, don't hesitate to contact us.
We would be pleased to re-create and customize it for your application.
","Hunter Douglas, Eclipse, Maxxmar, Mera","Motorized Window Coverings
Home automation
Specialty Shaped Windows
Interior Decorator/Designer Accounts
 ",2000,6,"Cash, Cheque, Credit Terms",,,BBB,TRUE,TRUE,,,TRUE,FALSE,Depending on products. Lifetime on most.,52022,Allure Window Decor Inc,148,134,70,9.81343,"Shutters & Blinds, Window Shutter, Hurricane Shutter, Exterior Shutter, Window Blinds, Venetian Blinds, California shutters, plantation shutters, wood shutters, metal shutters,  roller blinds, roman blinds, custom blinds, sunscreens, vertical blinds, blind, curtains, shutter, for blinds, about blinds, blinds blinds blinds, blinds, blinds blinds, blinds to, and blinds, shades, shutters, the shutters, curtains and drapes, drapes and curtains, blinds and shade, blinds shade, window treatments and, window treatments, what are window treatments, shades and blinds, blinds & shades, shades blinds, shades and blinds, shades or blinds, blinds or shades, blinds and shades, window treatment, window coverings, window blinds, window blinds for, windows and blinds, window with blinds, blinds in window, blinds and window, blinds for window, ,Shades,Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",1,2008-09-29T20:33:26.000-04:00,allurewindow,FALSE,0,0,83,FALSE,e6bfec2bb694687561e18fab814191db9c8baa16,TRUE,2022-06-02T22:14:42.000-04:00,TRUE,TRUE,1827817,97.1186462613,343,NA,NA,NA
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,195064,http://www.amazingwindowfashions.com,/companies/195064-amazing-window-fashions?searched_category_id=343&service_area=1829832,"Amazing Window Fashions is a one stop shop for all Interior Designers, decorators, Developers, real-estate professionals and consumers.  We feature an extensive selection of high quality window covering options to fit varying styles and budgets.
 
We are pleased to offer an outstanding showroom of over 9000 square feet that is outfitted with full size displays, allowing clients to visually comprehend what the window covering looks and feels like.
 
Given the enormous variety and quality of products we carry, the Showroom lends itself to be used by Interior Designers and decorators as a Design Resource Center.  Our ongoing partnership between Amazing Window Fashions and the Interior Design community ensures that designers and decorators have easy access to the best window covering selections at preferred pricing.
 
Our affiliation with Workroom By Design gives us the power to produce high quality products in no time, whether you have one window or 800 windows our workroom is equipped to deal with both trade and public needs.
 
Our professional team of experts will assist you with everything you need to complete your project in a timely manner, from check measure to the final installation we do it all, we are very passionate with everything we do.
 
Our goal is to earn your trust and build a long term relationship with your company.
 
You can learn more about us by visiting our website www.amazingwindowfashions.com  
 
  

<a href=""http://www.hunterdouglas.ca/HDCorp/sb.cn""> Hunter Douglas </a>",amazing-window-fashions,2007-05-14T20:00:00.000-04:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge, Newmarket","Mon-Fri 10-6, Sat 10-4","Interior Polywood shutters, Interior vinyl shutters, Interior wood shutters, Interior aluminum shutters, Exterior wood shutters, Exterior aluminum shutters, Exterior vinyl shutters, exterior Roller shutters, Exterior Fire roller shutters, Awnings, Roman Shades, Roller shades, Woven Wood Shades, Pleated Shades, Roman Shades, Cellular shades, Vertical Blinds, Cellular Blinds, Horizontal Blinds, Aluminum Blinds, Faux Wood Blinds, Wood Blinds, PVC Blinds, Panel Tracks, Skylight Blinds and Shades, Motorized rollers, motorized blinds, motorized drapery, Custom Drapery","Residential, Retail, commercial, industrial, sales, repair and install, in-home consultation","Polywood Shutters, Hunter Douglas, Sun Glow, Shade-O-Matic, MaXXmar, Altex, SunProject, Elite, Eclipse Shutters, Luminaris Shutters, Exterior roller Shutters, Amazing Awnings, stobag awnings, bandalux, somfy, graber, ","Polywood Shutters - Exclusive to Amazing Window Fashions
Window Coverings, Interior Shutters, Exterior Shutters, Blinds & Shades, Roller Shutters, Awnings, Installation, Drapery, Drapery Hardware, motorization and integration, Home Consultation ",18,10,"We Accept: Cash, e transfers, Cheque, Visa, Master Card, American Express",,,,TRUE,TRUE,,,TRUE,FALSE,,52167,Amazing Window Fashions,175,132,57,9.80303,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,Shutters & Blinds, Window Shutter, Hurricane Shutter, Exterior Shutter, Window Blinds, Venetian Blinds, California shutters, plantation shutters, wood shutters, metal shutters,  roller blinds, roman blinds, custom blinds, sunscreens, vertical blinds, blind, curtains, shutter, for blinds, about blinds, blinds blinds blinds, blinds, blinds blinds, blinds to, and blinds, shades, shutters, the shutters, curtains and drapes, drapes and curtains, blinds and shade, blinds shade, window treatments and, window treatments, what are window treatments, shades and blinds, blinds & shades, shades blinds, shades and blinds, shades or blinds, blinds or shades, blinds and shades, window treatment, window coverings, window blinds, window blinds for, windows and blinds, window with blinds, blinds in window, blinds and window, blinds for window, ,Shades,",0,2009-09-16T08:54:34.000-04:00,amazingshutter,FALSE,0,0,25,FALSE,299e7942ece8ea550723a87a8b87c5756fb1ec91,TRUE,2020-07-31T22:08:14.000-04:00,TRUE,TRUE,1829832,95.2032767758,343,NA,NA,100
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,2897663,http://windowfashionsdepot.com/,/companies/2897663-window-fashions-depot?searched_category_id=343&service_area=2126880,"Window Fashions Depot provides a large selection of interior & exterior window fashions; Shutters, Blinds, Shades, Drapery, Drapery Hardware and Specializes In Window Fashions Motorization. The Window Fashions Depot team is proud to share our passion for window coverings with home owners and businesses alike. 

We offer personalized and customized window covering designs that fit your needs and budget. The showroom is equipped with full sized displays, giving you the opportunity to easily see, touch, and compare products. Our experienced consultants are more than happy to work with you to achieve the look you desire, and offer free in-home consultations, with no obligations.

Adding the finishing touches to your space with style!
We carry a large selection of window coverings for every space.
Located in Toronto - we serve Toronto and the GTA.
Contact us for a quote - we are happy to help and be a part of your project. 

Services:
SHUTTERS
BLINDS & SHADES
AWNINGS
ROLLER SHUTTERS
DRAPERY
MOTORIZATION
WALLPAPER
BEDS/HEADBOARD

",window-fashions-depot,2017-05-30T22:48:12.000-04:00,NA,NA,NA,"SHUTTERS
BLINDS & SHADES
AWNINGS
ROLLER SHUTTERS
DRAPERY
MOTORIZATION
WALLPAPER","Home or Office Consultation, design, install, repair, Motorization Precon
","Hunter Douglas WF, Altex, Coulisse, Sunproject, Mera, Elite WF, Sun Glow WF, Dexter WF, Sol-R, Graber WF, Maxxmar WF, Shade-O-Matic WF, Kravet, Duralee, J.ennis, Saletex, Robert Allen, maxwell, Eddystone, Alendel, unique, JF, Avant Gardw, Soletex, jackson, equus, Stobag, Pentegon, Somfy, Furniture Depot, CDH, Brimar, Alhambra, Casa Euro, Deco & Deco, kirsh, forest, helsor brothers, paris texas, stuart & Bowes, vesta, orion, trax, jago, fabricant,
","Blinds, Drapery, motorization",2016,NA,"E-transfer, Visa, Master Card, Cheque",,,,TRUE,TRUE,,,TRUE,FALSE,,1960087,Window Fashions Depot,125,114,1370,9.90351,"Shutters & Blinds, Window Shutter, Hurricane Shutter, Exterior Shutter, Window Blinds, Venetian Blinds, California shutters, plantation shutters, wood shutters, metal shutters,  roller blinds, roman blinds, custom blinds, sunscreens, vertical blinds, blind, curtains, shutter, for blinds, about blinds, blinds blinds blinds, blinds, blinds blinds, blinds to, and blinds, shades, shutters, the shutters, curtains and drapes, drapes and curtains, blinds and shade, blinds shade, window treatments and, window treatments, what are window treatments, shades and blinds, blinds & shades, shades blinds, shades and blinds, shades or blinds, blinds or shades, blinds and shades, window treatment, window coverings, window blinds, window blinds for, windows and blinds, window with blinds, blinds in window, blinds and window, blinds for window, ,Shades,Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,Awnings & Canopies, Retractable Awning, Window Awning, Canopy Bed, Awnings, Outdoor shades, canopy, canopies, an awning, awning, pergola, gazebo, gazebos, canopy awning, awning canopies, canopy awnings, sun shade, sun shades, sun and shade, patio cover, sunshade, patio covers, patio umbrella, patio umbrellas, motorhome awning,,Shades, ,",0,2017-05-30T22:49:10.000-04:00,windowfashion,FALSE,0,0,1304,FALSE,d88147292456bd41fbb64b7f28c2e99ef94e7805,TRUE,2022-11-09T10:52:10.000-05:00,TRUE,TRUE,2126880,98.9129632225,343,NA,NA,0
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,2973792,http://fatemidrapery.com/,/companies/2973792-fatemi-drapery?searched_category_id=343&service_area=2293439,"Fatemi Drapery specializes in Window Treatment Solutions

·        Custom made High Quality Blinds and Shades

·        Designer Fabric Draperies

·        High Quality Drapery Hardware

·        Installation Services

·        Free In-Home Consultation

Quality Window Treatments have long life. Chose products that meets your needs!

call 647-636-1680 or email fdrapery@gmail.com",fatemi-drapery,2022-10-03T11:08:00.000-04:00,NA,NA,NA,"Drapery, Valance, Zebra blinds, Silhouette Shade, Roller Shade, Solar Shade, Cellular (honeycomb) shade, Motorized blinds and Shades, Motorized Curtains track, quality Drapery hardware.","Full service: Consultation, professionally measured and instation service.  ",,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2035703,Fatemi Drapery ,5,4,14,9.5,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2022-10-03T11:13:53.000-04:00,,FALSE,0,0,15,FALSE,522102086be1fd8b7adf8e6e314764368582e61b,FALSE,NA,TRUE,TRUE,2293439,85.5845367594,343,NA,NA,0
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,209658,http://www.heritagedraperiesandinteriors.com,/companies/209658-heritage-draperies-interiors?searched_category_id=343&service_area=1811498,"At Heritage our job is to help you make your home more esthetically pleasing.  A place to enjoy, and welcome family & friends, in luxury and comfort, while raising the value of your home.",heritage-draperies-interiors,2008-01-23T10:28:52.000-05:00,NA,NA,,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,63987,Heritage Draperies & Interiors,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2009-03-10T10:04:38.000-04:00,NA,FALSE,0,0,0,FALSE,084065e4a2fd2eb1991282913d1d0dc1fad8f3c3,FALSE,NA,FALSE,FALSE,1811498,-1.0,343,NA,NA,NA
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,2855176,NA,/companies/2855176-royal-interior?searched_category_id=343&service_area=1977180,NA,royal-interior,2014-06-14T10:40:09.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1917606,Royal Interior,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,FALSE,2ad8858546df94b5e09905559b5b00bcfe5d5f18,FALSE,NA,TRUE,FALSE,1977180,-1.0,343,NA,NA,0
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,2925060,http://www.diamonddrapery.ca,/companies/2925060-diamond-drapery?searched_category_id=343&service_area=2183319,"custom drapery & curtains 
hospital curtains
smart shade
shutters & blinds 
Track bending 
wood interior decor & 3D walls panels

WE SERVE THE GTA 
",diamond-drapery,2018-12-09T17:35:07.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1987234,Diamond Drapery,0,0,11,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,2018-12-09T17:36:07.000-05:00,NA,FALSE,0,0,14,FALSE,f32ca5493eb52d6e36f2a296cbe1319e4405eee7,FALSE,NA,TRUE,FALSE,2183319,-1.0,343,NA,NA,0
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,204379,NA,/companies/204379-dream-decor?searched_category_id=343&service_area=1815114,NA,dream-decor,2008-01-23T10:26:24.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,59731,Dream Decor,1,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1815114,-1.0,343,NA,NA,NA
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,205908,NA,/companies/205908-f-k-textiles?searched_category_id=343&service_area=1811489,NA,f-k-textiles,2008-01-23T10:27:11.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,61064,F K Textiles,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1811489,-1.0,343,NA,NA,NA
https://homestars.com/on/holland-landing/drapery-curtains,10,https://homestars.com/on/holland-landing/drapery-curtains,Drapery & Curtains,227240,NA,/companies/227240-tiffanys-creative-window-design?searched_category_id=343&service_area=1812513,NA,tiffanys-creative-window-design,2008-01-23T10:36:49.000-05:00,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,77982,Tiffanys Creative Window Design,0,0,0,NA,"Drapery & Curtains, Drapery, Custom Drapery, Blinds, Curtain Rods, Drapery Hardware, Curtain stores, Drapes, custom window coverings, drapery fabric, soft furnishings, roman blinds, custom blinds,  custom curtains, the curtain, curtain, curtains, drapery, drapes, drapery curtain, curtain drapery, drapery and curtain, curtain and drapery, drapery curtains, curtains and drapery, curtains drapery, drapery and curtains, valence, drapes and curtains, curtains drapes, curtains & drapes, curtains and drapes, drapes curtains, drapes & curtains, draperies, curtain and drapes, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1812513,-1.0,343,NA,NA,NA
