Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,subdomain,completion_percent_cache,secret,latest_approved_review_created_at
https://homestars.com/on/indian-rocks-beach/junk-removal,4,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2630701,NA,/companies/2630701-bun-phippen-ltd?searched_category_id=468&service_area=1643905,NA,bun-phippen-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1693753,Bun Phippen Ltd,0,0,0,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1643905,0,468,NA,NA,NA,NA,NA,NA,NA
https://homestars.com/on/indian-rocks-beach/junk-removal,4,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2651078,NA,/companies/2651078-sanimos-inc?searched_category_id=468&service_area=1664282,NA,sanimos-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1714130,Sanimos Inc,0,0,0,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1664282,0,468,NA,NA,NA,NA,NA,NA,NA
https://homestars.com/on/indian-rocks-beach/junk-removal,4,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2753794,NA,/companies/2753794-entreprises-j-l-r-les?searched_category_id=468&service_area=1766998,NA,entreprises-j-l-r-les,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1816846,Entreprises J L R (Les),0,0,0,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1766998,0,468,NA,NA,NA,NA,NA,NA,NA
https://homestars.com/on/indian-rocks-beach/junk-removal,4,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2651970,NA,/companies/2651970-service-sani-tri?searched_category_id=468&service_area=1665174,NA,service-sani-tri,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1715022,Service Sani-Tri,0,0,0,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1665174,0,468,NA,NA,NA,NA,NA,NA,NA
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,195150,http://www.gtabatement.com,/companies/195150-gt-abatement-inc?searched_category_id=468&service_area=2166840,"GT Abatement Inc.

**(ASK FOR PROOF OF DISPOSAL FROM ALL ABATEMENT CONTRACTORS BEFORE YOU ISSUE PAYMENT)**

Asbestos abatement Type 3 and Type 2 (MTCU Certified 253W and 253S).

Asbestos abatement Procedures for pipe insulation, heating ducts, stucco/popcorn ceiling, vinyl floor tiles, and boiler insulation.

Boiler and Oil Tank Removals: (PM2 and PM3 Certification).

Mold Remediation

 
",gt-abatement-inc,2007-06-23T20:00:00.000-04:00,NA,Toronto and the GTA.,,,Asbestos Abatement / MTCU Certified 253W & 253S,,,1996,8,,,MTCU Certification 253W & 253S,,TRUE,FALSE,,,TRUE,FALSE,,52240,GT Abatement Inc,234,196,5,9.91709,"Asbestos, Lead, and Radon Removal, Asbestos Removal, Lead Removal, Asbestos and Lead Removal, paint lead, lead paint, asbestos abatement, disposal asbestos, asbestos disposal, removal of lead, lead removal, lead certification, radon, radon abatement, radon removal,Demolition, demolition, excavation, salvage, city demolition, demolition city, demolition company, demolition companies, demolition co, demolition inc, demolition business, concrete removal, demolition of building, building demolition, demolition building, demolition contractors, demolition of house, demolition house, house demolition, house for demolition, demolition removal, demolition and removal, demolition home, home demolition, demolish house, how to demolish a house, demo companies, demolition and construction, demolition construction, construction and demolition, construction demolition, demolition contractor, demolition tools, cost of demolition, demolition cost, demolishing a house, demolition concrete, demolition of concrete, concrete demolition, ,Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,1,7,FALSE,TRUE,TRUE,TRUE,2166840,98.3775724091,468,NA,NA,2009-11-04T14:24:26.000-05:00,amosite,100,7b27a97772dea3cc2184aa89b2270065e4b30a07,2022-06-12T08:57:28.000-04:00
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2963529,,/companies/2963529-demoltion-for-you?searched_category_id=468&service_area=2269806,"Demolition for you is a company with well-trained employees, we have worked all over the GTA and over with references and photos of what we have done for the past 7 years of being in business. 
We do commercial and residential demolitions. 

We have a strong team with a lot of experience. the reason why we are the best candidate to do your demolition because we love what we do and experience, so we know exactly what needs done and we also provide high quality of protection and care for any area that need to be protected and demolish. 

We do all entire house demolition • Garage & shed demolition • Flooring demolition • Bathroom demolition • Basement demolition Partition wall deconstruction • Kitchen demolition • Furniture dismantling • Commercial unit demolition • Warehouse demolition • Roof demolition furniture dismantle or to garbage, walls to carefully tear down, 

We commit to take care of all garbage and unwanted items after any process are completed in a short time and without any disruption to our customers.

You can check some of our reviews, Instagram page to see some of our previous projects.

Give us a call - 647-686-7220

Demolition For You 

https://www.instagram.com/demolitionforyou/",demoltion-for-you,2022-01-14T14:58:36.000-05:00,NA,NA,NA,,Construction | Demolition | Renovation,,,2017,15,Cash | Cheques | E-Transfer ,Bachelors Accounting | Bachelors International Business,Fully Licensed,,TRUE,FALSE,,,TRUE,FALSE,,2025479,Demoltion For You,5,5,20,10,"Demolition, demolition, excavation, salvage, city demolition, demolition city, demolition company, demolition companies, demolition co, demolition inc, demolition business, concrete removal, demolition of building, building demolition, demolition building, demolition contractors, demolition of house, demolition house, house demolition, house for demolition, demolition removal, demolition and removal, demolition home, home demolition, demolish house, how to demolish a house, demo companies, demolition and construction, demolition construction, construction and demolition, construction demolition, demolition contractor, demolition tools, cost of demolition, demolition cost, demolishing a house, demolition concrete, demolition of concrete, concrete demolition, ,Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,21,FALSE,TRUE,TRUE,TRUE,2269806,90.0714047921,468,NA,NA,2022-01-14T14:59:53.000-05:00,DemoForYou,0,4ecf1e27259abc8187e7439ad721a3b6f5dac8b7,2022-08-05T10:17:59.000-04:00
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2942803,https://lincolnpropertymaintenance.ca/,/companies/2942803-lincoln-property-maintenance?searched_category_id=468&service_area=2223495,"Established in 2016, Lincoln Property Maintenance is a small business based in Pickering Village (Ajax), Ontario that thrives on customer satisfaction and professionalism. We understand that owning a property comes with many responsibilities and jobs that can be overwhelming. Our main goal is to help make some of those jobs easier and stress-free. We offer a wide-range of services. 



Owner Ian De Clute has over 15 years of experience in general contracting in the Greater Toronto Area. He works extensively with property owners and managers on residential, condominium, and commercial properties. Ian works together with his clients to understand their needs and develop customized solutions that best achieve clients' goals and satisfaction. Ian prides himself on professionalism and attention to detail to achieve high-quality results.



Please contact us for more information - we'd love to hear from you!


Experienced property maintenance service and general contractor serving homeowners and property management companies in Durham Region, Ontario.

Visit us at www.lincolnpropertymaintenance.ca

",lincoln-property-maintenance,2020-04-28T16:16:29.000-04:00,NA,NA,NA,,"Mini-excavator services
Fences and decks
Post holes
Power washing
Waterproofing
Drainage solutions
Small tree, branch, and brush removal
Junk and rubbish removal
Interior and exterior caulking
General Contracting...and more!
",,,2016,NA,"Cash, Cheque and e-transfer",,,,TRUE,FALSE,,,TRUE,FALSE,Yes. Kindly ask for details. Depends on project completed. ,2004977,Lincoln Property Maintenance ,16,15,14,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,16,FALSE,TRUE,TRUE,TRUE,2223495,98.9444881698,468,NA,NA,2020-04-28T16:24:50.000-04:00,,0,36a19960bdd008b599f19a96c5385f6473231951,2022-05-29T17:05:51.000-04:00
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2890629,NA,/companies/2890629-chuck-it-removal-services?searched_category_id=468&service_area=2104984,"Let Us Take Care of the Job!
Ten years of proven & trusted Removal | Moving | Demolition services. 
We get the job done; we don’t just meet expectations; we exceed them. 
Our customers keep coming back because we are quick, dependable, knowledgeable and we support our community. 
We offer full-service removal, just tell us what you need, and we do the rest.

Contact Rick for a FREE no-obligation quote @ 905-619-0000
",chuck-it-removal-services,2016-09-27T20:31:24.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1953053,Chuck It Removal Services,3,3,0,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,0,FALSE,FALSE,TRUE,FALSE,2104984,85.2763796098,468,NA,NA,NA,NA,0,9d386567a019fcdf5e70ec683a104219b31d89c4,2019-02-13T19:24:18.000-05:00
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2938548,https://trunkajunk.com,/companies/2938548-trunk-a-junk?searched_category_id=468&service_area=2214305,,trunk-a-junk,2020-01-03T17:37:54.000-05:00,NA,NA,NA,,,,,2019,NA,"We accept all major credit cards, interac, cash and email money transfers.",,,,TRUE,FALSE,,,FALSE,FALSE,,2000722,Trunk A Junk,3,3,7,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,FALSE,0,0,8,FALSE,TRUE,TRUE,FALSE,2214305,80.3368948469,468,NA,NA,2020-01-03T17:39:55.000-05:00,,0,31981e9e7a63ade9771d5324dd0f05f19f549f1f,NA
https://homestars.com/on/indian-rocks-beach/junk-removal,18,https://homestars.com/on/indian-rocks-beach/junk-removal; https://homestars.com/on/indian-rocks-beach/junk-removal?&page=2&,Junk Removal,2772887,,/companies/2772887-mr-king-s-junk-removal-service?searched_category_id=468&service_area=1846167,"Junk/Garbage Removal,No hidden costs. We do all the loading and nice a clean up.Anything that can be recycled will be taken to the city recycle centers. We donate to Habitat for Humanity and Goodwill. The city dumps will only be used as a last resort. Call for free estimate!!! We guarantee the lowest prices everytime!! 647-216-KING (5464)",mr-king-s-junk-removal-service,2008-06-13T09:00:31.000-04:00,NA,"Ajax, Annex, Aurora, Cabbagetown , Chinatown, Danforth, East York, Etobicoke, Forest Hill, High Park, Lawrence park, Leaside, Leslieville, Markham, Mississauga, ...",24 Hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1835939,Mr. King's Junk Removal Services   No Longer In Business,26,20,0,9.95,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",1,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,1846167,63.1616898873,468,NA,NA,2008-06-13T09:13:11.000-04:00,mrkingsjunk,NA,9e93e9a43c0d2ea695e09adee5e255e54914a358,2015-05-14T13:42:33.000-04:00
