Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2794290,http://www.reynoldsbros.ca,/companies/2794290-reynolds-bros-eavestroughs?searched_category_id=432&service_area=1855708,"Reynolds Brothers Exteriors – Gutters like no other! Offering eavestroughs/siding/downpipes, soffit/fascia, leaf gutter guard, and windows/doors. 

Reynolds Brothers is a family-run business whose main focus is our commitment to honesty, quality, and customer service. Eavestroughs & Exteriors are often the last thing people think about but are your home's first line of defense against nature's elements.  Our first-class workmanship combined with the most unique and durable options will protect your home for decades to come. Take a look, you’ll be impressed! We offer 4 different styles of eavestrough which really stands out from other companies. 

#1 in Customer Service - Our family-run operation is a Homestars Best of 2017 Award Winner and takes pride in our customer service. You can take comfort in knowing that only our professionally trained staff will visit your home to ensure that you get the quality that you deserve. You can be sure that your experience with Reynolds Bros. will be a positive one. From your first contact, through to work completion and inspection, we are very careful to treat both our clients and their beautiful homes with utmost care and respect. We treat you like Family!

Check out our recent Homestars featured article with Ryan from Reynolds Brothers. 
  
http://blog.homestars.com/archives/top-10-gutter-and-eavestrough-questions/
https://www.readersdigest.ca/home-garden/home-improvement/winter-proof-your-house/
",reynolds-bros-eavestroughs,2012-01-19T15:48:38.000-05:00,NA,"Barrie, Simcoe County, Cottage Country, Newmarket & surrounding areas",8am-8pm,"Eavestroughs/Siding
Soffit/Fascia
Leafguard/Windows/Doors","Eavestrough Replacement/
Siding Installation/
Eavestrough Repair/
Leafguard-Gutter Guard/
Eavestrough Cleaning/
Roofing Services/
Downpipes/
De-icing Cables/
Colour Recommendations","Kaycan Preferred Supplier/
Elite Installer Alu Rex Gutter Guards
Maibec
Gentek
Royal Building","Best of the Best Homestars Winner 2017, 2018, 2019, 2020, 2021 & 2022 and #1 in customer service!",12,35,"E-transfer, Check, Credit Card and Cash",Vinyl Siding Institute Accredited,Yes,Coverved by WSIB ,TRUE,FALSE,,,TRUE,FALSE,5 years Installation / 20 years Materials,1857342,Reynolds Brothers Exteriors,396,358,20,9.91899,"Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,2012-01-19T15:48:40.000-05:00,reynolds-bros,FALSE,0,0,20,FALSE,76325c34dd71acb725e14c596725ac4973e6a8c7,TRUE,2022-11-09T15:47:36.000-05:00,TRUE,TRUE,1855708,99.1610762825,432,NA,NA,NA
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2785731,http://www.imperialroofs.com,/companies/2785731-imperial-roofs?searched_category_id=432&service_area=2228837,"Imperial Roofs were awarded the Vaughan Citizen Readers Choice Award in 2011

In 1968 my father founded Cel Marchildon Roofing, which has grown into the company we have today.  Through commitment to excellence in our workmanship and materials we have built our reputation of TOTAL CUSTOMER SATISFACTION by providing our customers with the BEST ROOFING SYSTEM that will accommodate their needs and budget.  We will provide you, our valued customer, with a detailed assessment that will outline the specific requirements for your home. 

Our expert staff is committed to providing you with the BEST ROOFING EXPERIENCE available in the GTA.  All workers are covered by WORKERS COMPENSATION.  Our company is fully LICENSED AND INSURED to provide you with a WORRY FREE ROOFING EXPERIENCE.  We DO NOT USE ROOFING SUB-CONTRACTORS.  All work is performed by our expert employees. 

This may or may not be your first time purchasing a new roof, however we would like to outline some of the key factors in our operating process:

?	Provide a copy of our Insurance Certificate
?	Provide a copy of Workplace Insurance Safety Board Certificate upon request
?	Provide a copy of our Operating License 
?	Protect your home and surrounding area from falling debris
?	Tear off all old shingles to the roof deck
?	Inspect the wood deck for rotting and warping areas
?	Install eave protection to all insulated eaves 
?	Install name brand shingles with your choice 25 years to limited lifetime guarantee
?	Install proper ventilation to the roof (1sq ft for every 300 sq ft of attic floor area) 
?	Install new metal flashing where needed or refurbish to “new” standards
?	Install closed valleys with aluminum underneath to ensure maximum protection 
?	Full property clean up using magnetic sweeps and trailers to ensure no driveway damage
?	All employees are Fall Safety accredited and Crew Chief First Aid and CPR trained

Services We Provide:
*Asphalt Shingle Replacement
*Gutters, Soffit & Fascia
*Siding - Vinyl, Aluminum
*Leaf Screen for Eavestroughs
*Rooftop Snow & Ice Dam Removal
*Roof Repairs
*Roof Evaluations
*Cedar Shakes
*Slate Roofs
*Insurance Claims
*Ventilation Upgrades
",imperial-roofs,2011-03-17T11:34:15.000-04:00,NA,GTA,7am to 7pm,,"Residential Re-Roofing and aluminum services gutters soffit, fascia and siding. ","IKO, CertainTeed,Owens Corning,GAF,BP,Gentek,Royal Aluminum,Alu-rex","Residential re-roofing specialist. 
Residential aluminum services. Gutters,soffit,facia, and siding. ",1968,9,Cash or Cheque Credit Card,"IKO Shield PRO Plus, Building Products of Canada Corp, Lomanco - Concepts and Design of Attic Ventil","Toronto #T85-3592020, Mississauga #2010 007966","BBB, HomeStars, Owens Corning certified,IKO Certified Installer, Velux Skylights Certified Installer",TRUE,FALSE,,,TRUE,FALSE,Up to 10 years workmanship & manufacturers warranty,1848783,Imperial Roofs,256,220,285,9.86364,"Roofing, Roofing Contractor, Metal Roofing, Roofing Material, Roofing Shingles, Roofing Company, cedar roofing, roofing repair, roof repair, cedar shingles, shingles, roof repair, slate roofing, slate roofs, cedar shakes, roof, how to roof, about roofing, at roofing, the roofing, roofing roofing, a roofing, roof roof roofing, shingles, roofs, shingles for roof, roof shingles, shingles roof, roofing shingles, shingles roofing, metal roof, roof metal, metal roofing, roofing metal, steel roof, steel roofing, roof repair, roof and repair, roofers, roofer, roof tiles, roof tile, tile roof, roofing contractors, roofing companies, metal roofs, roof shingle, shingle roof, contractor roofing, roofing contractor, Roofing Contractor for New Shingles, roofing canada, roofing companies, canadian roofing contractors, roof builders, roofing installers, contractor roofing, roofing calgary, roofing ottawa, roofers calgary, roofing jobs, roofing barrie, best roofing material, vancouver, roofing contractors, roof contractors, roofing supply , home roofing, roofing ontario, roof ontario, commercial roofing, residential roofers, roofing builders, shingle roof contractor, residential roofing company, roof types, best roofing company, fiberglass shingles,  canadian roofing company, flat roofing, industrail roofing, types of roofing, roofing options, list roofing companies, shinglers, roofing estimates, elk shingles,  roofing reviews, asphalt shingles prices, metal sheet roofing, roofing systems, flat roofing companies, roofing and siding, roofers review, new roofing, slate roofing contractors, roof installers, vinyl roofing material, roof sheets, commercial roof repairs,Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,2011-03-17T11:34:16.000-04:00,imperialroofs,FALSE,0,0,246,FALSE,49dfb0bdbb9a5bfd110956a0c5dfb57aa799af34,TRUE,2022-09-29T14:50:43.000-04:00,TRUE,TRUE,2228837,98.8313544769,432,NA,NA,100
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2797495,,/companies/2797495-home-exterior-aluminum?searched_category_id=432&service_area=2281606,"Home Exterior Aluminum specialize in :
-Eavestrough 
-Soffit & Fascia 
-Siding  
-Leafguard/Gutter Protection",home-exterior-aluminum,2012-04-23T11:48:21.000-04:00,NA," Toronto,Markham,North York, Richmond Hill, Scarborough, Thornhill,  Vaughan,Etobicoke,Mississauga, GTA.",,"Siding (vinyl, aluminum); seamless gutters/eavestroughs; Alu-Rex leaf guard; soffit & fascia","Supply, install, and maintain eavestrough, siding, soffit & fascia, leafguard, and windows,doors and garage doors capping. "," Residential Buidling Products, Gentek. Alu-Rex. Kaycan.",,NA,NA,,,,,TRUE,FALSE,,$500,TRUE,FALSE,standard,1860547,Home Exterior Aluminum,190,175,159,9.99429,"Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",1,2012-04-23T11:48:23.000-04:00,homeexterioraluminum,FALSE,0,0,88,FALSE,816898df4cbf0f4f329fb9ad099bca837cb53e91,TRUE,2022-06-21T19:28:03.000-04:00,TRUE,TRUE,2281606,96.8520026959,432,NA,NA,100
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2800376,http://www.stoneselex.com,/companies/2800376-stone-selex?searched_category_id=432&service_area=2093093,"Siding, Stucco, Stone, Brick, Masonry and Fireplaces
From design to installation, Stone Selex Design is a premier company with over 20 years of experience providing both residential and commercial customers with quality installation and a high level of customer satisfaction. 

Stone Selex Design is committed to providing full service installation for your exterior or interior stone veneer project. We also provide installation of stone veneer, stucco, brick, masonry and fireplace transformations. 
Design your own project with the NEW Stone Veneer Visualizer and have Stone Selex Design install it for you. The Visualizer gives you the ability to envision your project from the comfort of your computer screen. It has the power to transform a photo of your home into a professional digital rendering by adding siding, stucco and stone. 
Make your home the talk of the neighbourhood with stone and <a href=""http://en.wikipedia.org/wiki/Stucco"">stucco</a>, or stone and brick, or siding and <a href=""http://www.en.wikipedia.org/wiki/Brick"">brick</a>, stone tile and wood siding. The possibilities of style and colour combinations are endless. A Stone Selex Design project manager will help you with each stage of your project from where to add stone, stucco, siding, brick and <a href=""http://en.wikipedia.org/wiki/Masonry"">masonry</a> and provide you with a quote for our installation services provided by our experienced masonry installers.  
If it’s a fireplace that you want to create or just simply add stone or masonry, Stone Selex Design and the visualizer can help you with this too. While you are in the planning stages of your <a href="" http://en.wikipedia.org/wiki/Fireplace"">fireplaces</a> transformation the visualizer is a great tool to use. Look through photos for ideas and see what others are doing and then come to Stone Selex Design and ask us to install it for you.


Visit us here:
https://twitter.com/StoneSelex
https://www.facebook.com/StoneSelexInc/",stone-selex,2012-07-27T11:47:40.000-04:00,NA,"St. Catharines, Niagara Falls, Welland, Burlington, Hamilton, Oakville, Milton, Mississauga, Port Credit, Georgetown, Brampton, Bramalea, Etobicoke, Toronto, Willowdale, North York, Scarborough, Woodbridge, Maple, King City, Concord, Richmond Hill, Markham, Unionville, Stratford, Oshawa, Whitby, Clarington, Acton, Erin, Kitchener, Waterloo, Cambridge, Guelph, Brantford, Brant, Brockville, Woodstock, Barrie, Carp, Innisfil, Midland including Tay and Penetanguishene, Orillia, Ramara, Leamington including Kingsville, Sudbury, Chatham, Kent, London, Kingston, South Frontenac, Peterborough including Smith-Ennismore-Lakefield, Belleville, Cornwall, North Bay, Sault Ste. Marie, Kawartha Lake, Muskoka, Norfolk, Timmins, Owen Sound ","Monday to Friday 8am - 6pm, Saturday 10am - 3pm","Manufactured Stone, Decorative stone, Natural Stone Veneer, Canyon Stone Veneer, Canyon Brick Veneer, Stone Fireplace, Natural Stone, Stone Panel,Stone Wall,Home Stone, Cladding Stone ","Stone Installation, Exterior and Interior Installation, Stone Fireplace Package Installation, Stone Sales, Design Consultation, Free Quotation, Sample Board Rentals ","Canyon Stone, Canyon Stone Canada Natural Stone Veneer, DIMPLEX Electric Fireplaces","lightweight manufactured stone veneer, natural stone veneer, brick veneer, thin cut stone panel, interior stone, exterior stone, wall stone panels",2007,15,"Visa, Master Card, Debit, Cheque",,T85-3953274,"BILD, Canadian Home Builder's Association",TRUE,FALSE,,No Minimum,TRUE,FALSE,3 years,1863428,Stone Selex Design,164,139,147,9.54676,"Tile & Stone Contractors, Natural Stone Tile, Stone Floor Tile, Ceramic Tile, Floor tile, Tile installers, Stone installers, stone counter top installers, tile counter top installers, stone backsplash intallers, granite installers, marble installers, limestone installers, linoleum installers, slate contractors, slate installers,install tite ,backsplash , fire place veenerneed someone to install blacksplash , wall stone veener bath room mosaic,Masonry & Bricklaying, Masonry Supply, Masonry Contractor, Stone Masonry, Brick Laying, Technique, Brick Laying Pattern, stone wall, brick wall, masonry repair, brick repairs, masonry, brick masonry, masonry bricklaying, masonry work, mason contractors, york masonry, masonry companies, brick masonry construction, brick contractors, masonry brick laying, masonry workers, bricklaying firms, parging, ,Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,Stucco, Stuccos, stucco contractor, stucco surface, exterior stucco, popcorn, popcorn ceiling, popcorn ceilings, popcorn ceiling removal,,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,Interlocking Stone, Interlocking Tile, Stone, tiles for, landscaping, paving, pavers, paver, stone step, wall stone, stone wall, landscape design, patios, interlock, retaining wall, stepping stones, interlocking, landscaping ideas, retaining walls, paving stones, paver stones, pavers stones, pavers and stones, stones pavers, stones and pavers, flagstone, concrete design, landscapers, natural stone, paving stone, stone paving, stone paving stone, walls stone, patio designs, stone and tiles, tiles and stone, stone flagstones, slate tiles, slate tile, stone veneer, pavers stone, stone and pavers, stone pavers, paver stone, stone paver, concrete driveway, stone brick, stone and brick, brick and stone, stone flooring, stone patio, stone for patio,,",0,2014-05-07T16:31:42.000-04:00,stoneselex,FALSE,3,0,207,FALSE,8b6ea0190938baafcad801bd126a80361dd521e3,TRUE,2021-09-17T15:58:57.000-04:00,TRUE,TRUE,2093093,91.3786382174,432,NA,NA,100
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2575221,http://www.tsimpsonroofing.ca/,/companies/2575221-simpson-t-roofing?searched_category_id=432&service_area=2097043,"With offices in Barrie and Newmarket, T. Simpson Roofing is a family-owned and -operated company with over 25 years of experience. Our extensive roofing knowledge, combined with honest customer service interactions, has solidified our position among the best roofing companies in the industry. Our commitment to delivering top-quality work, using only the finest materials, has also secured our status as Master Elite™ Contractors—an exclusive industry designation held by only 3% of North American roofing contractors. Contact us today to schedule your appointment.",simpson-t-roofing,2008-03-04T16:55:15.000-05:00,NA,NA,Monday-Friday 8am-6pm,,"Roofing replacements and small repairs, skylights, new construction, eavestroughs, soffit, fascia, siding, inspections, insurance work, windows, garden doors, patio sliding doors, entrance doors & man doors.",,,1992,NA,"Financing OAC, Visa, Mastercard, Debit, Cash, Cheque",,,,TRUE,FALSE,,,TRUE,FALSE,,1638273,T. Simpson Roofing Ltd.,84,71,30,8.91549,"Roofing, Roofing Contractor, Metal Roofing, Roofing Material, Roofing Shingles, Roofing Company, cedar roofing, roofing repair, roof repair, cedar shingles, shingles, roof repair, slate roofing, slate roofs, cedar shakes, roof, how to roof, about roofing, at roofing, the roofing, roofing roofing, a roofing, roof roof roofing, shingles, roofs, shingles for roof, roof shingles, shingles roof, roofing shingles, shingles roofing, metal roof, roof metal, metal roofing, roofing metal, steel roof, steel roofing, roof repair, roof and repair, roofers, roofer, roof tiles, roof tile, tile roof, roofing contractors, roofing companies, metal roofs, roof shingle, shingle roof, contractor roofing, roofing contractor, Roofing Contractor for New Shingles, roofing canada, roofing companies, canadian roofing contractors, roof builders, roofing installers, contractor roofing, roofing calgary, roofing ottawa, roofers calgary, roofing jobs, roofing barrie, best roofing material, vancouver, roofing contractors, roof contractors, roofing supply , home roofing, roofing ontario, roof ontario, commercial roofing, residential roofers, roofing builders, shingle roof contractor, residential roofing company, roof types, best roofing company, fiberglass shingles,  canadian roofing company, flat roofing, industrail roofing, types of roofing, roofing options, list roofing companies, shinglers, roofing estimates, elk shingles,  roofing reviews, asphalt shingles prices, metal sheet roofing, roofing systems, flat roofing companies, roofing and siding, roofers review, new roofing, slate roofing contractors, roof installers, vinyl roofing material, roof sheets, commercial roof repairs,Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,2010-09-23T14:25:39.000-04:00,tsimpsonroofing,FALSE,0,0,30,FALSE,d00fb6f0758d6feb7b2478f7d4bbfb809a677051,TRUE,2020-09-18T16:41:13.000-04:00,TRUE,TRUE,2097043,89.3751577399,432,NA,NA,NA
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2975696,http://www.cecigservices.com,/companies/2975696-ceci-general-services-inc?searched_category_id=432&service_area=2298087,"Who we are , we are Ceci General Services Inc, we are a family owned business we have been in this business for over 15 years and continue to thrive with our reputation as James Hardie #1 preferred Installer in the Simcoe County Area!  We as a company thrive to bring out the best with it just being a small or big exterior renovation, a new build, a commercial build we are there for all your needs!

Our goal as a company is to listen to our clients, to deliver the best customer service as possible,  ",ceci-general-services-inc,2022-11-10T11:15:24.000-05:00,NA,NA,NA,"All types of siding , Exterior trim, eavestrough, fascia, soffit , architectural columns, caulking ","Installation of all types of siding 
Installation of Exterior trim, 
Installation of eavestrough, fascia, soffit 
Installation of architectural columns
 All caulking needs! ","James Hardie, Kaycan, Gentek, Fraser, Royal, Sagiper, Maibec",James Hardie Certified Installers!,2010,35,"Etransfer, Cash, cheque, visa",,yes,Covered By WSIB,TRUE,FALSE,,,FALSE,FALSE,2 years of Installation,2037594,CECI General Services Inc.,1,1,14,10,"Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,Gutters & Eavestroughs, Eavestrough Cleaning, Eavestrough Installation, Eavestrough Maintenance, gutter cleaning, gutter installation, gutter maintenance, installing gutters, installing eavestroughs, Eavestrough Repair, ,",0,2022-11-10T11:18:19.000-05:00,,FALSE,0,0,15,FALSE,df845e38200566c287aebed67267d51f305e92cc,TRUE,NA,TRUE,TRUE,2298087,90.9346916831,432,NA,NA,0
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2928452,NA,/companies/2928452-spk-contracting?searched_category_id=432&service_area=2191061,NA,spk-contracting,2019-03-11T15:31:24.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1990626,Spk contracting,0,0,0,NA,"Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,2019-03-11T15:32:14.000-04:00,NA,FALSE,0,0,0,FALSE,fec40b3f648abfb076cb8bee4c51229d6f63ac85,FALSE,NA,FALSE,FALSE,2191061,-1.0,432,NA,NA,0
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2583915,NA,/companies/2583915-rutledge-aluminum-vinyl-products?searched_category_id=432&service_area=1597119,NA,rutledge-aluminum-vinyl-products,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1646967,Rutledge Aluminum & Vinyl Products,2,2,0,10,"Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,2013-11-25T22:01:17.000-05:00,FALSE,FALSE,1597119,30.4906100435,432,NA,NA,NA
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2762463,NA,/companies/2762463-jay-s-custom-eavestroughing?searched_category_id=432&service_area=1775667,NA,jay-s-custom-eavestroughing,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1825515,Jay's Custom Eavestroughing,0,0,0,NA,"Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1775667,-1.0,432,NA,NA,NA
https://homestars.com/on/island-grove/siding,10,https://homestars.com/on/island-grove/siding,Siding,2673510,NA,/companies/2673510-cooper-bros-aluminum-inc?searched_category_id=432&service_area=1686714,NA,cooper-bros-aluminum-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1736562,Cooper Bros Aluminum Inc,0,0,0,NA,"Siding, vinyl siding, wood siding, exterior siding, aluminum siding, cedar shakes, cedar shingles, composite wood siding, seamless steel siding, wood clapboard, stone siding, brick siding, exterior, side, sides, how to siding, the siding, the other side, stucco,  how to vinyl siding, about vinyl siding, what is vinyl siding, in vinyl siding, vinyl siding how to, vinyl siding, siding vinyl, how to install vinyl, cement fiber, fiber cement, siding house, house with siding, siding on a house, what is siding on a house, siding for house, siding a house, how to siding a house, siding on house, house siding, siding for a house, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1686714,-1.0,432,NA,NA,NA
