Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2972384,,/companies/2972384-howiebins-junk-removal?searched_category_id=468&service_area=2290129,,howiebins-junk-removal,2022-08-30T12:43:24.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2034295,HowieBins Junk Removal,5,5,22,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2022-08-30T12:46:37.000-04:00,,FALSE,0,0,28,0,FALSE,68672ffefd1e1d4a91945868204767b79d7e01a9,TRUE,TRUE,TRUE,2290129,90.4929955038,468,NA,NA,NA
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2874757,http://www.loadofrubbish.com,/companies/2874757-load-of-rubbish?searched_category_id=468&service_area=2047903,"Load of Rubbish makes junk removal easy. We can remove ""almost"" anything from ""almost"" anywhere. From furniture to appliances, household items, we do it all. No removal is too big or too small, we remove anything from a single item to an entire home or office.

At Load of Rubbish, we’re not fans of mysteries, especially when it comes to prices. We believe that customers deserve to know what they will be paying ahead of time. That’s why we have always, and will always, provide pricing online, on the phone and in person. We won’t force you to book an appointment to get a price, and we will never use high pressure sales tactics. We are different, and we believe different is good.
",load-of-rubbish,2015-08-14T00:37:15.000-04:00,NA,NA,Mon-Fri 8:00am-5:00pm,,Junk Removal,,,2009,10,"Debit, Visa, Mastercard, Amex, Cheque, Cash ",,,,TRUE,FALSE,,,FALSE,FALSE,,1937181,Load Of Rubbish,15,13,1,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,NA,,FALSE,0,0,2,0,FALSE,f41bda2e6268897cde01e808f6b003822a0966d2,FALSE,TRUE,TRUE,2047903,96.3604824314,468,NA,NA,2022-06-29T19:34:23.000-04:00
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2930747,https://justjunk.com/junk-removal-london,/companies/2930747-justjunk-london?searched_category_id=468&service_area=2196366,"JUSTJUNK London is your locally owned and operated junk removal service, making de-cluttering quick and easy.  We do all the lifting, loading and hauling for you.  JUSTJUNK London’s junk removal teams are trained, insured, and happy to help, providing all of our customers with upfront pricing.",justjunk-london,2019-05-07T11:30:15.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1992921,JUSTJUNK® London,2,2,6,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2019-05-07T11:30:28.000-04:00,NA,FALSE,0,0,7,0,FALSE,37d0151dceb3400ebd6b3123d73436833e1dfd41,FALSE,FALSE,FALSE,2196366,88.0318248374,468,NA,NA,NA
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2942644,NA,/companies/2942644-dicks-junk-removal?searched_category_id=468&service_area=2223127,"Since 1994 we have been saving our clients over $50,000 a year in dump fees, start saving, call today",dicks-junk-removal,2020-04-22T21:03:20.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2004818,DICKS Junk Removal,7,2,3,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2020-04-22T21:03:34.000-04:00,NA,FALSE,0,0,4,0,FALSE,00ba1b53050d374675fe3fd7fc231e3cd636957c,FALSE,TRUE,FALSE,2223127,84.9441954993,468,NA,NA,NA
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2805417,NA,/companies/2805417-alchemy-junk-removal?searched_category_id=468&service_area=1872370,NA,alchemy-junk-removal,2013-01-28T20:08:36.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1868417,Alchemy Junk Removal,3,3,0,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2014-11-12T12:30:25.000-05:00,NA,FALSE,0,0,0,NA,FALSE,7b87569b47ee961026f4e37306cf9d37c6a32217,FALSE,FALSE,FALSE,1872370,79.5369268776,468,NA,NA,2014-11-10T09:34:07.000-05:00
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2780704,,/companies/2780704-1-800-got-junk-london?searched_category_id=468&service_area=1833260,NA,1-800-got-junk-london,2010-08-25T16:26:03.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1843756,1 800 Got Junk?   London,2,1,0,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2016-04-20T09:35:54.000-04:00,NA,FALSE,0,0,0,NA,FALSE,2342d0f6ff7633bf72fb10ddfb5970b1c59bf76b,FALSE,TRUE,FALSE,1833260,54.6109407863,468,NA,NA,2015-04-07T10:45:29.000-04:00
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2587240,http://www.greenvalleyrecycling.ca,/companies/2587240-green-valley-recycling?searched_category_id=468&service_area=1600444,"Recycling of all construction, demolition and renovation materials such as wood, drywall, shingles, concrete, asphalt, cardboard, plastics and more. They are recycled into granular products, recycled asphalt, wood chips & mulches and more. For a complete list of products we receive and sell see our website at www.greenvalleyrecycling.ca or visit our yard at 1200 Green Valley Road just south of Hwy 401 between Wellington Road & Highbury Avenue.",green-valley-recycling,2008-03-04T16:55:15.000-05:00,NA,NA,"M-F 7-6, S 8-2 Apr-Oct, M-F 8-5, S 8-12 Nov-Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1650292,Green Valley Recycling Corp.,1,1,0,10,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2009-04-02T17:54:18.000-04:00,NA,FALSE,0,0,0,NA,FALSE,da264ff4f80ce0e5d26c1afafe8be84f3a7b0f3d,FALSE,FALSE,FALSE,1600444,34.739010989,468,NA,NA,2011-11-18T23:59:47.000-05:00
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2783769,NA,/companies/2783769-1-888-junk-van?searched_category_id=468&service_area=1839273,"Junk removal has never been easier. We offer complete removal solutions for your individual needs. From household to industrial concerns and everything in between, we strive to fill all of your removal needs. No matter how small or large the job, we can help you with the appropriate solution. We can often provide same day service. Our professional removal crews make your part very easy; you don’t have to lift a finger. All you have to do is, CALL NOW!!!!!",1-888-junk-van,2011-01-29T11:49:50.000-05:00,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1846821,1 888 Junk Van,13,5,0,0,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2011-01-29T11:49:51.000-05:00,NA,FALSE,0,0,0,NA,FALSE,f246ddc420c18e0b2c98d2eb10c7714470365e1d,FALSE,FALSE,FALSE,1839273,0.0,468,NA,NA,2014-09-16T20:06:29.000-04:00
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2914445,NA,/companies/2914445-wallbridge-construction-group?searched_category_id=468&service_area=2159790,NA,wallbridge-construction-group,2018-04-14T07:54:03.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1976629,Wallbridge Construction Group ,0,0,8,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2018-04-14T07:54:43.000-04:00,NA,FALSE,0,0,9,0,FALSE,590bf0daf2aea822b8038e19bc56efa541d54967,FALSE,TRUE,FALSE,2159790,-1.0,468,NA,NA,NA
https://homestars.com/on/komoka/junk-removal,34,"c(""https://homestars.com/on/komoka/junk-removal?&page=2&"", ""https://homestars.com/on/komoka/junk-removal?&page=3&"", ""https://homestars.com/on/komoka/junk-removal?&page=4&"")",Junk Removal,2806831,NA,/companies/2806831-justjunk-london?searched_category_id=468&service_area=1875202,NA,justjunk-london,2013-03-06T13:33:54.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1869831,Justjunk London,0,0,0,NA,"Junk Removal, Garbage Services, Garbage Disposal, Garbage Bag, Garbage Collection, Trash services, trash disposal, trash collection, junk, junk removal, trash, junk, junk it, recycle, disposal, trash and garbage, waste trash, trash waste, waste garbage, waste and garbage, disposal of waste, waste disposal, waste and disposal, waste management, waste collection, hauling, trash and recycle, skips, garbage collection, sanitation, disposal of garbage, garbage disposal, trash collection, scrap metal, dumpster, recycling and trash, trash and recycling, trash disposal, refuse collection, trash removal, removal of waste, removal waste, waste removal, garbage waste disposal, garbage and waste disposal, waste and recycling, waste recycling, dumpsters, trash waste disposal, garbage pickup, trash pickup, removal garbage, garbage removal, waste pickup, pick up garbage, garbage pick up, trash pick up, pick up trash, trash bin, trash garbage removal, bin rental,",0,2013-03-06T13:33:55.000-05:00,NA,FALSE,0,0,0,NA,FALSE,8c223bb33929fac0f361395fdd3e143c38aa3fc7,FALSE,FALSE,FALSE,1875202,-1.0,468,NA,NA,NA
