Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2777134,https://www.tmcrestoration.com/home/,/companies/2777134-tmc-restorations?searched_category_id=366&service_area=1950915,"***COVID-19 UPDATE: WHILE OUR FACILITY REMAINS CLOSED TO THE PUBLIC, WE ARE CURRENTLY CONDUCTING A LIMITED NUMBER OF FREE IN-HOME ESTIMATES (BY APPOINTMENT ONLY) APPLYING ESTABLISHED PHYSICAL DISTANCING & SAFETY MEASURES.***      

TMC Restoration is a family owned and operated business providing quality furniture and antique repair and restoration services from our original location since 1989. Our president, Bill McBride has been deeply involved in the local furniture restoration industry since the early 1970s and is intimately acquainted with the home furnishing needs of consumers throughout the greater Toronto area and southern Ontario. Despite the expansion of our range of services, our location and our workforce – every valued team member at TMC Restoration appreciates the importance of extending personalized customer care.

At TMC Restoration we pride ourselves on the quality of both our restoration service and the level of customer care we provide. The consumer feedback we receive consistently confirms our dedication to customer satisfaction and accommodation.

We extend our complete range of services to both residential and corporate clientele, and our work adorns thousands of additional local private residences and commercial spaces every year. Our work is fully guaranteed and our complimentary, on-site free estimation service means you never have to leave your dwelling or office to receive a free, detailed estimate.

TMC Restoration is the largest furniture and antique restoration company in Ontario. Decades of experience have informed our approach to everything we do and our longevity and ongoing commitment to service excellence has produced substantial repeat and referral business. Our reputation is built on the promise of complete customer satisfaction. From the initial estimate to the final delivery of your restored furniture – we are confident you will be impressed and refreshed by your experience with TMC Restoration.

TMC Restoration is the right choice!",tmc-restorations,2009-12-15T11:10:52.000-05:00,NA,,,,,,,30,NA,,,,,TRUE,TRUE,,,TRUE,FALSE,,1840186,TMC Restoration,900,318,257,8.55346,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2010-02-03T14:48:20.000-05:00,,FALSE,0,0,379,10,FALSE,fe560e658b01075889550e686f6e54f49248b5bf,TRUE,2022-04-09T16:18:38.000-04:00,TRUE,TRUE,1950915,87.1126657041,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2775428,http://harrysfurniture.homestars.com,/companies/2775428-a-harry-s-furniture-restoration-inc?searched_category_id=366&service_area=1978946,"Furniture Refinish & Repair, Repairs, Refinish, Reupholstering, Refinishing Antique Furniture 

Email us at: info@aharrysfurniture.com

WE HAVE BEEN IN BUSINESS FOR THE PASS 17YEARS, SERVING OUR CUSTOMERS WITH DEDICATION AND LOYALTY,WE GO ABOVE AND BEYOND TO PLEASE OUR CUSTOMERS. SATISFYING OUR CUSTOMERS IS OUR #1 PRIORITY.",a-harry-s-furniture-restoration-inc,2009-06-08T17:01:35.000-04:00,NA,,"MONDAY - FRIDAY 8AM - 4:30PM, SATURDAY 9 - 2, SUNDAY CLOSE",,"Repairs, Refinish, Reupholstering",,Refinishing Antique Furniture,2000,NA,"cheque, cash",,Woodworking Certificate,,TRUE,FALSE,,,TRUE,FALSE,,1838480,A. Harry's Furniture Refinishers Inc.,118,109,2,9.99083,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",1,2009-06-08T17:01:32.000-04:00,harrysfurniture,FALSE,0,0,3,100,FALSE,4adf46275144ce79295736cd39240df126a8fcbb,TRUE,2022-09-22T15:55:43.000-04:00,TRUE,TRUE,1978946,99.1774956933,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2852232,http://www.aloupholstery.ca,/companies/2852232-alo-upholstery-interiors?searched_category_id=366&service_area=1967001,"Alo Upholstery & Interiors specializes in custom made furniture and re-upholstery including working with genuine leather, custom headboards, refinishing and antique restoration. We also do window treatments plus installation. 

We carry a wide range of fabric samples from Robert Allen, Joanne Fabrics, Maxwell Fabrics, Kravets, Charlotte Fabrics and etc. in our showroom for furniture and Drapery. 

*Estimates are free!* 

Follow us on Instagram and Facebook to see our latest projects.

IG: alo_upholstery
FB: Alo Upholstery & Interiors
",alo-upholstery-interiors,2014-04-17T22:59:43.000-04:00,NA," Toronto, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Brampton, Scarborough, Thorn hill, Unionville, Vaughan, Woodbridge","Mon - Fri 10:30 am - 4:30 pm, Saturday and sunday by appointment",,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1914663,Alo Upholstery & Interiors,102,91,81,10,"Upholsterers, Chair upholsterer, reupholstery, sofa upholstery, chair upholstery, headboard upholstery, chair fabric, sofa fabric,couchreupholster,Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",1,NA,aloupholstery,FALSE,0,0,142,0,FALSE,d8a938fdbe58a4d3152a44c957bf1d8612fbb44e,TRUE,2021-09-22T12:32:20.000-04:00,TRUE,TRUE,1967001,95.8714033025,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,212116,https://www.johnnysfinishingshop.com/,/companies/212116-johnnys-finishing-shop?searched_category_id=366&service_area=1827898,"Johnny’s Finishing Shop is Toronto’s leading furniture refinishing shop, serving the GTA with quality service for over 40 years. We offer a complete furniture repair service which includes antique restoration, furniture refinishing and repairs, upholstery and custom work for both residential and commercial customers. Pick-up and delivery is available throughout the GTA. Your satisfaction is our reputation.",johnnys-finishing-shop,2008-01-23T10:30:01.000-05:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge","Mon-Fri 8am-5pm, Sat 9am-1pm",,"Fine Furniture Refinishing/
Furniture Repairs/
French Polishing/
Custom Upholstery/
Rebuilding/
Durable Conference Table Finishes/
Commercial Services – Offices, Hotels, & Restaurants/
Office Paneling and Elevator /Interior Restoration/
Kitchen Cabinet Refinishing & Custom Glazing/
Disaster furniture restoration services for smoke, fire, & water damage/
**
We also provide disaster furniture restoration services for smoke, fire, & water damage.",,Antique Restorations,1984,6,"Cash, Interac, Cheque, Visa, ",,,,TRUE,TRUE,,,TRUE,TRUE,,66012,Johnnys Finishing Shop,114,96,32,9.90625,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2008-01-23T10:30:01.000-05:00,johnnysfinishing,FALSE,0,0,32,100,FALSE,0aa5d9aa1d66e7777694835cf6da4466cab48fd5,TRUE,2021-02-01T12:52:26.000-05:00,TRUE,TRUE,1827898,94.8969925883,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2797510,https://www.instagram.com/royrefinishing/,/companies/2797510-roy-furniture-repair-refinishing-upholestry?searched_category_id=366&service_area=2138949,"Roy Furniture Repair & Refinishing is a small family owned and operated furniture wood shop that specialize in repairing, restoring and upholstering antique furniture. Roy has been involved in the trade for over a decade and we guarantee your satisfaction. Located in Brampton, Ontario we give complementary free estimates and also pick up and deliver furniture. Give us a call, we look forward to hearing from you!",roy-furniture-repair-refinishing-upholestry,2012-04-23T21:55:04.000-04:00,NA,"Restoration of furniture both antique and new.<br/>

<br/>Refinishing furniture.<br/>

<br/>Veneer repair.<br/>

<br/>",Monday - Friday 8:00am - 5:00pm,,,,,NA,NA,,,,,TRUE,FALSE,,,TRUE,FALSE,,1860562,"Roy Furniture Repair, Refinishing & Upholestry",77,69,45,9.88406,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2012-04-23T21:55:05.000-04:00,,FALSE,0,0,77,NA,FALSE,a9f91aef3bc62e7c31b472671d7c7ee8d5fff554,TRUE,2022-06-13T08:41:17.000-04:00,TRUE,TRUE,2138949,97.9794847532,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2925266,http://www.touchupsplus.com,/companies/2925266-touch-ups-plus?searched_category_id=366&service_area=2183941,"Our Yonge Street address is a mailing address only.
Our shop is located in the Dufferin/Steeles area .... BY APPOINTMENT ONLY ... 
Please call us at 905-833-2388 or email us at touchupsplus@gmail.com
Call or email us to arrange an appointment (if you're wanting to bring items to our shop for viewing for pricing).   
SEND US PHOTOS of your furniture needing repairs, in an email and we can provide pricing from there normally.  
If an on site appointment is needed to view your furniture, an site check will be arranged (no charge).

Touch Ups Plus has been providing furniture repairs, touch ups, refurbishing and refinishing, both on-site and in our shop (located in the Dufferin/Steeles area), to residential, corporate accounts, government and designers in Toronto/GTA since 1987 (30+ years). 

Territory Serviced:

Our Eastern boundary is Oshawa, Northern boundary is Barrie, Western boundary is Cambridge. 

Services offered:   (WE DO NOT DO UPHOLSTERY WORK)

. Kitchen cabinets restoration, painting cupboards, repairs, refurbishing and/or refinishing (custom colour lacquer match service available)
. Dining table sets touch ups, refurbishing, or painting (coloured lacquer or paint 
. Antique restoration 
. French Polishing
. Chairs .. touch ups, refurbishing, refinishing, regluing
. On site touch ups on wood furniture (in your home or office), i.e. remove water marks/damage on cabinets or meeting tables, touch up scratches in lacquer finish, plastic 
   laminate finish or Corian counter material
. On site refurbishing of residential and office furniture (touch up scratches, water/pizza box heat mark removal)
. On site wood millwork touch ups and refurbishing (doors, baseboards, paneling)
. Size modification on wood furniture, i.e. cut down boardroom tables, dining tables
. Veneer repairs
. Custom colour matching for all wood stain finishes

",touch-ups-plus,2018-12-15T09:46:22.000-05:00,NA,NA,NA,"Wood Furniture Repair, Refinishing, Touch Ups and Kitchen Painting and custom colour touch ups","Furniture Refinishing, repairs and touch ups",,"Wood furniture repair, refinishing , antiques, touch ups, French Polishing, Kitchen cupboard colour change/painting ",1966,3,"Credit Card, E-Transfer or Cheque",,,,TRUE,FALSE,,,FALSE,FALSE,,1987440,Touch Ups Plus,45,45,37,10,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2018-12-15T09:47:12.000-05:00,,FALSE,0,0,40,0,FALSE,2dfe4b8185ac7a34425a077fe60b5209a1d180da,TRUE,2022-11-23T09:39:10.000-05:00,TRUE,TRUE,2183941,99.0898063979,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2775498,http://uniquefurniturerestorationinc.com/,/companies/2775498-unique-furniture-restoration-inc?searched_category_id=366&service_area=1788702,"Unique Furniture and Restoration Inc will give new life to that old piece of furniture, we can help. Our goal is to make sure our customers are well taken care of and 100% satisfied with our work. Call us to learn more about our furniture restoration services. We have the expertise and the eye for detail needed to make your piece look brand new.",unique-furniture-restoration-inc,2009-06-18T19:37:29.000-04:00,NA,NA,Monday to Friday 8.00 am to 5.00 pm,,"Furniture Cleaning & Maintenance,
Furniture Restoration & Repair,
Furniture Refinishing,
Restoration of furniture of all kinds",,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,1838550,Unique Furniture Restoration Inc.,35,32,54,10,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2014-08-09T18:23:52.000-04:00,uniquefurniture,FALSE,0,0,68,NA,FALSE,4cb692610bd1cdb1b7feb34b87c756de51cb056f,TRUE,2022-04-13T13:52:36.000-04:00,TRUE,TRUE,1788702,96.0067559287,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,201792,,/companies/201792-conda-restorations-ltd?searched_category_id=366&service_area=2192590,"Furniture restoration, refinishing, stripping & repairs.
Conda Restorations Ltd. is a company with over 42 years of experience. We specialize in furniture restoration, refinishing, stripping & repairs and everything in between. We service the areas of Toronto & GTA, including but not limited to Brampton, Richmond Hill, and Mississauga. 
---
Call us for a free quote today at 905-670-9390!",conda-restorations-ltd,2006-06-08T20:00:00.000-04:00,NA,"Brampton, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Richmond Hill, Scarborough, Thornhill, Toronto, Unionville, Vaughan, Woodbridge",Mon-Fri 8:30am - 4:30pm,,"Furniture & Piano Restoration, Upolstering, Antique refinishing.",,Insurance Claims due to Fire and Flood,1977,8,Cash,,,,TRUE,TRUE,,,TRUE,TRUE,1 Year on Finish,57586,Conda Restorations Ltd.,13,13,5,9.80769,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,Upholsterers, Chair upholsterer, reupholstery, sofa upholstery, chair upholstery, headboard upholstery, chair fabric, sofa fabric,couchreupholster,",0,2012-06-13T09:11:31.000-04:00,NA,FALSE,0,0,5,NA,FALSE,794f8333047d852b1b6cab5a87ea6585102967c4,TRUE,2013-01-20T19:26:04.000-05:00,TRUE,TRUE,2192590,78.1661487765,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,2774765,,/companies/2774765-wood-specialties?searched_category_id=366&service_area=1828081,"AS OF AUGUST 19TH/2021 WE ARE NO LONGER ACCEPTING  PROJECTS AS WE ARE NEARING CLOSING FOR RETIREMENT.

WE ARE A PROFESSIONAL WOOD FINISHING COMPANY WITH 35 YEARS OF EXPERIENCE IN THIS INDUSTRY AND ALSO SERVICE MANY HIGH END STORES, DESIGNERS AND CONTRACTORS IN AND AROUND TORONTO USING THE LATEST TECHNOLOGY AND MATERIALS WITH SERVICES SUCH AS:                           

1.REPAIR AND REFINISH ALL CONTEMPORARY AND MODERN HOUSEHOLD FURNITURE.                       
 2.RESTORE & REFINISH ANTIQUES.       
3.RESTORE ALL OFFICE FURNITURE INCLUDING,BOARDROOM TABLES,DESKS CREDENZAS AND WALL PANELING,(DONE ON SITE)
4.REPAIR & RE-GLUE ALL CHAIRS .click on ""more""
5.FINISH NEWLY MADE FURNITURE AND COMPONENTS.
6.REPAIR REBUILD AND REFINISH PIANOS INSIDE AND OUT
7.COMPLETE RE-UPHOLSTERING SERVICE
ALL DONE PROFESSIONALLY  AND WITH GREAT TLC.
If you would like an estimate for a project you are considering,
please send detail photos and be sure to include dimensions, directly to jeff@woodspecialties.ca.",wood-specialties,2009-03-20T12:57:11.000-04:00,NA,"Toronto-Downtown, Midtown, North York, Markham, Thornhill, Vaughan, Richmond Hill, Beaches, Pickering Many other suburbs not listed ",Mon - Friday 8.am - 6pm -Sat:Only office open 9am-5pm,Any and all items made from or containing wood,Professional Wood Finishing Services ,,"Repair, Restore and Refinish & reupholster all types of Furniture",1977,4,Cheque or cash,,YES,,TRUE,FALSE,,,TRUE,FALSE,,1837817,Wood Specialties,130,117,150,10,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2009-03-20T12:57:10.000-04:00,woodspecialties,FALSE,0,0,196,100,FALSE,786c1d12864613c4d1f240ac066d2eaf8d499068,TRUE,2021-06-13T21:16:40.000-04:00,TRUE,FALSE,1828081,93.0065442139,366,NA,NA
https://homestars.com/on/melbourne/furniture-refinish-repair,53,"c(""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=2&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=3&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=4&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=5&"", ""https://homestars.com/on/melbourne/furniture-refinish-repair?&page=6&"")",Furniture Refinish & Repair,199949,http://www.carrocel.com,/companies/199949-carrocel?searched_category_id=366&service_area=1805490,"For over 30 years, Carrocel furniture store has been enhancing the homes and lifestyles of customers in Toronto and around the world, offering an original and timeless selection of high end furniture with options for customization to suit any and all needs. The uncompromised quality of our fine, vintage and custom furniture instills a great sense of pride in presenting the Carrocel brand to all, whether your interests are spontaneous or predefined.

We only offer restoration services for original high end, antiques or vintage pieces.",carrocel,2008-01-23T10:24:25.000-05:00,NA,"Toronto, North York, Scarborough, Etobicoke, Markham, Mississauga, Richmond Hill, Thornhill, Unionville, Vaughan, Woodbridge ",M-F 9am-6pm,"Custom Furniture, Dining Tables & Sets, Living Room Chairs, Dining Chairs, Parlor Chairs, Accent Chairs, Armoires, Dressers, Bedroom Sets, Sideboard, Buffets, Curio & China Cabinets, Commodes, End Tables, Drum Tables, Console Tables, Demi-Lune Tables, Chandeliers, Lamps, Mirrors, Custom Dining Tables","Sales and restoration of antiques, vintage and fine furniture.  We also offer custom designs built in Toronto and furniture rentals for production sets.","Henkel Harris, Jonathan Charles, Widdicomb, Kittinger, Imperial Furniture, Baker Furniture, Drexel, Henredon, John Richards, Ralph Lauren.","Dining sets, Unique statement pieces and Custom furniture.",1983,20,"We Accept VISA, MasterCard, or Cheques",,,,TRUE,FALSE,,,TRUE,FALSE,We stand behind our products and will do everything we can until satisfied,56190,Carrocel,64,55,34,9.9,"Furniture Refinish & Repair, Furniture Repair Refinish, Refinish Furniture, Refinish Old Furniture, repair old furniture, how to antique, how to upholstery, refinishing, furniture old. how to antique furniture, furniture and antiques, antiques and furniture, furniture antiques, furniture repair, repair furniture, furniture repair how to, how to repair furniture, furniture restoration how to, how to furniture restoration, restoration of furniture, restoration furniture, furniture restoration, how to finish wood, furniture upholstery how to, repair wood, wood repair, wood refinishing how to, wood refinishing, how to refinishing furniture, furniture refinishing, refinishing furniture how to, refinishing furniture, furniture refinishing how to, wood finish, antique repair, fix wood, restoration antique, antique restoration, chair repair, fix furniture, repair upholstery, ,",0,2008-01-23T10:24:25.000-05:00,carrocel,FALSE,0,0,37,100,FALSE,d4f1b6e569439af86d610f3619c638e93676b59b,TRUE,2016-03-04T00:57:20.000-05:00,TRUE,FALSE,1805490,77.144365937,366,NA,NA
