Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,completion_percent_cache
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2804696,http://www.peacearchplumbingheating.ca,/companies/2804696-peace-arch-plumbing-and-heating-inc?searched_category_id=419&service_area=1871322,"Providing quality workmanship with clean, affordable pricing is what Peace Arch Plumbing & Heating is committed to. As a small local plumbing company, I Aymeric, am committed to providing you a service that is honest, reliable and clean. 

Call today to speak with me in person for any advice you may need. (PH: 778-998-6420)

Some of our services include: drain cleaning, water heaters, on-demand water heaters, boiler installations, pipe camera inspections, bathtub and shower installations, ect. We can even renovate your kitchens and bathrooms and help with that drywall repair!! 

Servicing: White Rock, Surrey, Langley, Delta, Vancouver Richmond,  ",peace-arch-plumbing-and-heating-inc,2013-01-10T14:33:06.000-05:00,NA,"Surrey, White Rock, Langley, Delta, Aldergrove, Cloverdale, Vancouver, Richmond And the lower mainland.",24 Hour,"We have our trusted products such as:
- On demand water heaters
- Delta
- Kohler
- Ghrohe
- Moen
- Riobel
- Bradfordwhite
- John Wood 
- Rheem
- And many more.","We provide all plumbing services big or small. From a leaky sink to a new construction home. A list of some of our services.
Hot Water Tanks, Clogged drains, Renovations, Camera Drain Scoping, Furnace Cleaning, Furnace installations, Fire Places, Shower and Bath. We will even take care of your kitchen and bathroom renovations start to finish. Tile, Paint, Drywall Water proofing, Custom Showers. ",,,2012,2,"Cheque, Cash, Visa, Master Card, Square Reader","RED SEAL, GAS B ",Licensed,,TRUE,TRUE,,,TRUE,FALSE,1 Year Installation Warranty,1867696,Peace Arch Plumbing And Heating Inc.,51,47,36,9.91489,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",1,peacearchplumber,FALSE,0,0,39,FALSE,fb6ca4a2ac1c761e318c0ff9e8003171071d61b2,TRUE,2018-11-28T12:26:04.000-05:00,TRUE,TRUE,1871322,84.9425606898,419,NA,NA,NA,NA
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2779353,https://www.speedyplumbing.ca,/companies/2779353-speedy-plumbing-and-rooter?searched_category_id=419&service_area=2170641,"Vancouver is our home, and as a family owned and operated business, we strive every day to provide the best possible services for our friends and neighbors. We’re a community-based business, which is why we offer the lowest prices guaranteed, senior discounts, and fast and reliable services.
 
With more than 30 years of combined experience in the industry, Speedy Plumbing is a name you can trust for all of your plumbing, drainage, and heating services. We help with trenchless waterlines, waterline replacement, plumbing, drainage, perimeter drain services, water line repair, hot water tanks, and strata and property managers. 
 
If you find yourself in need of plumbing services, give us a call at one of our many Vancouver area offices and discover what it means to receive the best possible plumbing services from a business that views you as a friend.
 
Speedy Plumbing and Rooter offers the following benefits to all customers:
 
Prompt, 60-minute service
Guaranteed lowest prices
Free estimates
Price beat guarantee
24/7 service and repairs
Senior discounts offered
Specials and promotions",speedy-plumbing-and-rooter,2010-04-19T17:50:29.000-04:00,NA,NA,NA,,,,,NA,NA,,,,BBB,FALSE,FALSE,,,TRUE,FALSE,,1842405,Speedy Plumbing And Rooter,71,54,5,9.51852,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,Drain Services, blocked drain, clogged drain, overflowing drain, roots in drain, sewage back up into house, drain repair, drain, plumber, plumbers, drains, sewer, drainage, clogged, septic tank, drain and sewer, sewer drain, sewer and drain, plumbing supplies, plummer, rooter rooter, plumbing and heating, heating and plumbing, plumbing heating, drain pipe, cleaning drain, cleaning the drain, drain cleaning, plumber heating, septic systems, cleaning drains, drain cleaner, water drainage, drain pipes, clean drain, drain clean, drainage pipe, plumbing service, service plumbing, drain cleaners, plumbing company, plumbing services, services plumbing, french drain, drainage systems, drainage pipes, septic plumbing, shower drains, drain systems, sewer line, french drains, caulking,,",0,speedyplumbing,FALSE,0,0,6,FALSE,11187b3e13db0cf998532d151c8e547d1306b166,TRUE,2010-04-19T17:57:36.000-04:00,TRUE,TRUE,2170641,93.0849888835,419,NA,NA,2018-06-19T00:45:36.000-04:00,NA
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2792008,https://reliancehomecomfort.com/vancouver/,/companies/2792008-reliance-home-comfort?searched_category_id=419&service_area=1851983,"At Reliance Home Comfort (formerly Canada Furnace), the safety and well-being of both our Customers and our Team Members is always our top priority. We are actively monitoring the Coronavirus (COVID-19) situation and are taking precautionary measures to aid in keeping our communities safe. We have implemented strict safety protocols to provide both our Customers and Team members with peace of mind during this challenging time. We continue to provide the exceptional customer experiences we are so well known for and want you to know that we are here for you when you need us.

To help with prevention, we are taking the following precautionary measures to protect our Customers.

Our Team Members have been equipped with an ample supply of:

* Hand sanitizers
* Disinfectant wipes
* Masks
* Single-use gloves
* Boot covers

We know that this is a difficult time for all and we want you to know that we will be there for you and are taking all the necessary precautions to keep you and your family comfortable and safe.

Canada Furnace is one of the biggest and most well established heating and air conditioning companies in greater Vancouver and the entire lower mainland. We provide full service and installation on all of your heating, cooling, plumbing, water heater and air purification systems. Established in 1981 we pride ourselves for a high level of customer service to match our extremely helpful and well trained technicians.
888-837-1451 is a TOLL FREE No., please feel free to contact!! 

",reliance-home-comfort,2011-10-15T18:55:00.000-04:00,NA,"Maple Ridge, Vancouver, Burnaby, Richmond, Surrey, Mission, Coquitlam, Port Coquitlam, Port Moody, Ladner, Chiliwack, North Vancouver, West Vancouver, White Rock, Pitt Meadows, Delta, Langley, Abbotsford, Aldergrove, New Westminster.","730am-530pm Monday to Friday, Saturdays 9am-3pm Oct-April ","high efficiency boilers
boiler prices
high efficient boilers
residential boiler
boilers heating
heating boilers
new boilers
hydronic boilers
replace boilers
furnace or boiler
boiler furnace repair
boiler furnaces
laars boilers
boiler heating systems
heating boiler
high efficiency boiler
boiler manufacturers
boilers gas
boiler new
boiler gas
condenser boiler
best boiler
boiler heat
replacing boiler
servicing a boiler
boiler furnace repair
boiler sales
boiler furnaces
boilers
boiler companies
gas water boiler
boiler furnaces
boiler heating
replacement boiler
boiler furnaces
water boilers
boiler efficiency
boiler or furnace
boiler furnace
servicing a boiler
boiler
water heating
hot water tanks
hot water heaters
hot water
on demand hot water heater
tankless electric hot water heaters
water heaters canada
electric tankless hot water heater
hot water boilers
on demand hot water heaters
instant hot water heaters
hot water systems
hot water tanks canada
tankless hot water heaters
electric hot water heater
propane tankless hot water heater","Heating, Air Conditioning, HVAC, Air Filtration, Water Heaters, Hot water on demand, Pool Heaters, Ductless mini split.","Lennox, American Standard, Navien, Olsen, Rinnai, Lochinvar, Super Hot, Laars,  Samsung, Goodman.","furnace fan problems
furnace blower problems
new high efficiency furnace
gas furnace problems
furnace repairs
furnace repair cost
furnace problem
furnaces problems
high efficiency furnace repair
furnace service
no heat from furnace
high efficiency electric furnace
lennox repair
furnace heat exchanger
furnace motor replacement cost
furnace repairing
gas furnace repairs
furnace blower motor
furnace maintenance
gas furnace repair
furnace repair
furnace problem
furnace blower
gas furnace service
furnace repair
broken furnace
boiler fan problems
boiler blower problems
new high efficiency boiler
gas boiler problems
boiler repairs
boiler repair cost
boiler problem
boilers problems
high efficiency boiler repair
boiler service
no heat from boiler
high efficiency electric boiler
lennox repair
boiler heat exchanger
boiler motor replacement cost
boiler repairing
gas boiler repairs
boiler blower motor
boiler maintenance
gas boiler repair
boiler repair
boiler problem
boiler blower
gas boiler service
boiler repair
broken boiler
heat pump fan problems
heat pump blower problems
new high efficiency heat pump
gas heat pump problems
heat pump repairs
heat pump repair cost
heat pump problem
heat pumps problems
high efficiency heat pump repair
heat pump service
no heat from heat pump
high efficiency electric heat pump
lennox repair
heat pump heat exchanger
heat pump motor replacement cost
heat pump repairing
gas heat pump repairs
heat pump blower motor
heat pump maintenance
gas heat pump repair
heat pump repair
heat pump problem
heat pump blower
gas heat pump service
heat pump repair
broken heat pump
air conditioner fan problems
air conditioner blower problems
new high efficiency air conditioner
gas air conditioner problems
air conditioner repairs
air conditioner repair cost
air conditioner problem
air conditioners problems
high efficiency air conditioner repair
air conditioner service
no heat from air conditioner
high efficiency electric air conditioner
lennox repair
air conditioner heat exchanger
air conditioner motor replacement cost
air conditioner repairing
gas air conditioner repairs
air conditioner blower motor
air conditioner maintenance
gas air conditioner repair
air conditioner repair
air conditioner problem
air conditioner blower
gas air conditioner service
air conditioner repair
broken air conditioner",1981,18,"Visa, Mastercard, Cheque, Cash",,"Gas Licenses , Quality First, Sheet Metal Red Seal, Teca","Better Business Bureau, Fortis Trade Ally Network, Burnaby Board of Trade, Maple Ridge Chambers of C",TRUE,TRUE,,,TRUE,FALSE,Varies on Equipment,1855060,Reliance Home Comfort,126,104,35,8.95238,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,Water Filtration & Purification, water purification, bottled water service, water treatment, water delivery, water softener systems, hard water specialists, soft water systems,",1,canadafurnace,FALSE,0,0,38,FALSE,29bd21fdac353b83ec5c8878ae9a885e69a6bec5,TRUE,2019-07-07T13:49:36.000-04:00,TRUE,TRUE,1851983,87.3721292109,419,NA,NA,2012-01-30T18:09:18.000-05:00,NA
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2915606,NA,/companies/2915606-a-k-plumbing-heating?searched_category_id=419&service_area=2162261,NA,a-k-plumbing-heating,2018-05-01T02:19:10.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1977790,A.K Plumbing & Heating,3,3,0,10,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,",0,NA,FALSE,0,0,0,FALSE,56be989d4964b646e3e58a188f8c611d876bd508,TRUE,NA,TRUE,TRUE,2162261,90.127032859,419,NA,NA,2018-05-01T02:20:01.000-04:00,0
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2962035,,/companies/2962035-upstream-plumbing-heating-ltd?searched_category_id=419&service_area=2266459,,upstream-plumbing-heating-ltd,2021-11-25T22:03:32.000-05:00,NA,NA,NA,,,,,2021,2,"Cash, Cheque, E- Transfer",,Red Seal Certified Plumber,,TRUE,FALSE,$80/Hour,,TRUE,FALSE,"Yes, Subject to terms & conditions",2023994,Upstream Plumbing & Heating Ltd.,4,4,7,10,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,upstream,FALSE,0,0,8,FALSE,215c90a304ef3f8973784628189f33f413fc3f39,TRUE,NA,TRUE,TRUE,2266459,86.611491736,419,NA,NA,2021-11-25T22:04:27.000-05:00,0
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2945144,https://www.filiplumbing.com/,/companies/2945144-fili-plumbing-ltd?searched_category_id=419&service_area=2228787,"Luke the owner of Fili Plumbing is a licensed and insured plumbing and gas contractor that services residential construction, renovations and commercial markets in the Lower Mainland and Fraser Valley. A certified Red Seal journeymen with over 15 years of experience and a hard working mentality, I always strive to do the best job I can. Give me a call and tell me what you're working on and we can discuss the next step together. ",fili-plumbing-ltd,2020-07-02T10:06:25.000-04:00,NA,NA,NA,,"Renovations 

Repairs

New Construction

Poly-B and Copper Re-Pipes

Tenant Improvements

Water Heaters

Tanlkess Water Heaters
",,,2013,NA,"Cash, Cheque, E-transfer ","Red Seal Journeyman, Gas Ticket",,,TRUE,FALSE,,,FALSE,FALSE,,2007281,Fili Plumbing Ltd.,5,5,39,10,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,filiplumbing,FALSE,0,0,39,FALSE,05b26b48497811e0186cec820181c438705a880d,FALSE,NA,TRUE,TRUE,2228787,87.901607171,419,NA,NA,2020-07-02T10:08:36.000-04:00,0
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2943828,,/companies/2943828-gft-contracting?searched_category_id=419&service_area=2225790,"CLICK, CALL OR TEXT FOR A FREE ESTIMATE 24/7  OR EMAIL US AT gftcontracting@gmail.com

 A Friendly, Reliable, HONEST & TICKETED service! 

We are proud to serve the lower mainland and tri-cities in all Repair, Maintenance & Renovation Services. 

",gft-contracting,2020-05-25T16:33:02.000-04:00,NA,NA,NA,,"- LEAK LOCATING & REPAIR
- GENERAL PLUMBING REPAIR
- DRYWALL REPAIR - FINISHING CARPENTRY 
- HOME RENOVATIONS ",Most brands available (Customer brands upon request),,NA,NA,"Cash, cheque or E-transfer",Red seal ,Plumber,,TRUE,FALSE,,Never a minimum ,FALSE,FALSE,1 year,2005981,GFT Contracting,22,22,21,9.95455,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,northbound,FALSE,0,0,41,FALSE,7a0fb38b6a245c73e571af27eafdd7de84e0de27,TRUE,2021-10-16T20:24:43.000-04:00,TRUE,TRUE,2225790,98.4455747825,419,NA,NA,2020-05-25T16:34:56.000-04:00,0
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2679682,http://www.schubertplumbing.ca,/companies/2679682-schubert-plumbing-heating-ltd?searched_category_id=419&service_area=1692886,"Schubert Plumbing & Heating has been serving the Fraser Valley for over 30 years. We provide top notch plumbing, heating, and drain cleaning services.",schubert-plumbing-heating-ltd,2008-03-04T16:55:15.000-05:00,NA,"Mission, Abbotsford, Maple Ridge, Langley, Surrey, Chilliwack ",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1742734,Schubert Plumbing & Heating Ltd,12,12,0,9.83333,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,FALSE,0,0,0,FALSE,c5a1255e4d44f6834b8d9da9cadd38f447317878,TRUE,2017-01-17T13:19:03.000-05:00,FALSE,FALSE,1692886,68.020843006,419,NA,NA,2010-01-25T19:49:50.000-05:00,NA
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2872084,https://tap2drainplumbing.com/,/companies/2872084-tap-2-drain-plumbing-services?searched_category_id=419&service_area=2038190,"Our Clean, Friendly, Knowledgeable Plumbing technicians take special care to protect your home from start to finish by always wearing booties, using drop cloths and cleaning up after. 

No matter what problem you’re having we can help with a solution just for you.  Never pushy and always up front, there are no surprises with Tap 2 Drain.  So rest easy and Call Tap 2 Drain Plumbing and be well taken care of.
",tap-2-drain-plumbing-services,2015-06-12T13:49:51.000-04:00,NA,NA,NA,,"Drain Cleaning
Poly P Pipe Replacement or Repair
Hot Water Tanks – Gas or Electric
On-Demand / Tankless Hot Water Heaters
Boilers
Gas 
Plumbing Fixtures
Drain Locating
Camera Inspection
Heating – Radiant and Forced Air
Air conditioning
Renovations
Inspections
Minor Repairs
Major Repairs
and WAY More",,,2007,NA,"Cash, Cheque, Debit, Visa, Mastercard, E-transfer",,"Journeyman Plumbers, Licensed Gas Fitters",,TRUE,TRUE,,,FALSE,FALSE,,1934508,Tap 2 Drain Plumbing Services,13,13,8,9.07692,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,FALSE,0,0,8,FALSE,5ea25036b50b8922b66cfcd77a78eaba3469a434,TRUE,2014-10-15T13:50:16.000-04:00,TRUE,FALSE,2038190,89.0556764535,419,NA,NA,NA,0
https://homestars.com/on/mission/plumbing,14,https://homestars.com/on/mission/plumbing?&page=2&,Plumbing,2781087,,/companies/2781087-innovative-mechanical?searched_category_id=419&service_area=1833650,NA,innovative-mechanical,2010-09-11T17:05:11.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1844139,Innovative Mechanical,1,1,0,8,"Plumbing, Plumber, Plumbers, Plumbing Contractor, Plumbing Repair, toilet repair, fixing toilet, fixing sink, broken faucet, faucet repair, tap repair, leaking toilet, leaking sink, leaking pipes, drain snaking, at plumbing, plumbing in, what is plumbing, a plumbing, the plumbing, plumbing and, how to plumbing, plumbing a, plumbing how to, an plumbing, a plumber, plumber, the plumber, plumber plumber, plumber in, how to plumber, plumbers in, the plumbers, plumbers, plumbing pipe, how to plumb, pipes and plumbing, plumbing pipes, pipes for plumbing, plummer, plumbing supplies, plumbing supply, plumbing heating, plumbing & heating, heating and plumbing, heating plumbing, plumbing and heating, pipe plumber, plumbing stores, plumbing suppliers, the plumbs centre, plumb centre, ,",0,NA,FALSE,0,0,0,FALSE,NA,FALSE,2010-09-11T17:10:44.000-04:00,FALSE,FALSE,1833650,46.4233927121,419,NA,NA,NA,NA
