Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,claimed_at,latest_approved_review_created_at
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2886153,NA,/companies/2886153-best-built-garages?searched_category_id=321&service_area=2091113,NA,best-built-garages,2016-04-08T20:57:29.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1948577,Best Built Garages,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,cda1a712c660893ad0cefda3fb0b6e606925efe7,FALSE,FALSE,FALSE,2091113,-1.0,321,NA,NA,NA,NA
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2753090,NA,/companies/2753090-patterson-sales-ltd?searched_category_id=321&service_area=1766294,NA,patterson-sales-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1816142,Patterson Sales Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,4707868851b307b456b85618247cc0e100128d1b,FALSE,FALSE,FALSE,1766294,-1.0,321,NA,NA,2014-02-17T09:02:11.000-05:00,NA
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2708899,NA,/companies/2708899-payzant-home-hardware-building-centredartmouth?searched_category_id=321&service_area=1722103,NA,payzant-home-hardware-building-centredartmouth,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1771951,Payzant Home Hardware Building CentreDartmouth,3,3,0,9.33333,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1722103,46.2411684851,321,NA,NA,NA,2014-10-04T18:36:27.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2728393,NA,/companies/2728393-east-coast-paving?searched_category_id=321&service_area=1741597,NA,east-coast-paving,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1791445,East Coast Paving,4,4,0,9.5,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1741597,46.8299378423,321,NA,NA,NA,2014-10-04T14:03:10.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2711341,NA,/companies/2711341-cameron-home-hardware-building-centre?searched_category_id=321&service_area=1724545,NA,cameron-home-hardware-building-centre,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1774393,Cameron Home Hardware Building Centre,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1724545,49.0934065934,321,NA,NA,NA,2014-09-29T07:09:10.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2743137,NA,/companies/2743137-sawlor-construction?searched_category_id=321&service_area=1756341,NA,sawlor-construction,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1806189,Sawlor Construction,1,1,0,10,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1756341,54.986578625,321,NA,NA,NA,2011-02-26T09:56:12.000-05:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2860253,NA,/companies/2860253-halifax-garage-builders?searched_category_id=321&service_area=1994656,NA,halifax-garage-builders,2014-10-05T11:08:40.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1922683,halifax garage builders,1,1,0,9,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,0,FALSE,NA,FALSE,FALSE,FALSE,1994656,42.1392146347,321,NA,NA,NA,2014-10-05T11:14:59.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2705766,NA,/companies/2705766-austin-contracting-ltd?searched_category_id=321&service_area=1718970,NA,austin-contracting-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1768818,Austin Contracting Ltd,3,3,0,1,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1718970,0.0,321,NA,NA,NA,2014-10-04T00:53:27.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2732583,NA,/companies/2732583-gjr-developments-ltd?searched_category_id=321&service_area=1745787,NA,gjr-developments-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1795635,GJR Developments Ltd,1,1,0,0,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1745787,0.0,321,NA,NA,NA,2013-11-01T13:48:48.000-04:00
https://homestars.com/on/montague%20gold%20mines/builders,39,"c(""https://homestars.com/on/montague%20gold%20mines/builders?&page=2&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=3&"", ""https://homestars.com/on/montague%20gold%20mines/builders?&page=4&"")",Builders,2751773,NA,/companies/2751773-robert-bury-co-canada-ltd?searched_category_id=321&service_area=1764977,NA,robert-bury-co-canada-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1814825,Robert Bury & Co (Canada) Ltd,0,0,0,NA,"Builders, Home Builders, Home Contractors, residential builders, home construction companies, residential building contractor, builder, construction builders, local home builders, custom home builders, master builders, general builders, new home builders, building contractors, custom home builders, luxury home builders, ,",0,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1764977,-1.0,321,NA,NA,NA,NA
