Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2777343,http://www.lauriescustomfinishing.ca,/companies/2777343-lauries-custom-finishing-carpentry-ltd?searched_category_id=452&service_area=1829837,"Finishing carpentry, Crown Moulding, Baseboard, Trim, Doors etc.
Quality Finishing Carpentry
Crown molding and baseboard specialist
 
Thirty years of experience in the building trades, including ten years constructing movie sets, and five years doing finishing carpentry. Bondable.

    * Crown molding and baseboards
    * Window trim
    * Door trim
    * Doors 

Based in Coquitlam (BC).

Registered WCB (Work Safe British Columbia)
Insured
Licensed",lauries-custom-finishing-carpentry-ltd,2010-01-11T18:42:39.000-05:00,NA,"Coquitlam, Port Coquitlam, Port Moody, Pitt Meadows, Maple Ridge, New Westminster, Burnaby. Other areas considred. ",,,,,,NA,NA,Cash or Cheque,,,,TRUE,FALSE,,,FALSE,FALSE,,1840395,Lauries Custom Finishing Carpentry Ltd   No Longer In Business,5,5,9,10,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,2010-01-11T18:42:39.000-05:00,lauries-custom-finishing-carpentry-ltd,FALSE,0,0,8,FALSE,aedc8ab92fa64f50a9c07cfeb76bfee516de7e6c,TRUE,2010-03-17T14:46:29.000-04:00,FALSE,FALSE,1829837,29.6234558355,452,NA,NA,NA
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2567932,NA,/companies/2567932-kms-tools-equipment-ltd?searched_category_id=452&service_area=1581136,NA,kms-tools-equipment-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1630984,Kms Tools & Equipment Ltd,15,11,0,5.63636,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,2012-03-12T11:34:49.000-04:00,NA,FALSE,0,0,0,FALSE,437ef4642b1d569a9f61a77ad5271dcc0ef5e8d2,FALSE,2014-10-17T19:00:11.000-04:00,FALSE,FALSE,1581136,53.1667286725,452,NA,NA,NA
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2909294,NA,/companies/2909294-home-renovations?searched_category_id=452&service_area=2148985,NA,home-renovations,2018-02-09T12:24:37.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1971479,Home Renovations,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,2018-02-09T12:25:11.000-05:00,NA,FALSE,0,0,0,FALSE,33079dad50765a80a57bd2377b7bfadf3ab9b1d2,FALSE,NA,TRUE,FALSE,2148985,0,452,NA,NA,0
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2908221,NA,/companies/2908221-west-coast-finishing?searched_category_id=452&service_area=2146706,We do wood finishing from kitchen to stair colour change to stripping front doors for re stain . Anything wood finishing related we can help ,west-coast-finishing,2018-01-29T05:44:32.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1970406,West Coast Finishing,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,2018-01-29T05:45:24.000-05:00,NA,FALSE,0,0,1,FALSE,5b4a6d45e850d5ddf3d1eef7aecb91da95d89f7c,FALSE,NA,FALSE,FALSE,2146706,0,452,NA,NA,0
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2857890,NA,/companies/2857890-mayan-renovations?searched_category_id=452&service_area=1986515,NA,mayan-renovations,2014-08-19T00:45:47.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1920320,Mayan Renovations,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,5c53ce45266a58cc249e5260d317f878e239a00b,FALSE,NA,FALSE,FALSE,1986515,0,452,NA,NA,0
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2819839,NA,/companies/2819839-concept-woodworks?searched_category_id=452&service_area=1901019,NA,concept-woodworks,2013-10-18T13:14:02.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1882720,Concept Woodworks,1,1,0,10,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,2013-10-18T13:31:45.000-04:00,FALSE,FALSE,1901019,59.8031653832,452,NA,NA,0
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2658194,NA,/companies/2658194-n-a-tools?searched_category_id=452&service_area=1671398,NA,n-a-tools,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1721246,N & A Tools,1,1,0,0,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,2009-01-09T07:12:22.000-05:00,FALSE,FALSE,1671398,0.0,452,NA,NA,NA
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2655437,NA,/companies/2655437-welcraft-wood-products-ltd?searched_category_id=452&service_area=1668641,NA,welcraft-wood-products-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1718489,Welcraft Wood Products Ltd,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1668641,-1.0,452,NA,NA,NA
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2568206,NA,/companies/2568206-t-w-s-machinery-inc?searched_category_id=452&service_area=1581410,NA,t-w-s-machinery-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1631258,T W S Machinery Inc,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1581410,0,452,NA,NA,NA
https://homestars.com/on/port%20coquitlam/woodworking,13,https://homestars.com/on/port%20coquitlam/woodworking?&page=2&,Woodworking,2647582,NA,/companies/2647582-redrose-woodworking-design-ltd?searched_category_id=452&service_area=1660786,NA,redrose-woodworking-design-ltd,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1710634,Redrose Woodworking & Design Ltd,0,0,0,NA,"Woodworking, millwork, carpentry, carpenter, handyman, mud room, mudroom, built ins, builtin, window seat, trim, ,",0,NA,NA,FALSE,0,0,0,FALSE,NA,FALSE,NA,FALSE,FALSE,1660786,-1.0,452,NA,NA,NA
