Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,completion_percent_cache
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2811471,http://gaslineguy.ca,/companies/2811471-gaslineguy-ca?searched_category_id=473&service_area=1884321,"
Fully Licensed and insured Gas Fitter with 32 years experience 

TSSA Heating Fuels Contractor License # 0076512615 
Gas Fitters license # 0114640 
Gastite License # 08G021400
Refrigeration & Air Conditioning Systems Mechanic  License # 313A-368105

Gas Line Installations for :

-New Construction 
-Renovations 
-Stoves and cook tops 
-Gas dryers 
-BBQ lines 
-Patio firepits and heaters 
-Pool heaters 
-Gas Backup Ganerators
-rerouting of gas lines 
-leak repairs 

Black Pipe or Gastite Products used as well as PE (plastic) underground piping . 

Servicing Ancaster, Dundas, Stoney Creek, Hamilton, Burlington, Milton, Oakville, Mississauga  . 

Call Chris @ Sunray Contracting 905-638-0831",gaslineguy-ca,2013-06-20T18:16:38.000-04:00,NA,"Ancaster, Dundas, Stoney Creek, Hamilton, Burlington, Milton,  Oakville, Mississauga. ",,,"Gas Line Installations for :

-New Construction 
-Renovations 
-Stoves and cook tops 
-Gas dryers 
-BBQ lines 
-Patio fireplaces and heaters 
-Pool heaters 
-rerouting of gas lines 
-leak repairs ",,,1988,NA,Cash or Credit,Many,TSSA. Heating Fuels Contractor # 0076512615 / Gas Fitters License # 0114640 / 313A. Refrigeration an,,TRUE,TRUE,,,FALSE,FALSE,,1874471,Gaslineguy.Ca,210,183,43,9.93989,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",2,2014-04-10T11:52:46.000-04:00,gaslineguy,FALSE,0,0,80,FALSE,bcf89e0eb2520c1e5070eec266801de66f1a4875,TRUE,2021-04-07T10:50:50.000-04:00,TRUE,TRUE,1884321,98.8676033054,473,NA,NA,NA
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,318260,http://www.metrowestgas.ca,/companies/318260-metrowest-gas-appliance-installation-ltd?searched_category_id=473&service_area=23918,"metrowest gas & appliance installation ltd

heating fuels contractor,
gas appliance installation,
gas piping,
appliance hook up,
gas lines,
natural gas,
gas installers,
gas fireplace repair,
gas fireplace installation,
barbeque install,
bbq hook up,
red tag,
unbridle warning tag,
pool heater service & repair,
pool heater start up,
gas fitter,
gas leak repair,
gas leak detection, 
gas stove,
gas range,
underground gas piping,
636 vent piping
gas fire pits
hot water tanks
gas dryer,
gas appliance repair,
under ground gas lines,
range hood,
hoof fan ,
enbridge warning tag,
union gas warning tag,
direct energy warning tag,
infraction tag,
ventilation,
plumbing,
propane installation,
gas warning tags,
chimney liner,
heater install,
underground gas lines,
threaded iron gas piping,
gas fire pit,
gas fire table,
washroom fans,
coring ventilation holes,
custom sheet metal,
gas company,
venting,
csst tubing
copper piping
iron piping 


",metrowest-gas-appliance-installation-ltd,2007-11-14T18:47:54.000-05:00,NA,"burlington
<br />oakville
<br />mississauga
<br />milton
<br />brampton
<br />etobicoke
<br />toronto
<br />hamilton
<br />ontario",everyday 8am to 8pm and 24 hour service,,"fully licensed, 
fully insured,
23 years experience,
TSSA heating fuels approved contractor,
gas fitters licence,
gas tite licence,
ward flex licence,
venting certificate,
under ground piping certificate, 
iron pipe threading ,
appliance manufacture training,
plumber,
home inspector, 
infraction tags, warning tags",,"natural gas services, custom appliance installation, hood fan ventilation, plumbing services, heating contractor,
gas appliance repair,  636 venting, csst piping systems,",1999,2,cheque. cash. visa .e transfer .master card.invoice.,,goverment of ontario,TSSA  WSIB  BBB,TRUE,TRUE,,100$,TRUE,FALSE,one year parts and labour,112550,Metrowest Gas & Appliance Installation Ltd.,157,137,26,9.79562,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,BBQ Equipment & Service, Barbecues, Barbecue Grills, Barbecue Smokers, gas barbecues, BBQs, propane barbecues, barbecue stores, gas grills, barbeque, grill, grill and barbecue, grill and barbeque, gas barbecue, barbecue gas, gas grill, barbecue gas grill, barbeque gas grill, parts grill, barbecue parts, barbeque parts, bbq parts, outdoor barbeque grill, outdoor barbecue grill, ,",2,2009-02-17T19:04:47.000-05:00,metrowestgas,FALSE,0,0,26,FALSE,c6dc725d0104ff58785db0cf473fb280c550fb85,TRUE,2022-10-27T15:31:21.000-04:00,TRUE,TRUE,23918,98.2222844953,473,NA,NA,NA
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2875265,http://www.canadianheatingandair.ca/,/companies/2875265-canadian-heating-and-air-conditioning-inc?searched_category_id=473&service_area=2226768,"
As a locally owned and operated heating and cooling company in Burlington, at Canadian Heating & Air Conditioning customer service is our first priority. Whether you need your furnace replaced or air conditioning repaired, our knowledgeable team is able to meet your needs.  We specialize in furnace repair and air conditioner repairs in the Burlington, Oakville, and Hamilton area.  Feel free to call Canadian Heating and Air Conditioning for a free quote when you decide to replace your furnace , A/C or hot water tank.

Canadian Heating and Air Conditioning Inc seeks to maintain our solid reputation among residential clients for reliable service 24 hours a day, 7 days a week. For more information about our services or to receive your free estimate, contact us today! www.canadianheatingandair.ca 

Furnace repair, No heat, Burlington Furnace, Oakville Furnace, Hamilton Furnace, Repair all models, Napoleon, Goodman, Lennox, Carrier, and many others.",canadian-heating-and-air-conditioning-inc,2015-08-25T10:00:39.000-04:00,NA,NA,NA,"Furnaces, Air Conditioners, Indoor Air Quality Products and Hot Water Tanks. ","Installation of Furnaces, Air Conditioners, Indoor Air Quality Products and Hot Water Tanks. Repairs/Service to all makes and models of furnaces and air conditioners.",We are a Napoleon Dealer offering the best furnace in the market. We also do service and repair of all makes and models. ,Napoleon Dealer. 100% Canadian made furnaces and number one in the industry.,2000,8,Credit Card or Debit,,"G2,G1, Gas licenses 313D Air-Conditioning mechanics",Furnace and Air Conditioner Memberships available,TRUE,TRUE,,,TRUE,FALSE,10 YEARS Parts and labor,1937689,Canadian Heating And Air Conditioning Inc,179,154,27,9.65584,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",1,NA,canadianheating,FALSE,0,0,29,FALSE,e3252c40deb1ceb9c612456d3d6a9f71bce288a7,TRUE,2021-12-21T15:17:36.000-05:00,TRUE,TRUE,2226768,87.9248233412,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2888526,http://bossmechanical.ca/,/companies/2888526-boss-mechanical-inc?searched_category_id=473&service_area=2102135,"☆☆☆LICENSED AND REGISTERED HEATING AND AIR CONDITIONING COMPANY☆☆☆
BOSS Mechanical Inc. is a licensed and registered heating and air conditioning company.  We serve the Brampton, GTA, Mississauga, Halton Region, Markham, Richmond Hill, Stouffville, Hamilton, Oakville, Burlington, Ancaster and all surrounding areas to provide the highest quality in HVAC services and installation.  If you are looking for expert contractors, fast service and quality products call us today!

☆☆☆HIGH QUALITY SERVICES☆☆☆
BOSS Mechanical Inc. is a consumer driven company who pride ourselves on providing high quality HVAC solutions, cleanliness, professional services and affordable rates to help give our customers peace of mind.

☆☆☆QUALIFIED TECHNICIANS☆☆☆
All our technicians are licensed, knowledgeable, skilled installers with experienced workmanship.  We are committed to providing total customer satisfaction, whatever the weather may be.  Your satisfaction is our goal!
",boss-mechanical-inc,2016-07-08T12:15:36.000-04:00,NA,NA,NA,,"Furnace,
Furnace Install,
Furnace repair,
Air Conditioner,
AC,
Air Conditioning Install,
Air Conditioning repair,
Hot Water Tanks,
Tankless Heater,
Unit Heaters,
Tube Heaters,
High Velocity Systems,
Ductless Air Conditioners,
Gas Piping Above and Under Ground
Boilers,
Combination Systems,
In-floor Heating,
Snow Ice Melt,
Roof Tops,
Air Handlers,
Radiators,
Fireplaces,
HRV,
Pool Heaters,
Air Filtration Systems,
Humidifiers,
Duct Work,
Ventilation Systems,
Maintenance Packages.
Heat Pumps,
and much more",,,NA,NA,"Visa, Mastercard, Amex, E-transfer,Cheques",,"Refrigeration & Air Conditioning System Mechanics, Residential Air Conditioning Systems Mechanic, TS",,TRUE,FALSE,,,TRUE,FALSE,Varies (depending on project) ,1950950,Boss Mechanical Inc. ,123,108,17,9.87963,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",0,NA,bossmechanical,FALSE,0,0,19,FALSE,15c69914b487b13ab871bfb36157146c0cf9ef6b,TRUE,2020-10-09T08:10:59.000-04:00,TRUE,TRUE,2102135,96.3090955378,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2944121,https://www.madekhvac.com/,/companies/2944121-madek-mechanical-limited?searched_category_id=473&service_area=2226532,"NEED SERVICE FAST?

Precision. Punctuality. Commitment to excellence.

Service

Repair

Sales

Licensed and insured HVAC contractor serving Hamilton, Burlington, Oakville, and surrounding areas.  All your commercial and residential needs.

WE HAVE YOU COVERED
We have the know-how to tackle everything from the smallest of repairs to large-scale projects. No matter the size of the job. We always work hard to ensure our clients are completely satisfied with our work. Call to schedule an initial consultation today.



",madek-mechanical-limited,2020-06-01T19:47:26.000-04:00,NA,NA,NA,,,"Bryant Heating and cooling systems 
Puron",,NA,NA,"E-Transfer, Cash, Check, Debit, Credit Card",,TSSA,WSIB,TRUE,FALSE,,,FALSE,FALSE,,2006274,Madek Mechanical Limited,19,19,27,10,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,Solar Panels, Solar Panels, Solar Panel, ,Solar Water Heating, Solar Water Heating, Solar Water Heating Installation, Heating,",0,2020-06-02T14:15:54.000-04:00,,FALSE,0,0,37,FALSE,3a51da3b230561a6af8b12c9668c66c662c6ea49,TRUE,2022-11-16T07:44:07.000-05:00,TRUE,TRUE,2226532,98.4083319145,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2891427,https://www.nthomeserviceinc.ca,/companies/2891427-nt-home-service-inc?searched_category_id=473&service_area=2108095,"NT Home service's customer for Life policy has and will continue to offer a wide range of quality home comfort products, backed with great warranties, to meet your needs and budget. Our expert and friendly consultants and licensed qualified technicians provide quality sales & installation services you have come to expect 24/7, 365 a year.  
",nt-home-service-inc,2016-10-27T16:25:12.000-04:00,NA,NA,NA,"Attic & Basement Insulation, Furnace, Air Conditioners, Tankless Water Heaters, Hot Water Tanks, Thermostats, Humidifiers, Air Cleaners, Hepa Filters, Air Purification + more","Sales, Service, Insulation & Installation","Lennox, Trane, Amana, Goodman, Rinnai, Rheem, Honeywell + more",HVAC,2009,NA,"Cash, Cheque, Visa, Master Card, Debit & Financing",,"TSSA, G, G2, OAC","HRAI, WSIB, BBB",TRUE,FALSE,,,TRUE,FALSE,*10 years parts,1953851,Nt Home Service Inc,25,19,59,9.47368,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Water Filtration & Purification, water purification, bottled water service, water treatment, water delivery, water softener systems, hard water specialists, soft water systems,Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",0,NA,NThomeserviceinc,FALSE,0,0,64,FALSE,e017017bde12a85693daa5b3a286d7f2863a329a,TRUE,2016-11-28T21:06:41.000-05:00,TRUE,TRUE,2108095,75.6846072138,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2589116,http://www.HamiltonHomeComfort.com,/companies/2589116-hamilton-home-comfort?searched_category_id=473&service_area=1602320,"Hamilton Home Comfort is a local heating and cooling company that is dedicated to providing top quality service and installation for gas fireplaces, furnaces and central ACs. We are an authorized dealer for the most innovative and reputable fireplace brands on the market such as Napoleon, Regency and Savannah. We are also an authorized dealer for the top HVAC brands such as Lennox, York, Goodman and KeepRite. Our dedication to customer service and our attention to detail is what sets us apart from our competitors. We are truly dedicated to ensuring our customers have a pleasant experience from the second they contact our office to the moment they can enjoy their heating or cooling appliance whether that be enjoying a complimentary bottle of wine by the new fireplace or sipping a cold beverage in the comfort of their newly air conditioned house on a hot summer day. We live by our motto, ""Come in as a customer, leave as a friend.""
 ",hamilton-home-comfort,2008-03-04T16:55:15.000-05:00,NA,NA,NA,"Fireplaces, Furnaces
Central Air Conditioners,
Humidifiers,
Hot Water Tanks,
BBQs,
Gas lines,
Patioflames","Fireplace repair, Furnace repair, Fireplace installation, Furnace installation, 
Central AC repair,
Central AC installation,
Humidifier installation,
Hot Water Tank repair,
Hot Water Tank installation,
Gas line runs","Napoleon, Regency
Savannah,
Lennox,
York,
Goodman,
KeepRite",,2004,8,"Cash, Cheque, All Major Credit Cards (no Amex), E-transfer",,Yes - TSSA,,TRUE,TRUE,,,TRUE,FALSE,,1652168,Hamilton Home Comfort Inc,29,26,29,9.53846,"Heating & Air Conditioning, Air Conditioning Installation, Air Conditioning Repair, Heating Oil, Heating System, heat, furnace, a/c, air conditioning, air conditioner, ac air conditioning, air conditioners, furnace, furnaces, airconditioner, lenneox, airconditioning, hvac, what is hvac, air condition, trane, hvac air conditioning, air conditioning hvac, a heating and air, air heating, heating & air, heating and air, heating air, heat pump, air conditioning units, air conditioning unit, unit air conditioning, air conditioner unit, air conditioner units, heating & cooling, heating and cooling, heating cooling, cooling and heating, system heating, heating system, air conditioning cooling, heat and air, heat air, heat & air, air and heat, air conditioning and heating, heating and air conditioning, air conditioning heating, air conditioning & heating, a and a heating and air conditioning, heating air conditioning, heat pumps, airconditioners, systems heating, heating systems, portable air conditioner, cooling system, Furnace Humidifier,  heating and cooling contractors, heat pump installation, home heating, heating ventilation and air conditioning, hvac industry, residential heat pump, heating services, heating contractor, homes heating, central heat, heat sources,  new heating systems, industrial air conditioning, radiant floor heating,  floor heating, central cooling and heating systems, residential heating, heat pump installers,  thermostat, in floor heating, ductless heat pump, programmable thermostat, mini split heat pump, heated floors, hvac systems, hvac technician, what is a heat pump, climate control, what does hvac stand for, electric heating, electric floor heating, new furnace, heat and temperature, h vac, heatpump, hvac design, electric heat, central heating, hvac engineer, home heating systems, hvac supply, thermo stat, heat pumps prices, heat pump efficiency, split heat pump, hvac maintenance, in floor heating cost, electric heat pumps, boiler heating systems, hvac unit, hvac mechanic, hvac repair, commercial hvac, hvac installation, heated tile floor, hvac specialist, hvac services, types of heating systems, hvac tech, air con unit,  air conditioner, canada air conditioner, air condition unit, air conditioning canada, portable air conditioner, room air conditioning, mobile air conditioning, portable ac, indoor air conditioner,Fireplaces, Electric Fireplace, Fireplace Mantel, Fireplace Chimney, Gas Fireplace, Fireplace Screen, Outdoor Fireplace, Fireplace Accessory, Ventless Fireplace, Fieplace Mantle, fireplace, the fireplace, fire place, fireplace stoves, fireplace chimney, fireplace gas, gas fireplace, fireplace heaters, gas fireplaces, fireplaces gas, wood fireplace, wood for fireplace, fireplace electric, electric fireplace, wood stove fireplace, fireplace hearth, electric fireplaces, fireplaces electric, fireplace heater, insert for fireplace, insert fireplace, fireplace insert, gas fireplaces and stoves, wood fireplaces, insert fireplaces, inserts for fireplaces, fireplaces inserts, wood burning fireplace, gas fireplace stoves, fireplace door, gas stove fireplace, fire places, fireplace screen, outdoor fireplace, fireplace outdoor, gas log, wood burning fireplaces, fireplace mantels, mantels for fireplace, fireplace mantle, fireplace mantels, ethanol fireplace, caulking,Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",0,2017-08-03T14:20:38.000-04:00,Hamiltonhome,FALSE,0,0,32,FALSE,e5ce5d87569e89db1bfe8724e32326d4ef3f51bb,TRUE,2018-12-08T13:58:00.000-05:00,TRUE,TRUE,1602320,94.2433092037,473,NA,NA,NA
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2846496,NA,/companies/2846496-family-comfort?searched_category_id=473&service_area=1953501,"We specialize in the service, and installation of residential gas lines and gas fired appliances. Our gas technicians are friendly, knowledgeable and honest. We take pride in delivering professional services, and outstanding customer service at reasonable prices",family-comfort,2013-12-12T22:37:01.000-05:00,NA,NA,office hours 9am-5pm Monday-Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1908932,Family Comfort,31,30,0,10,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",3,NA,NA,FALSE,0,0,0,FALSE,64c9dbf8d882bce127d0d837fe43a9e2a3744f32,TRUE,2016-03-26T20:56:21.000-04:00,TRUE,FALSE,1953501,75.2884766162,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2890008,https://alkebulanhvac.com/contact/,/companies/2890008-alkebulan-hvac-services?searched_category_id=473&service_area=2114029,"Alkebulan HVAC Services are located in North York Region. We are your HVAC specialists with over 20 years of experience.

We maintain a good standing with the TSSA and carry $2 million liability insurance to ensure that all of the customers are protected.

All of our HVAC Technicians are fully licensed and insured so that they will be able to provide the customers with fast and friendly services to meet the customer needs and budgets.

Located in the North York region and servicing: GTA, Mississauga, Markham, Vaughan, Brampton, Hamilton, Oshawa, Pickering & Oakville",alkebulan-hvac-services,2016-08-30T21:29:19.000-04:00,NA,NA,NA,,"Boilers
Fire  Place
Heat Pumps
Gas Dryers
Roof Top Units
Infrared  Heaters
Hydronics Infloor Heating/snow melting system
Stoves/Ranges and BBQ
Humidifiers
HRVs
Gas Piping, Natural Gas and Propane
Water Heaters, Tank/Tankless
Air-Conditioners, Furnace
Thermostats/regular/Nest/Ecobee                                                                                                              
Air-handlers                                                                                                                                     
Air-Boosters                                                   
Kitchen Hoods/exhaust Fans                                                                                                                              
Chimneys                                                                                                                                 Pool Heaters                           ",,Best Service in the City,NA,NA,,,HVAC Technicians are fully licensed ,,TRUE,FALSE,,,TRUE,FALSE,,1952432,Alkebulan Hvac Services,3,1,18,10,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",0,NA,alkebulanhvac,FALSE,0,1,19,FALSE,c24404f0031e128885b8dba359abd5d1e31b3c74,TRUE,2016-09-28T16:41:40.000-04:00,FALSE,FALSE,2114029,38.4478036918,473,NA,NA,0
https://homestars.com/on/rockton/gas-line-installation,10,https://homestars.com/on/rockton/gas-line-installation,Gas Line Installation,2911693,NA,/companies/2911693-dsb-mechanical?searched_category_id=473&service_area=2153967,NA,dsb-mechanical,2018-03-07T11:50:02.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1973878,Dsb Mechanical,0,0,0,NA,"Gas Line Installation, natural gas, propane, water heater, furnace, barbeque, bbq, appliance servicing repair,Furnace Humidifier, ,",0,2018-03-07T11:50:40.000-05:00,NA,FALSE,0,0,0,FALSE,864ef4d3e635ae8db57c3e7a6e0e5b6dff407c72,FALSE,NA,FALSE,FALSE,2153967,-1.0,473,NA,NA,0
