Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact,latest_approved_review_created_at
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2954837,https://elze.ca/,/companies/2954837-elze-contracting-inc?searched_category_id=316&service_area=2261059,"We are here to help you bring your vision to life! We started this company because we felt that although there are many contractors out there, it is really hard to find ones that deliver on time, on budget, and at the same time while ensuring no damage to your property. We also pride ourselves on being friendly and blessed with good communications skills. We will work with you to design your room or home of your dream. We will provide you with a detailed estimate with a breakdown to help you understand the main drivers behind the cost. We have the testimonials of many customers to back this and we would love to chat with you about your next project. Call Eddie, our lead, now for a free, no-obligation estimate and see for yourself what service you have been missing.",elze-contracting-inc,2021-04-05T11:32:42.000-04:00,NA,NA,NA,,,,,NA,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2016815,ELZE Contracting Inc,6,5,32,9.8,"General Contractors, Residential General Contractor, Building Contractor, Additions, Remodeling Contractor,  Renovation, Builder, building construction, renovation, remodeling, construction builders, construction company, construction companies, home repair, construction jobs, home remodeling, general contractors, contractors general, contractor general, contractors construction, construction contractors, home improvement and remodeling, kitchen remodeling, construction contractor, builders contractors, home renovation, general contracting, building contractors, building companies, home renovations, builder contractor, building contractor, remodeling contractor, commercial construction, residential construction, house contractor, concrete contractors, home contractors, general construction, construction general, contractors remodeling, remodeling contractors, remodelers, remodel contractor, remodel contractors, general contract, commercial contractors, renovations contractors, home improvement contractor, licensed contractor, license general contractor, mud room, mudroom, caulking, ,Basement Renovation, Basement renovation, Basement remodeling, Basement remodelling, renovating your basement, renovation, waterproofing, remodeling, home renovation, house renovation, water in basement, basement waterproofing,finishing basement, moistureproof, remodeling the house, caulking,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Kitchen Planning & Renovation, Kitchen Planning And Design, Kitchen Cabinet Planning, Kitchen Design, Kitchen Remodeling, kitchen or, and bathroom, a and a kitchens, kitchens and, for kitchens, a kitchens, kitchens, the house design, cabinets for kitchen, cabinets for the kitchen, cabinets and kitchen, kitchen cabinets, design a kitchen, about kitchen design, a kitchen design, how to kitchen design, design and kitchen, the kitchen design, design for kitchen, kitchen designs, renovation and remodeling, remodeling and renovation, kitchen designer,,Kitchen Renovation, caulking, ,",0,2021-04-05T12:34:50.000-04:00,elze,FALSE,0,0,29,0,FALSE,3a53df53f935ca58f42dddad2b094ad45079616e,TRUE,TRUE,TRUE,2261059,78.4134195808,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2910223,NA,/companies/2910223-palmer-renovations-and-design?searched_category_id=316&service_area=2150896,NA,palmer-renovations-and-design,2018-02-19T01:21:10.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1972408,Palmer Renovations And Design,0,0,26,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2018-02-19T01:21:37.000-05:00,NA,FALSE,0,0,27,0,FALSE,ed7967857d148cf7653e133a0e243f3741ab7115,FALSE,TRUE,FALSE,2150896,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2963558,NA,/companies/2963558-amtarr-home-improvement?searched_category_id=316&service_area=2269878,NA,amtarr-home-improvement,2022-01-16T00:41:28.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2025508,Amtarr Home Improvement,0,0,14,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2022-01-16T00:41:38.000-05:00,NA,FALSE,0,0,15,0,FALSE,d2a46fee5510671ec4c04465c50e1d36ca7e939d,FALSE,FALSE,FALSE,2269878,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2962626,NA,/companies/2962626-magic-homes?searched_category_id=316&service_area=2267826,NA,magic-homes,2021-12-19T20:29:14.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2024582,Magic homes,0,0,1,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2021-12-19T20:41:38.000-05:00,NA,FALSE,0,0,3,0,FALSE,0459f53cce89bbd6677498fe159c3fa9a575e346,FALSE,FALSE,FALSE,2267826,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2963555,NA,/companies/2963555-amtarr-home-improvement?searched_category_id=316&service_area=2269872,NA,amtarr-home-improvement,2022-01-15T20:12:33.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2025505,Amtarr Home Improvement,0,0,1,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,2022-01-15T20:13:07.000-05:00,NA,FALSE,0,0,2,0,FALSE,613c4d14746cb59d4f9b7f7f6523d435b121c49c,FALSE,FALSE,FALSE,2269872,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2884705,NA,/companies/2884705-teknical-konstrux?searched_category_id=316&service_area=2086161,NA,teknical-konstrux,2016-02-29T21:22:13.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1947129,Teknical Konstrux,0,0,0,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,5dc997da526315223f937d824dfe8e3c6144a33a,FALSE,TRUE,FALSE,2086161,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2862873,NA,/companies/2862873-your-plumber-renovation-division?searched_category_id=316&service_area=2003108,"Bath Makeover: A division of Your Plumber, specializes in stylish, cost-effective, low-maintenance bathroom improvements. 

Quality Renovations - We Don't Do Cover-Ups! 

In every renovation we do, we fully remove your existing bathtub or shower. We also remove your bathtub surround so we can check for mould and mildew growth on the drywall and surrounding area. 

We carefully evaluate the condition of the drainage system, surrounding plumbing and structural conditions. We repair any issues we come across. We don't want to cover up something potentially dangerous. 

Bath Makeover offers a wide selection of solutions for your bathroom renovation needs including: replacement bathtubs, acrylic bath & shower systems, quality fixtures, vanities & cabinetry, and more. 

We also offer accessibility options such as tub to shower conversions, walk in bathtubs and barrier free showers. We can even convert your existing bathtub into a walk in shower.

Service Provided
We are bathroom renovation specialists. 
- One day bathroom makeovers 
- Full service renovations 
- Free in home consultations 
- Huge selection of products, materials & finishes 
- Trusted partners / licensed and insured 
- 24 Hour emergency plumbing services",your-plumber-renovation-division,2014-12-01T01:58:23.000-05:00,NA,NA,Monday - Friday 10:00 - 5:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1925299,Your Plumber   Renovation Division,0,0,0,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,9b5fad224dda1d27039f3864b53e3d33ffd109e7,FALSE,FALSE,FALSE,2003108,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2571191,NA,/companies/2571191-re-bath-of-windsor?searched_category_id=316&service_area=1584395,NA,re-bath-of-windsor,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1634243,Re-Bath Of Windsor,345,1,0,1,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1584395,0.0,316,NA,NA,2008-06-21T12:12:19.000-04:00
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,2595539,NA,/companies/2595539-windsor-plumbing-supply-co-inc?searched_category_id=316&service_area=1608743,NA,windsor-plumbing-supply-co-inc,2008-03-04T16:55:15.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1658591,Windsor Plumbing Supply Co Inc,0,0,0,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,1608743,-1.0,316,NA,NA,NA
https://homestars.com/on/sandwich-south/bathroom-renovation,15,https://homestars.com/on/sandwich-south/bathroom-renovation?&page=2&,Bathroom Renovation,1069327,NA,/companies/1069327-perma-tex-resurfacing-inc?searched_category_id=316&service_area=93750,NA,perma-tex-resurfacing-inc,2008-01-10T16:36:24.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,131947,Perma -Tex Resurfacing Inc.,0,0,0,NA,"Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,",0,NA,NA,FALSE,0,0,0,NA,FALSE,NA,FALSE,FALSE,FALSE,93750,-1.0,316,NA,NA,NA
