Link,n_hits,all_links,category,id,url,hs_path,profile,permalink,created_at,sic_code,service_area,hours,products,services,brands,specialities,established,employee_cnt,payment_method,diplomas,licenses,memberships,liability_insurance,bonded,project_rate,project_minimum,written_contract,written_warranty,warranty_terms,parent_company_id,name,total_number_of_reviews_cache,total_number_of_approved_reviews_cache,number_of_photos_cache,avg_rating_cache,categories_info_cache,savings_count,claimed_at,subdomain,fraudulent,fraudulent_count,total_number_of_pending_reviews_cache,images_count,completion_percent_cache,bully,secret,replied_to_at_least_one_review_cache,latest_approved_review_created_at,has_set_tasks,lead_purchase_eligible,service_area_id,star_score,quote_button_category,direct_phone,direct_contact
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,205124,http://www.hotwire-electric.com,/companies/205124-hotwire-power-group?searched_category_id=348&service_area=2056384,"HOTWIRE ELECTRIC 416-553-5533 
PLEASE EMAIL info@hotwire-electric.com
http://www.casaguru.com/web/hotwire-electric-all-inc
Twitter: @hotwire2001
HGTV FIND A PRO: http://www.hgtv.ca/findapro/details/?business_id=32279088&project_name=home%20renovation&service_name=electrical&location=Vaughan,Ontario&search_id=17033160664
Website: www.hotwire-electric.com

For over 10 years, we have successfully designed and provided quality electrical services and solutions to our clients. From custom homes to potlight installations and everything in between such as panels and service upgrades, Hotwire Electric-All can meet your electrical needs. We have build our reputation on quality workmanship and impeccable customer service. Coupled with personalized electrical design and advise to suit each individual client.

At Hotwire Electric, our <a href=""http://www.hotwire-electric.com"">certified electricians</a> are 110% committed to serving our clients with great service, honesty, and most important integrity. 

We offer a full spectrum of services for residential homes and commerical sites, from small projects to large. We strive to be efficient, neat and organized. 
We ensure our customers’ satisfaction from beginning to end. From basic electrical wiring to high-end lighting design, home automation and million dollar custom homes we insist on paying attention to detail and providing superior workmanship every step of the way. For us, no job is too big or too small

Contact us for a quote today and see the Hotwire difference in your project!

We offer our residential and commercial services 7 days a week.
Contact us for your free estimate on your electrical projects.
Hotwire Electric-All in is a fully insured and an authorized electrical contractor with the Electrical Safety Authority. Check out esasafe.com to view our listing.

Services:
• Hotwire Electric offers Electrical Panel Upgrades
• Hotwire Electric offers Wiring and Rewiring
• Hotwire Electric offers Knob and Tube Replacement
• Hotwire Electric offers Troubleshooting and Repair
• Hotwire Electric offers Home Lighting Design
• Hotwire Electric offers Kitchen Lighting
• Hotwire Electric offers Basement Lighting
• Hotwire Electric offers Bathroom Lighting
• Hotwire Electric offers Outdoor and Landscape Lighting
• Hotwire Electric offers Pot light & LED Lighting (potlights)
• Hotwire Electric offers Ceiling Fan Installation
• Hotwire Electric offers Lighting Controls
• Hotwire Electric offers Custom Lighting Design (shops/offices)
• Hotwire Electric offers Recessed Lighting
• Hotwire Electric offers Landscape & Security Lighting
• Hotwire Electric offers Electrical System Upgrades
• Hotwire Electric offers Transformers, Circuit Breakers and Fuses
• Hotwire Electric offers Network Cabling 
• Hotwire Electric offers Fault Detection, Repair & Maintenance
• Hotwire Electric offers Medium and Low voltage installations
• Hotwire Electric offers Switchboard and Metering installations
• Hotwire Electric offers Equipment grounding
• Hotwire Electric offers Energy Saving Options
• Hotwire Electric offers Regularly Scheduled Maintenance
• Hotwire Electric offers Electrical Inspections
• Hotwire Electric offers Custom homes
• Hotwire Electric offers Basement renovation
• Hotwire Electric offers Generators and backup power solutions
• Hotwire Electric offers Additions and renovations
• Hotwire Electric offers Solar projects and Micro-fit program installations
• Hotwire Electric offers Panel upgrades from fuses to breakers 
• Hotwire Electric offers Electrical wiring and rewiring (new and old) 
• Hotwire Electric offers Outdoor outlets and motion/security lights 
• Hotwire Electric offers Service installations and upgrades 60 amp to 100/200 amp/ 400amp
• Hotwire Electric offers Security and Landscape Lighting 
• Hotwire Electric offers Installation of pot lights,flourescent lighting,ballasts, 
• Hotwire Electric offers new services,panel upgrades,transfer switches for generators,fan 
motors,exhaust fans,installation of receptacles 
• Hot tub electrical wiring installed 
• Hotwire Electric offers Fluorescent lights 
• Hotwire Electric offers Under cabinet lights 
• Hotwire Electric offers Ceiling fans 
• Hotwire Electric offers Dimmers, switches, outlets 
• Hotwire Electric offers Commericial Electrical 
• Hotwire Electric offers Industrial electrical 
• Hotwire Electric offers Pools and hot tubs, pool bonding and pool equipment installs, PS4 and Ps2 automation panels
• Hotwire Electric offers Basements and renovations
• Hotwire Electric offers Additions and contracting
• Hotwire Electric offers Generators and backup power

call 416-553-5533 
email info@hotwire-electric.com 
web www.hotwire-electric.com

Keywords: Hotwire Electric + Licensed electrician, Residential electrical, potlights, troubleshooting, electrical renovations,Outdoor Lighting ,Systems Design, Surge Protection, Stoves,Dryers, generator, residential backup power generator installations, Water Heaters, Amp Service Upgrades, Electrical Maintenance Service, basement renovations. Specializes in complete lighting design and rewiring / new wiring of basements all residential electrical services, Additions, and new construction wiring.
Quality workmanship at a great price!
emergency calls, SOLAR, ATS, AUTOMATIC TRANSFER SWITCH, GENERATOR, COMMERCIAL, INDUSTRIAL, RESIDENTIAL.
Electrician Vaughan, Electrician Forest Hill, Electrician Richmond Hill, electrician Toronto, electrician Woodbridge, ESA licensed contractor

",hotwire-power-group,2006-11-27T19:00:00.000-05:00,NA,"GTA / York Region / Peel and surrounding Areas <br/>

<br/>Vaughan, Richmond Hill, Woodbridge, Bolton, Ajax, Barrie, Concord, Etobicoke, Markham, Mississauga, Newmarket, North York, Oakville, Scarborough, Thornhill, Toronto, Unionville, Bridal Path, Forest Hill, Beaches, West, and East Toronto, Stouffville, Aurora, Scarborough<br/>

<br/>Out of GTA service available as well - call to inquire",Please call to arrange an appointment,"Potlights , Recessed Lights, Solar Power, Motion Detectors, Ceiling Fans, Heaters, All Electrical Supplies, Home Automation Systems, RADIORA, Generators, Panels, Cutler Hammer, Siemens, Central Vacs, Hayward, Pools, LED, Tape Light, Knob And Tube Removal, Breaker Panel, Breakers, Baseboard Heaters and More",,"liteline, contrast, decora, Lutron, Juno, Cutler hammer, square d. siemens, europhase, in-lite, cooper","new construction wiring, service upgrades and panels, custom homes, renovations and additions. potlights, residential electrical, generators and backup power service, pools and hot tubs. pool installations. pool hook-ups.
",2001,15,"credit cards,cash, cheque, terms for contractors",5M LIABILITY INSURANCE,"Master Licensed Electricians, 309a, ESA","OEL, ESA, EATON, ACP, BILD",TRUE,TRUE,Yes,WSIB COVERED,TRUE,FALSE,Covered by Fully Warranty on parts and labour,60368,Hotwire Power Group,905,730,556,9.83116,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,Home Automation, Home Automation System, Wireless Home Automation, Home Automation Software, Smart Homes, wire, x10, home theatre, home security security, in home security, home security home, at home security, home security, home home security, control 4, wireless home, light control, the smart home, smart home, a smart home, home smart home, in home security systems, home security systems, security systems home, security systems for home, security systems for the home, home security system, security system home, home system security, security home system, security system for home, in home security system, house of security, in home automation, automation home, about home automation, what is home automation, how to home automation, home automation how to, automation for home, smart house, crestron, automation house, house automation, house of automation, smart homes, automation system, homeautomation, i home remote, remote home, TV Install, TV Wall Mounting, Ceiling Speaker Automation, Ceiling Speaking Installation,Lighting, Outdoor Lighting, Fluorescent Lighting, Lights, pot lights, chandelier, lites, lamp, lights, lamps and lighting, light bulbs, led light, led lights, light bulb, led lighting, night lights, light up, christmas lights, blue light, light blue, lantern lights, christmas light, flash light, black light, xmas lights, night light, tail light, lighting fixtures, light fixtures, light fixture, light bright, solar light, outdoor lighting, outdoor lights, black lights, solar lights, white light, ceiling light, fluorescent light, party light, street light, outdoor light, light energy, solar lighting, work light, fluorescent lights, outdoor lamps, grow light, uv light, landscape lighting, go light, light tube, tube light, wall light, book light, street lights, ceiling lights, ceiling lighting, ,Lighting installation,Basement Renovation, Basement renovation, Basement remodeling, Basement remodelling, renovating your basement, renovation, waterproofing, remodeling, home renovation, house renovation, water in basement, basement waterproofing,finishing basement, moistureproof, remodeling the house, caulking,Bathroom Renovation, Bathroom renovation, bathroom remodeling, bathroom remodelling, renovating the bathroom, tearing out the bathroom, fixing up the bathroom, bathroom contractors, bathroom vanities, bathroom vanity, design of bathroom, bathroom and design, design for bathroom, design a bathroom, design a bath, bath design, bathroom tile, bathroom cabinets, remodeling a bathroom, bathroom remodeling, remodeling the bathroom, ,Bath renovation, New tub, caulking, ,Landscape Lighting, Outdoor lights, solar light, outdoor lighting for, lighting outdoor, outdoor lighting, outdoor lights, lights for outdoor, the outdoor lights, solar lights, outdoor light, solar lighting, led lighting, outdoor lamps, how to landscape lighting, landscape lighting how to, lighting landscape, landscape and lighting, outdoor lighting lamps, exterior lighting, lights landscape, landscape lights, solar lamps, outside lights, exterior lights, lighting stores, outside lighting, garden lights, outdoor lighting, landscape lamps, lighting garden, landscape lighting outdoor, outdoor landscape lighting, ,Electrical Vehicle Charging, Electrical Vehicle Charging, Electrical Vehicle, Charging,",11,2006-11-27T19:00:00.000-05:00,hotwire,FALSE,0,1,500,100,FALSE,ec6155d785f396be76c4f66413c50762aa53d4fb,TRUE,2022-08-27T12:19:49.000-04:00,TRUE,TRUE,2056384,96.8886653214,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2970559,,/companies/2970559-bcs-electric-service?searched_category_id=348&service_area=2285914,,bcs-electric-service,2022-07-15T09:06:59.000-04:00,NA,NA,NA,,,,,2022,NA,,,,,FALSE,FALSE,,,FALSE,FALSE,,2032470,BCS Electric Service,13,13,0,10,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,2022-07-15T09:08:42.000-04:00,,FALSE,0,0,0,0,FALSE,5357b564ad91fa022310223af92f74f5d7e511cf,FALSE,NA,TRUE,TRUE,2285914,97.7082764338,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2882220,http://danwilliamselectric.com/,/companies/2882220-dan-williams-electric?searched_category_id=348&service_area=2192200,"Fully Licensed and Insured Electrical Contractor 
-Residential, Commercial, Industrial, Agricultural, and Project Mangement- 

- Service Upgrades 
- Complete Rewire 
- Generator Installation 
- Renovation 
- Energy saving solutions 

Please call for your free estimate! 

ECRA/ESA: 7004583 
Resident of Niagara-On-The-Lake 

Dan Williams - 905 658 5811 
Jason Williams - 905 325 0227 

Note: When hiring an electrical contractor please check ESAsafe.com for your own protection and ensure that your electrical contractor is registered with ESA (Electrical Saftey Authority). Contractors who are not licences with the ESA are doing work ILLEGALLY and should be immediately reported to ESA. If electrical work is done in your home by an unlicensed contractor and should something go wrong, any claim made to your insurance company may be made denied. ESA can be contacted at 1 877 372 7233.
",dan-williams-electric,2016-01-11T16:48:47.000-05:00,NA,NA,NA,,"Residential:
Generator Installations
Energy Savings Solutions
Service Upgrades
Complete Re-wire

Commercial: 
Wall Lighting
Interior Design Lighting
Exterior Lighting
Main Services and Distribution",,,1999,3,Cheque and E- Transfer,,ECRA/ESA 7004583,,TRUE,FALSE,,,TRUE,FALSE,,1944644,Dan Williams Electric,5,3,1,10,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,Electrical Vehicle Charging, Electrical Vehicle Charging, Electrical Vehicle, Charging,",0,NA,willelec,FALSE,0,0,2,0,FALSE,01f07035a2c52804e446bb6586227f188ca52b6a,TRUE,2020-06-09T17:49:13.000-04:00,TRUE,TRUE,2192200,77.9246658726,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2801879,http://www.kraun.ca/,/companies/2801879-kraun-electric-inc?searched_category_id=348&service_area=1867060,"Kraun Electric is a full-service electrical contractor. We provide residential electrical service to customers throughout Niagara, Hamilton, and Burlington. Our skilled team of friendly, licensed electricians are ready to help you will all your electrical needs, including new installations (including new builds), upgrades, repairs, or renovations. At Kraun, we ALWAYS answer the phone during regular business hours and are available 24/7 for electrical emergencies. We arrive on-time and provide flat-rate pricing so there are no surprises. In many cases, we can deliver the quote and do the work on the same day. 

We work hard every day to ensure our customers are satisfied and we are continually working to improve. We appreciate your business and we can't wait to serve you.

Kraun also has a commercial service and construction division. ",kraun-electric-inc,2012-10-03T14:13:04.000-04:00,NA,NA,7am to 5 pm (5 days a week) 24Hr service available,,"residential electrical, commercial electrical",,"smart home automation, pool service upgrade, panel upgrades, lighting controls",1996,70,"cash, debit/credit, financing now available!",,ECRA/ESA #7000148,"BBB, Certified Living Wage Employer, Niagara Industrial Association, Niagara Chamber of Commerce",TRUE,TRUE,,,TRUE,FALSE,,1864880,Kraun Electric Inc,25,22,7,9.95455,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,Electrical Vehicle Charging, Electrical Vehicle Charging, Electrical Vehicle, Charging,",0,NA,kraunelectric,FALSE,0,0,7,NA,FALSE,58ff06eb9532b810a7c68035cc913c91d41f068c,TRUE,2020-11-10T08:36:27.000-05:00,TRUE,TRUE,1867060,94.5147325051,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2916162,NA,/companies/2916162-call-us-electric?searched_category_id=348&service_area=2163424,NA,call-us-electric,2018-05-08T21:10:06.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1978346,Call Us Electric,1,1,1,10,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,2018-05-08T21:11:04.000-04:00,NA,FALSE,0,0,1,0,FALSE,b48b4a048433ad4dd4e062e2172bdd065334de76,FALSE,NA,FALSE,FALSE,2163424,87.4824698708,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2958984,http://mcbridetimmerselectric.com/,/companies/2958984-mcbride-timmers-electric?searched_category_id=348&service_area=2259581,"With over 20 years of experience in this field, Mcbride & Timmers Electric proudly service the Niagara Region and beyond. We are a fully licensed and insured electrical company. All of our team members are professional, knowledgeable individuals motivated to ensure you get the service you deserve. We offer 24 Hour emergency services to ensure you are never left in the dark. Don’t hesitate to call us today and find out exactly why McBride & Timmers Electric is right for you.

You can trust our team to complete your work safely within the federal guidelines & COVID regulations

Residential - From small renovations and additions to full scale new builds.
 
Commercial -From restaurants and storefronts to hotels and everything in between.
 
Industrial - From large scale distribution to automation and control.",mcbride-timmers-electric,2021-08-19T15:13:27.000-04:00,NA,NA,NA,,,,,2019,7,"Cash, Cheque, Etransfer, &  Credit Card",,Master Electrician and 309A,,TRUE,FALSE,,,TRUE,FALSE,Yes - Contact for Details,2020961,McBride & Timmers Electric,1,1,2,10,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,2021-08-19T15:14:30.000-04:00,McBrideandTimmers,FALSE,0,0,3,0,FALSE,bee59b57215e74ec68930436bef8bc12993bbcf4,FALSE,NA,TRUE,FALSE,2259581,86.0071055969,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2877246,NA,/companies/2877246-niagara-generators?searched_category_id=348&service_area=2057358,NA,niagara-generators,2015-10-02T14:31:07.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1939670,Niagara Generators,1,1,0,10,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,98cea819af9923081334a957ab19e70379735596,FALSE,NA,FALSE,FALSE,2057358,72.1662265162,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2961423,NA,/companies/2961423-fusion-electric?searched_category_id=348&service_area=2265057,NA,fusion-electric,2021-11-04T20:14:17.000-04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2023393,Fusion Electric ,0,0,0,NA,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,2021-11-04T20:15:00.000-04:00,NA,FALSE,0,0,0,0,FALSE,b169bc08d0e9d2da1922d75fb4d05380d5c33971,FALSE,NA,FALSE,FALSE,2265057,-1.0,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2940678,NA,/companies/2940678-southcoast-electric?searched_category_id=348&service_area=2218814,NA,southcoast-electric,2020-02-20T12:08:46.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,2002852,Southcoast Electric,0,0,0,NA,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,2020-02-20T12:10:19.000-05:00,NA,FALSE,0,0,0,0,FALSE,13860ba9cefa911e388feda2bb2c89e15c46a221,FALSE,NA,TRUE,FALSE,2218814,-1.0,348,NA,NA
https://homestars.com/on/stamford/electricians,60,"c(""https://homestars.com/on/stamford/electricians?&page=2&"", ""https://homestars.com/on/stamford/electricians?&page=3&"", ""https://homestars.com/on/stamford/electricians?&page=4&"", ""https://homestars.com/on/stamford/electricians?&page=5&"", ""https://homestars.com/on/stamford/electricians?&page=6&"")",Electricians,2848850,NA,/companies/2848850-disante-electeic?searched_category_id=348&service_area=1958305,NA,disante-electeic,2014-02-16T19:50:43.000-05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1911284,Disante Electeic,0,0,0,NA,"Electricians, Residential Electricians, Electrical Contractors, Electrical Wiring, knob and tube contractors, electrician, which electrician, electrical companies, electrical work, electrical contractors, jobs electrician, electrical contractor, electrical services, electric contractors, electric contractor, generator, generators, ,",0,NA,NA,FALSE,0,0,0,0,FALSE,a6fedf4d9778fab537a3c763e246464a387f458a,FALSE,NA,FALSE,FALSE,1958305,-1.0,348,NA,NA
